lon,lat,grid_area,emissions
8.625,-0.625,771537408,0
8.875,-1.125,771434624,0.6878621193074764
8.875,-0.875,771493376,0
8.875,-0.625,771537408,23.407867384364334
9.125,-1.625,771273024,0
9.125,-1.375,771361152,0
9.125,-1.125,771434624,62.4448521101812
9.125,-0.875,771493376,44.49123868493319
9.125,-0.625,771537408,86.401044102435307
9.375,-2.125,771052736,0
9.375,-1.875,771170240,3.1047176629206708
9.375,-1.625,771273024,21.40125520546464
9.375,-1.375,771361152,212.56961875999863
9.375,-1.125,771434624,0
9.375,-0.875,771493376,153.67282737296688
9.375,-0.625,771537408,23.356794801790244
9.375,-0.375,771566784,290.77097126396353
9.375,-0.125,771581504,8.59120901688864
9.625,-2.375,770920576,0
9.625,-2.125,771052736,0
9.625,-1.875,771170240,0
9.625,-1.625,771273024,0
9.625,-1.375,771361152,10.215869173975543
9.625,-1.125,771434624,0
9.625,-0.875,771493376,0
9.625,-0.625,771537408,28.504038361934473
9.625,-0.375,771566784,29.80902400236024
9.625,-0.125,771581504,0
9.875,-2.625,770773696,0
9.875,-2.375,770920576,0
9.875,-2.125,771052736,0
9.875,-1.875,771170240,1357.5558428418249
9.875,-1.625,771273024,2012.6866588929743
9.875,-1.375,771361152,0
9.875,-1.125,771434624,0
9.875,-0.875,771493376,0
9.875,-0.625,771537408,160.68098154461129
9.875,-0.375,771566784,0
9.875,-0.125,771581504,0
10.125,-2.875,770612160,5.73724207724475
10.125,-2.625,770773696,3.9020223731247823
10.125,-2.375,770920576,0
10.125,-2.125,771052736,4.472579656137242
10.125,-1.875,771170240,0
10.125,-1.625,771273024,0
10.125,-1.375,771361152,0
10.125,-1.125,771434624,0
10.125,-0.875,771493376,200.22340496552707
10.125,-0.625,771537408,14.114865114191614
10.125,-0.375,771566784,11.962155320940976
10.125,-0.125,771581504,2.8384753093122703
10.375,-3.125,770435968,1.625487926334944
10.375,-2.875,770612160,0
10.375,-2.625,770773696,0
10.375,-2.375,770920576,0
10.375,-2.125,771052736,0
10.375,-1.875,771170240,0
10.375,-1.625,771273024,71.85987849864485
10.375,-1.375,771361152,0
10.375,-1.125,771434624,6.030430812884661
10.375,-0.875,771493376,13.256013424366014
10.375,-0.625,771537408,0
10.375,-0.375,771566784,14.48260910401568
10.375,-0.125,771581504,0
10.625,-3.375,770245120,0.1289145770861525
10.625,-3.125,770435968,229.22851553846988
10.625,-2.875,770612160,287.5009233762739
10.625,-2.625,770773696,286.181676174449
10.625,-2.375,770920576,431.3218628200014
10.625,-2.125,771052736,0
10.625,-1.875,771170240,0
10.625,-1.625,771273024,20.7731811080641
10.625,-1.375,771361152,6.143371206893758
10.625,-1.125,771434624,0
10.625,-0.875,771493376,0
10.625,-0.625,771537408,0
10.625,-0.375,771566784,0
10.625,-0.125,771581504,16.625354747889077
10.875,-3.625,770039552,0
10.875,-3.375,770245120,0
10.875,-3.125,770435968,112.90218653513415
10.875,-2.875,770612160,723.3254243168534
10.875,-2.625,770773696,402.81785602953386
10.875,-2.375,770920576,4.559772036976828
10.875,-2.125,771052736,0
10.875,-1.875,771170240,143.57884603475378
10.875,-1.625,771273024,37.700836354636685
10.875,-1.375,771361152,0
10.875,-1.125,771434624,0
10.875,-0.875,771493376,0
10.875,-0.625,771537408,0
10.875,-0.375,771566784,0
10.875,-0.125,771581504,0
11.125,-3.875,769819392,0
11.125,-3.625,770039552,0
11.125,-3.375,770245120,16.152218772261232
11.125,-3.125,770435968,364.51237771039644
11.125,-2.875,770612160,21.629192199101205
11.125,-2.625,770773696,17.94634334524108
11.125,-2.375,770920576,100.3670744999206
11.125,-2.125,771052736,147.74911471371675
11.125,-1.875,771170240,314.0412071781901
11.125,-1.625,771273024,0
11.125,-1.375,771361152,0
11.125,-1.125,771434624,4.792533371167143
11.125,-0.875,771493376,0
11.125,-0.625,771537408,0
11.125,-0.375,771566784,0
11.125,-0.125,771581504,7.495211463942073
11.375,-4.125,769584512,104.1336832009351
11.375,-3.875,769819392,4.359465861830955
11.375,-3.625,770039552,0
11.375,-3.375,770245120,1078.087073765934
11.375,-3.125,770435968,535.4953395909408
11.375,-2.875,770612160,6.658976303418244
11.375,-2.625,770773696,360.9648998739047
11.375,-2.375,770920576,277.7687450484224
11.375,-2.125,771052736,30.268117078145842
11.375,-1.875,771170240,0
11.375,-1.625,771273024,3.1280989627199407
11.375,-1.375,771361152,0
11.375,-1.125,771434624,0
11.375,-0.875,771493376,0
11.375,-0.625,771537408,0
11.375,-0.375,771566784,0
11.375,-0.125,771581504,0
11.625,-17.625,735364160,0
11.625,-17.375,736376512,0
11.625,-16.625,739329472,0
11.625,-4.375,769335040,43.03391772652269
11.625,-4.125,769584512,196.67682062974436
11.625,-3.875,769819392,2.648378585963336
11.625,-3.625,770039552,80.91000196084204
11.625,-3.375,770245120,635.6503609370892
11.625,-3.125,770435968,492.7338680327967
11.625,-2.875,770612160,207.82072733695733
11.625,-2.625,770773696,300.39942054099606
11.625,-2.375,770920576,10.066640270402196
11.625,-2.125,771052736,4.535141653394451
11.625,-1.875,771170240,0
11.625,-1.625,771273024,9.842617309106446
11.625,-1.375,771361152,0
11.625,-1.125,771434624,0
11.625,-0.875,771493376,0
11.625,-0.625,771537408,0
11.625,-0.375,771566784,126.44841673523352
11.625,-0.125,771581504,313.6452857261169
11.875,-18.375,732243136,0
11.875,-18.125,733297408,0
11.875,-17.875,734337792,0
11.875,-17.625,735364160,0
11.875,-17.375,736376512,0
11.875,-17.125,737374912,0
11.875,-16.875,738359232,0
11.875,-16.625,739329472,0
11.875,-16.375,740285632,0
11.875,-16.125,741227776,0
11.875,-15.875,742155712,0
11.875,-15.625,743069568,0
11.875,-4.875,768792128,1.595883170675563
11.875,-4.625,769070912,7.400089235738102
11.875,-4.375,769335040,90.48196401011684
11.875,-4.125,769584512,24.255432115059325
11.875,-3.875,769819392,85.77002890354069
11.875,-3.625,770039552,281.8519425520026
11.875,-3.375,770245120,608.5264574952616
11.875,-3.125,770435968,320.78721925755576
11.875,-2.875,770612160,192.3000371646768
11.875,-2.625,770773696,0
11.875,-2.375,770920576,0
11.875,-2.125,771052736,0
11.875,-1.875,771170240,53.28505169606166
11.875,-1.625,771273024,0
11.875,-1.375,771361152,0
11.875,-1.125,771434624,13.87519779823049
11.875,-0.875,771493376,0
11.875,-0.625,771537408,0
11.875,-0.375,771566784,0
11.875,-0.125,771581504,134.69303649172798
12.125,-18.625,731174848,0
12.125,-18.375,732243136,0
12.125,-18.125,733297408,0
12.125,-17.875,734337792,0
12.125,-17.625,735364160,0
12.125,-17.375,736376512,0
12.125,-17.125,737374912,0
12.125,-16.875,738359232,0
12.125,-16.625,739329472,0
12.125,-16.375,740285632,0
12.125,-16.125,741227776,0
12.125,-15.875,742155712,0
12.125,-15.625,743069568,0
12.125,-15.375,743969280,0
12.125,-15.125,744854848,0
12.125,-14.875,745726144,0
12.125,-5.875,767530624,0
12.125,-5.625,767867968,9.95517523055834
12.125,-5.375,768190656,6.553101485631136
12.125,-5.125,768498688,71.36421618639078
12.125,-4.875,768792128,378.9110149227347
12.125,-4.625,769070912,1029.8880415491876
12.125,-4.375,769335040,31.53265922305588
12.125,-4.125,769584512,0
12.125,-3.875,769819392,380.3517648948816
12.125,-3.625,770039552,280.5637925908585
12.125,-3.375,770245120,551.9483956110698
12.125,-3.125,770435968,433.3279246971571
12.125,-2.875,770612160,68.17744157373278
12.125,-2.625,770773696,0
12.125,-2.375,770920576,0
12.125,-2.125,771052736,0
12.125,-1.875,771170240,0
12.125,-1.625,771273024,0
12.125,-1.375,771361152,2.599190404510785
12.125,-1.125,771434624,0
12.125,-0.875,771493376,0
12.125,-0.625,771537408,0
12.125,-0.375,771566784,0
12.125,-0.125,771581504,0
12.375,-18.875,730092672,0
12.375,-18.625,731174848,0
12.375,-18.375,732243136,0
12.375,-18.125,733297408,0
12.375,-17.875,734337792,0
12.375,-17.625,735364160,0
12.375,-17.375,736376512,0
12.375,-17.125,737374912,0
12.375,-16.875,738359232,0
12.375,-16.625,739329472,0
12.375,-16.375,740285632,0
12.375,-16.125,741227776,0
12.375,-15.875,742155712,0
12.375,-15.625,743069568,0
12.375,-15.375,743969280,0
12.375,-15.125,744854848,0
12.375,-14.875,745726144,0
12.375,-14.625,746583360,0
12.375,-14.375,747426304,0
12.375,-14.125,748254976,0
12.375,-13.875,749069440,0
12.375,-6.375,766812224,11.660610726928446
12.375,-6.125,767178752,44.9607061332642
12.375,-5.875,767530624,311.6351042633265
12.375,-5.625,767867968,929.77475069535285
12.375,-5.375,768190656,445.81290056886195
12.375,-5.125,768498688,64.01287733788621
12.375,-4.875,768792128,63.02116031033595
12.375,-4.625,769070912,1.75157860303172
12.375,-4.375,769335040,9.666130931296049
12.375,-4.125,769584512,59.108681117759694
12.375,-3.875,769819392,947.4252215961872
12.375,-3.625,770039552,1540.743053030748
12.375,-3.375,770245120,709.6443119496404
12.375,-3.125,770435968,236.1938756709444
12.375,-2.875,770612160,40.04351488599599
12.375,-2.625,770773696,0
12.375,-2.375,770920576,8.676746274475493
12.375,-2.125,771052736,0
12.375,-1.875,771170240,0
12.375,-1.625,771273024,0
12.375,-1.375,771361152,10.34476939692262
12.375,-1.125,771434624,57.13585090264455
12.375,-0.875,771493376,0
12.375,-0.625,771537408,0
12.375,-0.375,771566784,0
12.375,-0.125,771581504,0
12.625,-19.375,727886656,0
12.625,-19.125,728996608,0
12.625,-18.875,730092672,0
12.625,-18.625,731174848,0
12.625,-18.375,732243136,0
12.625,-18.125,733297408,0
12.625,-17.875,734337792,0
12.625,-17.625,735364160,0
12.625,-17.375,736376512,0
12.625,-17.125,737374912,0
12.625,-16.875,738359232,0
12.625,-16.625,739329472,0
12.625,-16.375,740285632,0
12.625,-16.125,741227776,0
12.625,-15.875,742155712,0
12.625,-15.625,743069568,0
12.625,-15.375,743969280,0
12.625,-15.125,744854848,0
12.625,-14.875,745726144,0
12.625,-14.625,746583360,0
12.625,-14.375,747426304,0
12.625,-14.125,748254976,0
12.625,-13.875,749069440,0
12.625,-13.625,749869696,0
12.625,-13.375,750655616,0
12.625,-13.125,751427264,0
12.625,-6.875,766035392,0
12.625,-6.625,766431104,301.44438794479817
12.625,-6.375,766812224,414.383710449873
12.625,-6.125,767178752,186.52893704778594
12.625,-5.875,767530624,576.1856454999622
12.625,-5.625,767867968,402.68697309811023
12.625,-5.375,768190656,457.95013069773677
12.625,-5.125,768498688,126.18123278386285
12.625,-4.875,768792128,0
12.625,-4.625,769070912,0
12.625,-4.375,769335040,477.81173342757785
12.625,-4.125,769584512,791.6692743024746
12.625,-3.875,769819392,1404.3748387520272
12.625,-3.625,770039552,930.0853225560758
12.625,-3.375,770245120,291.4372021349538
12.625,-3.125,770435968,40.685345653747675
12.625,-2.875,770612160,19.65054089767544
12.625,-2.625,770773696,69.91820653644793
12.625,-2.375,770920576,15.927788495688635
12.625,-2.125,771052736,51.40678442584314
12.625,-1.875,771170240,34.243171945804946
12.625,-1.625,771273024,0
12.625,-1.375,771361152,28.30134135941816
12.625,-1.125,771434624,42.972917287849036
12.625,-0.875,771493376,27.74213862766286
12.625,-0.625,771537408,0
12.625,-0.375,771566784,0
12.625,-0.125,771581504,0
12.875,-19.875,725625152,0
12.875,-19.625,726762816,0
12.875,-19.375,727886656,0
12.875,-19.125,728996608,0
12.875,-18.875,730092672,0
12.875,-18.625,731174848,0
12.875,-18.375,732243136,0
12.875,-18.125,733297408,0
12.875,-17.875,734337792,0
12.875,-17.625,735364160,0
12.875,-17.375,736376512,0
12.875,-17.125,737374912,1.9307142927660588
12.875,-16.875,738359232,0
12.875,-16.625,739329472,0
12.875,-16.375,740285632,0
12.875,-16.125,741227776,0
12.875,-15.875,742155712,0
12.875,-15.625,743069568,0
12.875,-15.375,743969280,0
12.875,-15.125,744854848,0
12.875,-14.875,745726144,0
12.875,-14.625,746583360,0
12.875,-14.375,747426304,0
12.875,-14.125,748254976,0
12.875,-13.875,749069440,0
12.875,-13.625,749869696,0
12.875,-13.375,750655616,0
12.875,-13.125,751427264,0
12.875,-12.875,752184576,0
12.875,-7.375,765200256,137.2070403772391
12.875,-7.125,765625088,603.4642469784897
12.875,-6.875,766035392,1528.3781525280438
12.875,-6.625,766431104,2656.3335105767924
12.875,-6.375,766812224,767.0005254853079
12.875,-6.125,767178752,1736.1361667386977
12.875,-5.875,767530624,786.8864291225149
12.875,-5.625,767867968,393.76180718488393
12.875,-5.375,768190656,201.8761743315754
12.875,-5.125,768498688,20.54205849627667
12.875,-4.875,768792128,30.78283875091453
