code,sector,sector_type,poll
AGS,Agricultural soils,ground,"NH3,NMVOC,NOx,PM2.5"
AWB,Agricultural waste burning,ground,"BC,NH3,NMVOC,NOx,OC,PM2.5,SO2"
CHE,Chemical processes,elevated,"BC,NH3,NMVOC,NOx,PM2.5,SO2"
ENE,Power industry,elevated,"BC,NH3,NMVOC,NOx,OC,PM2.5,SO2"
FFF,Fossil Fuel Fires,ground,"BC,NMVOC,NOx,OC,PM2.5,SO2"
FOO_PAP,Food and Paper,ground,"BC,NMVOC,NOx,PM2.5,SO2"
IND,Combustion for manufacturing,elevated,"BC,NH3,NMVOC,NOx,OC,PM2.5,SO2"
IRO,Iron and steel production,ground,"BC,NMVOC,NOx,PM2.5,SO2"
MNM,Manure management,ground,"NH3,NMVOC,NOx,PM2.5"
NFE,Non-ferrous metals production,ground,"BC,NOx,PM2.5,SO2"
NMM,Non-metallic minerals production,ground,"BC,NH3,NMVOC,PM2.5,SO2"
PRO,Fuel exploitation,ground,"BC,NMVOC,NOx,OC,PM2.5,SO2"
RCO,Energy for buildings,ground,"BC,NH3,NMVOC,NOx,OC,PM2.5,SO2"
REF_TRF,Oil refineries and Transformation industry,elevated,"BC,NH3,NMVOC,NOx,OC,PM2.5,SO2"
SWD_INC,Solid waste incineration,ground,"BC,NH3,NMVOC,NOx,OC,PM2.5,SO2"
SWD_LDF,Solid waste landfills,ground,"NH3,NMVOC,PM2.5"
TNR_Aviation_CDS,Aviation climbing&descent,elevated,"BC,NH3,NMVOC,NOx,OC,PM2.5,SO2"
TNR_Aviation_CRS,Aviation cruise,elevated,"BC,NH3,NMVOC,NOx,OC,PM2.5,SO2"
TNR_Aviation_LTO,Aviation landing&takeoff,elevated,"BC,NH3,NMVOC,NOx,OC,PM2.5,SO2"
TNR_Other,"Railways, pipelines, off-road transport",ground,"BC,NH3,NMVOC,NOx,OC,PM2.5,SO2"
TNR_Ship,Shipping,ground,"BC,NH3,NMVOC,NOx,OC,PM2.5,SO2"
TRO_noRES,Road transportation no resuspension,ground,"BC,NH3,NMVOC,NOx,OC,PM2.5,SO2"
TRO_RES,Road transportation resuspension,ground,"BC,OC,PM2.5"
WWT,Waste water handling,ground,"NH3,NMVOC"
