Location,Under 5,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 to 89,90 to 94,95 plus,,over 25,Total
All countries (204 in total),1253.034984,362.0784561,317.1133348,1719.248782,2319.406938,3104.340077,5036.05875,7822.520864,14845.1917,29977.71128,64975.48779,111352.7971,212505.6194,317018.1098,451301.1751,542542.2545,633959.0678,450044.0555,195948.366,71136.25109,,3111569.007,3117539.889
Afghanistan,24.09770535,19.61345726,15.84202011,41.53139401,58.94250995,51.6374551,53.07456305,66.26882501,116.2086227,248.0971801,262.2667739,225.1703024,297.8332903,423.5331025,529.0909936,553.1042265,456.0117324,270.123316,98.69725143,24.53125113,,3675.648886,3835.675973
Albania,0.76898633,0.140919596,0.132431705,0.16265473,0.36603165,0.338742221,0.366735186,0.42443185,0.754847039,1.885916467,4.504300922,9.733510877,25.28592862,42.24091276,76.13634402,117.6142185,136.7944097,95.2307708,42.65096484,17.82932877,,571.7913626,573.3623866
Algeria,6.984367459,3.871866679,3.778915571,11.48257401,17.87504474,21.27218258,35.10129493,46.39544533,58.35430345,87.80289511,133.940693,189.4973673,315.9502552,408.3560868,449.850558,706.5302667,878.136379,949.7604926,203.1677078,32.73430506,,4516.850233,4560.843001
American Samoa,0.007345833,0.003615552,0.005591616,0.057924372,0.080141296,0.058654608,0.105317633,0.148620303,0.231565756,0.429583281,0.729342282,0.955243457,1.425641685,1.728549476,2.073182557,2.489439465,2.39396991,1.771131736,1.030765905,0.349472237,,15.92048029,16.07509896
Andorra,0.001173299,0.000605132,0.000839679,0.00281602,0.004827447,0.007207657,0.013213389,0.031606218,0.072831051,0.171878283,0.416008992,0.754185853,1.29178756,1.986038664,3.102459714,3.694258011,5.555682633,7.173763891,5.230086019,2.91618782,,32.41719576,32.42745733
Angola,15.27071444,2.723550239,1.600287477,6.151496215,8.584382925,8.172406037,14.18862646,16.12475956,32.98837663,56.45387723,100.8454769,167.2003287,252.0371526,291.9711069,346.9532227,334.1126014,238.3481872,125.2967696,59.1915668,14.99462081,,2058.87908,2093.209511
Antigua and Barbuda,0.001854578,0.000613525,0.000546767,0.002497451,0.004870251,0.005124306,0.006031807,0.011508742,0.021205232,0.051417688,0.127636512,0.268309101,0.550459136,0.678555966,0.929495115,1.078519178,1.31409079,0.998644286,0.606732338,0.258920521,,6.906650719,6.917033292
Argentina,6.045377586,2.636916401,2.495881493,15.56978537,20.2253911,25.91812906,34.76835434,49.37687052,73.57362734,138.6399896,280.1999922,544.174664,1026.723423,1500.245669,2007.27113,2368.988169,2770.614808,2739.25741,1804.461143,995.878267,,16360.09165,16407.065
Armenia,0.042563692,0.049824419,0.081619017,0.217086824,0.403461973,0.555946172,0.85054226,1.373562189,3.479004049,6.308873157,16.73676756,37.31978867,67.20708396,87.84344863,91.22081851,206.0060005,280.0609123,268.8821257,107.2298227,16.77799908,,1191.852696,1192.647251
Australia,0.393413436,0.219073098,0.28586538,0.517017702,0.902935115,1.268922329,2.092088084,4.481039383,13.27512998,34.7971419,82.53438881,184.672057,354.9794189,658.0865408,1077.037735,1334.939969,1605.612875,1727.428974,1137.18028,477.6781216,,8696.064683,8698.382987
Austria,0.265998225,0.159647569,0.202859068,0.458329653,0.564713517,0.60783131,0.870775259,1.849425451,3.68278394,12.11511275,34.08082363,82.54684003,158.8794325,312.5420636,412.1934627,513.29574,488.7762734,535.4218881,355.9161707,160.8688866,,3073.64751,3075.299058
Azerbaijan,0.689789178,1.072985779,1.240996947,3.054345185,6.730317912,7.461574257,8.697298174,11.13523893,18.04640571,30.25359491,64.08186223,109.6109169,153.3324312,176.2115668,127.2828613,292.3725718,310.1874102,178.2646309,34.54831411,3.950037616,,1525.436715,1538.22515
Bahamas,0.010031632,0.004859703,0.006222067,0.033814427,0.065753438,0.078038119,0.102662063,0.167375619,0.297696842,0.613873734,1.183893042,1.866479874,2.739710785,3.456919617,4.144245555,4.951778575,4.416576519,3.089816626,1.83516063,1.001155018,,29.94538262,30.06606388
