Location,Under 5,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 to 89,90 to 94,95 plus,,over 25,Total
All countries (204 in total),756005,28759,14945,13373,15414,18028,20969,25931,32028,40119,55983,73970,107062,135291,173734,214770,265829,245433,163565,86709,,1659421,2487915
Afghanistan,14956,607.8982494,277.8148875,154.7705233,154.5245424,149.1124486,125.9114438,126.6924178,183.1906864,270.808986,176.7425549,129.6885013,226.4744799,334.6648922,477.3782104,544.032594,495.9420107,322.6652834,123.2717131,30.28085323,,3717,19868
Albania,75.09229012,5.355760552,2.925801739,2.445710195,2.775198001,2.504201777,2.142951195,1.779853293,2.031054653,2.78008985,4.822585318,7.999578932,14.45644476,20.76803073,35.82140919,61.34801752,78.62485992,64.31130164,35.49309919,16.05720375,,350.9406817,439.5354423
Algeria,915.8953969,65.43189241,55.23331036,45.53928199,59.08397927,70.79188874,93.71921904,102.9296312,107.0722753,115.11257,133.3376522,164.33372,257.1316908,286.8043169,353.2536491,572.6404709,826.0433169,1098,242.7544926,40.24083716,,4464,5605
American Samoa,1.135609643,0.106557498,0.096336113,0.197505927,0.245663794,0.21040912,0.226228815,0.293450189,0.296877572,0.398535687,0.574860076,0.695053718,0.829329895,0.79751943,0.89683248,1.179303693,1.405470948,1.107022676,0.786741518,0.194967803,,9.892603619,11.67427659
Andorra,0.034895582,0.005061651,0.005281314,0.009313039,0.014619708,0.024018787,0.037782436,0.06536479,0.102976823,0.140496975,0.207529375,0.28588123,0.375970157,0.539396059,0.922977452,1.442825128,2.805297476,4.835885736,4.663681931,3.336129451,,19.78621381,19.8553851
Angola,6424,326.2861741,179.0786408,144.2100901,159.1933851,184.743323,185.8285478,209.1459483,276.2979097,328.4617138,447.4527955,528.7256193,666.6437951,647.9524922,691.2813528,736.0099209,531.5438892,313.4428218,138.5391241,49.33576161,,5935,13169
Antigua and Barbuda,1.118646074,0.07562385,0.052290212,0.080302041,0.138153599,0.166398137,0.17883299,0.24636688,0.290182554,0.446496842,0.685174954,1.028662494,1.501683967,1.762085374,2.589817443,3.506647746,5.133055187,4.996572605,3.415233544,1.797784706,,27.74499542,29.2100112
Argentina,490.4216384,40.7753191,40.89523283,90.40934786,123.428236,147.7767102,183.8530817,254.1428771,336.3524968,461.3712449,647.2203098,1032,1671,2428,3416,4652,6418,7298,5121,2748,,36815,37601
Armenia,118.6823617,7.150059286,2.813982343,2.203264486,2.550985226,3.344480813,4.202979176,5.107244326,8.004506392,8.882666993,13.49590573,21.43277556,28.87315038,29.6105417,29.00732069,71.56250228,94.0484765,86.11118704,39.04129402,6.231050878,,448.9560825,582.3567355
