Location,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 to 89,90 to 94,95 plus,,under 25,over 25
GLOBAL,2104.141191,3514.237808,5583.831354,10918.4579,22267.95342,48924.81834,85386.74258,168544.4918,256362.2923,365635.841,444299.8164,516000.1484,361991.1122,147040.4085,50193.77162,,3482.995854,2488768.065
Afghanistan,29.16477907,28.02751894,35.15614265,66.33023159,146.7574334,148.5957942,123.9221935,170.2137313,235.2626458,273.4856917,276.7034697,229.0396244,139.8550472,47.87282689,10.7987237,,77.90128274,1961.185854
Albania,0.17977386,0.181846859,0.198025994,0.354272472,0.939702961,2.436714866,5.57372197,16.06764689,28.38741704,50.60424923,82.51680272,97.50024925,67.79326377,29.89018152,11.71334513,,0.647414511,394.3372145
Algeria,13.76665186,22.91962488,30.26214804,38.62510259,58.57608435,88.94273765,126.6500352,220.5054514,281.8734568,303.6857361,483.97754,613.9264812,663.5962217,139.7948531,21.6511104,,27.01344194,3108.753235
American Samoa,0.03538803,0.065292464,0.09292556,0.15347458,0.297309706,0.516093919,0.691838286,1.062609741,1.306799042,1.617268448,1.899798655,1.816959386,1.343296761,0.764049908,0.249709401,,0.096315942,11.91281389
Andorra,0.003867741,0.007040318,0.017128524,0.042933437,0.107500519,0.269926029,0.499255233,0.865842166,1.270861851,2.053533581,2.577552024,3.87763716,5.095264342,3.6790926,1.999905087,,0.005672544,22.36734061
Angola,4.281573984,7.922613725,9.305623259,19.71091227,35.41509505,63.718574,107.1380389,168.0082239,203.9352374,241.1663699,232.87611,166.3943911,84.57738863,38.62765411,8.624139465,,13.4695441,1391.701946
Antigua and Barbuda,0.003341795,0.003952784,0.007836058,0.014283336,0.036962313,0.092259078,0.196584898,0.405199361,0.521036946,0.711599385,0.827198587,1.028007197,0.777176283,0.453297349,0.185469444,,0.006682288,5.264204813
Argentina,19.25073101,26.80685287,38.66118919,59.97706594,115.6186039,240.0955746,466.4969222,876.8715391,1315.870019,1724.030439,2044.152597,2349.436486,2240.276086,1414.876702,750.8799947,,33.92733301,13683.3008
Armenia,0.397252466,0.591817135,0.99054134,2.73984524,4.959257822,13.63368571,30.92222065,56.50767536,73.65258649,77.66589618,173.1614925,207.3758865,169.9562933,64.39428813,9.627896405,,0.563371671,886.5766352
Australia,0.852901022,1.459447525,3.239626914,10.30648511,28.4427482,70.40751815,156.1654617,304.3932615,567.6210357,933.7599525,1135.237573,1292.449634,1353.77261,840.4249971,334.4118559,,1.499654359,7032.945109
Austria,0.446961515,0.626530188,1.404266273,2.938748308,10.13214529,29.13310946,70.46384239,132.6931285,254.4350556,339.5005526,438.5421934,415.6497855,443.1065412,280.042902,123.1996777,,1.163705751,2542.31544
Azerbaijan,5.070945901,5.779858969,7.336846975,12.39567138,20.87760005,44.91270394,77.19620134,105.696766,125.6012425,89.39082363,200.8139731,203.3166823,114.7838309,22.07824154,1.614640996,,8.353402196,1036.86603
Bahamas,0.049140419,0.065090935,0.108891654,0.204132929,0.433847858,0.852751581,1.345744065,2.084189768,2.641188029,3.216227484,3.855249933,3.46483345,2.442403503,1.390832509,0.726317013,,0.070711165,22.88084113
Bahrain,0.2130127,0.246242639,0.446426725,0.625378909,1.026540367,1.582492268,3.51447977,5.641194677,7.84117782,9.499523193,16.2324267,13.8279311,8.227559896,1.641598588,0.158032863,,0.393988732,70.72401822
Bangladesh,30.15194615,42.34231967,64.09287434,127.691454,324.2271564,985.8966724,1585.251006,3129.997965,4595.713502,6220.528863,6193.686305,6570.92486,3729.941223,1075.290726,295.9421983,,43.70856219,34971.67907
Barbados,0.010569933,0.014846555,0.033010803,0.063237968,0.164934231,0.378094794,0.809908928,1.744046969,2.432544559,3.546963355,3.984519389,4.882301611,5.304562608,3.18314994,1.00052821,,0.019207923,27.55321985
Belarus,0.713821986,1.895218644,3.582943424,7.606660478,16.15760902,38.85510231,82.29350137,146.3709086,188.718083,174.8391387,295.5010578,287.6971883,256.6260746,116.6851943,27.12323304,,0.555107047,1644.665735
Belgium,0.842965374,1.286056101,2.58944244,7.375375014,20.24413305,57.23282951,134.3596166,275.6555572,428.2068566,578.9064797,747.2885162,1018.763412,1062.899593,683.1493315,286.4303433,,1.4416555,5305.230508
Belize,0.166536514,0.203529335,0.241618147,0.397204727,0.74249072,1.34574514,2.352661596,3.344296759,3.928233573,4.883149854,4.96614715,5.675441706,3.947358497,2.000117522,0.916060882,,0.275333737,35.11059212
Benin,4.879604595,6.038527758,5.92069675,8.025306414,14.10992252,29.71927825,32.00903513,55.03020646,82.25489203,103.9221759,112.9874781,84.90159307,52.64042807,27.71653253,7.295275814,,10.64782485,627.4509533
Bermuda,0.002368312,0.002736758,0.006166128,0.01449757,0.040346736,0.103990745,0.227800568,0.459691487,0.659408538,0.983483478,1.428864889,1.768040382,1.542328623,0.953963787,0.475301441,,0.004793758,8.668989441
Bhutan,0.164071328,0.288191994,0.495631109,0.94082464,2.163901038,4.749859906,8.757323949,18.75128372,30.61037326,50.04637538,59.78367999,70.7528565,41.63901632,15.80087061,5.371790029,,0.270418546,310.3160498
Bolivia (Plurinational State of),2.532966998,2.64463639,4.151852155,6.924673446,11.78687291,19.73301442,32.54710893,75.35799744,124.129132,215.641465,300.3438601,353.9972118,279.0161099,117.304312,35.12971171,,12.47469143,1581.240925
