Location,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 to 89,90 to 94,95 plus,,under 25,over 25
GLOBAL,22481.8248,46143.59994,74997.76081,129231.8418,211113.0503,327089.416,456743.6173,627719.1273,755395.9856,837079.7512,1044457.471,1154518.339,950484.11,511815.3948,213102.8966,,19853.15834,7362374.187
Afghanistan,206.5983702,346.1180456,551.6574425,1271.841389,2670.878554,2437.669517,1757.765342,1988.213085,2566.901617,2906.42247,2738.287441,2272.201793,1252.683111,487.0855622,120.1536489,,186.4315081,23574.47739
Albania,12.07126254,15.11327664,16.43671343,24.80808952,44.27334678,79.41250977,140.8597041,248.8240862,341.260279,537.2431125,768.5076849,931.051349,652.9203091,316.0917209,145.1733678,,11.10277355,4274.046812
Algeria,130.7534139,307.6189957,474.5144423,732.2928706,1260.686647,1878.937853,2414.905972,3473.34154,3976.88315,4000.488814,5970.094499,7472.611753,8893.988826,1832.18449,269.5813992,,117.7755714,43088.88467
American Samoa,0.111831166,0.315704594,0.633549149,1.425232952,2.807813969,4.375224958,4.955765625,6.17846968,5.706280632,5.353672949,5.811259831,4.920089478,4.263354408,1.964238745,0.782851921,,0.107544277,49.60534006
Andorra,0.016689422,0.050277456,0.15449851,0.384061759,0.713195948,1.228171661,1.621273157,2.092721492,2.794489067,4.056006776,4.868897252,7.757868389,10.90228811,9.013783794,5.894217354,,0.009975363,51.54844015
Angola,29.67293468,57.57153747,92.74952614,157.1653614,270.2937835,424.1539613,573.3219291,736.7608558,816.7475354,902.3188467,788.7817635,518.2734238,270.7064724,102.1281757,26.62363474,,39.62277192,5767.269742
Antigua and Barbuda,0.070847664,0.120116027,0.268309676,0.49602849,1.163573003,2.330745248,3.650963184,5.221707001,6.27997434,7.463254265,7.97897915,10.64184599,8.452683775,5.339705782,2.452983154,,0.052490032,61.93171675
Argentina,53.67565905,100.1691669,194.2871613,354.857018,686.7130537,1172.330223,1914.223025,2823.344535,3838.094081,4621.287831,5258.661221,6105.158249,6228.789672,4293.589033,2279.348883,,57.99527655,39924.52881
Armenia,5.629378163,14.22558389,29.83171789,70.08364493,121.1788751,257.6345717,472.3445332,591.2093484,674.9783466,606.6665122,1394.051379,1730.846784,1412.589801,634.126107,113.4784331,,3.557898894,8128.875016
Australia,9.76541926,30.10620832,72.81080359,147.9955661,272.3362074,431.456251,625.6710682,845.7737701,1165.826437,1635.369671,2134.21985,3063.807828,4312.06568,3785.378456,2157.392489,,3.746592948,20689.9757
Austria,2.307163757,7.739040224,18.50608517,43.42688073,115.799956,206.5389877,330.9173271,495.3478139,809.0982434,1157.171392,1905.124274,2359.296202,3283.499354,2703.360857,1425.654196,,1.48643683,14863.78777
Azerbaijan,33.2092505,57.95247822,112.7798835,230.3056968,502.8863294,1056.018479,1811.419792,2313.305436,2488.906316,1837.94073,4432.782421,5160.977712,2769.406435,565.0855935,64.64345561,,39.49125332,23437.62001
Bahamas,0.635729938,1.350497016,2.690797082,5.554555482,11.32187831,17.90663232,22.42457904,25.69335855,28.00569436,27.87382794,28.62984389,28.71453205,21.86000573,12.81490352,8.348870055,,0.435463762,243.8257053
Bahrain,2.746148858,6.236149074,16.14422519,22.50011255,38.06568736,46.41780156,67.2664117,68.87606707,65.97022096,62.91611271,78.24766194,64.0296636,37.70509642,8.097971053,0.918963151,,2.034093607,586.1382932
Bangladesh,292.4151727,691.4546166,1109.540133,2412.942615,4057.030214,6772.003948,7997.569148,10513.21408,11594.34126,11924.19493,11564.42161,10231.96661,6407.878763,2413.425631,785.1501544,,305.8735499,88767.54889
Barbados,0.146232066,0.367045357,0.82420849,1.600033664,4.152865641,7.268907386,12.26785175,18.73242013,24.81299147,31.07006323,32.60172327,39.02720213,44.52957076,29.22714708,10.69385501,,0.111675617,257.3221174
Belarus,14.10485053,51.07516974,128.9437737,269.8365202,538.7105041,1043.436208,2083.965172,3400.285517,4478.65781,4173.99534,8145.108968,9316.372054,8295.822425,4165.556254,1149.643673,,4.480424187,47255.51424
Belgium,3.498500523,8.905742114,20.4837472,47.92821536,110.1564547,222.4182147,358.9936255,554.2327251,783.7708323,1023.31313,1331.911011,2156.031973,2675.23969,2006.211837,953.4716872,,2.395171735,12256.56738
Belize,0.57732234,1.409285761,1.763847794,3.353780685,5.608577643,8.849598122,14.03407142,15.78823498,17.16076499,16.96485321,19.13615405,19.43002197,17.9619215,9.913586636,5.394556115,,0.495674136,157.3465772
Benin,8.211986392,21.3585986,36.18983056,57.02702971,98.4896824,152.9244981,189.585595,281.4017139,387.5563335,451.3069518,500.3970217,419.8364603,249.5631186,120.0622048,37.0217859,,15.15684087,3010.932811
Bermuda,0.021884863,0.057502806,0.154856358,0.404804781,0.991093986,2.16974827,3.320888079,4.823787825,6.35964492,8.474399969,11.4198299,15.68497001,15.49422859,9.847489158,5.972002534,,0.019618194,85.19713205
Bhutan,1.988490371,3.649265816,5.560052087,9.343045907,15.09811623,22.21453806,31.97917372,41.29774313,52.15418919,61.81033181,71.18744076,65.96431663,43.52039955,18.58485235,6.849362567,,2.150420709,451.2013182
Bolivia (Plurinational State of),12.11499664,15.57528796,28.217469,52.35303993,92.59584296,154.561235,239.9195285,380.5357846,513.5698383,712.637669,803.876754,851.2634115,627.2078118,285.5233777,91.24487682,,21.55049798,4861.196924
Bosnia and Herzegovina,3.107326595,7.891431075,16.5642861,37.56547338,80.85444862,166.7633917,324.1835542,466.4026125,576.2543586,744.175307,1279.424095,1622.523469,1288.018418,463.1874337,143.9953385,,3.364568599,7220.910943
