Location,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 to 89,90 to 94,95 plus,,under 25,over 25
GLOBAL,2209.278192,4985.5233,9734.824126,21955.32258,47859.03436,94376.31466,144875.06,224451.4598,265581.6225,262927.2825,237323.2238,179667.5585,100576.4737,31715.64095,9287.489846,,1718.228355,1637526.109
Afghanistan,5.951727435,9.478029179,15.10701635,30.88431148,70.73624625,75.47345285,51.82111302,68.03477906,94.62598332,109.730104,86.59208158,47.35111508,19.47684492,5.079379674,0.855442876,,7.001400794,691.1976271
Albania,1.646377442,2.635766118,3.653528465,8.141139272,17.95418803,36.7491736,63.04739052,103.121012,129.3680381,137.0016334,131.9453661,78.32993269,34.49221366,10.86696637,2.826880329,,2.243685607,761.7796061
Algeria,3.594518255,13.31565595,25.27087174,48.57291149,98.03408591,159.7357593,219.4336464,334.2416369,342.3602418,272.7535208,275.0618353,191.5418053,121.6221572,18.74039303,2.197403144,,3.136419461,2126.476442
American Samoa,0.021424214,0.032000259,0.060430701,0.198293374,0.386850381,0.744352626,1.051999946,1.367914879,1.478788757,1.379013145,1.324390553,0.792195756,0.355452509,0.10162742,0.044318814,,0.04289304,9.339053335
Andorra,0.01086933,0.044678308,0.156022173,0.495275449,1.168078419,2.23350542,3.103069926,4.016868918,4.425758501,5.067222107,3.798752198,3.5018412,2.606048191,1.059083217,0.388016289,,0.006201245,32.07508965
Angola,2.90633399,6.408360397,12.80269645,28.11209682,61.31361652,108.6511941,144.4729773,168.3593497,155.0892631,125.2481675,85.78114358,34.90522361,12.70627885,3.172246259,0.56080361,,3.019227792,950.4897517
Antigua and Barbuda,0.008523003,0.018278526,0.044204607,0.095390239,0.225013338,0.45042494,0.772256617,1.048209185,1.019440005,1.051518123,0.858636293,0.730450918,0.388666888,0.155238338,0.046803747,,0.009663757,6.913054768
Argentina,12.18069023,28.16842548,63.64175513,132.9045073,293.0525755,645.5612227,1157.75445,1708.946924,2146.811721,2044.942846,1572.836469,1062.541132,608.7079038,225.168918,74.32088315,,15.59570789,11777.54042
Armenia,1.968724631,3.219330211,5.716086837,12.46534608,28.25541302,67.56703312,147.2701719,205.9060097,195.4943268,111.2681794,159.7479336,98.8216457,42.77675628,9.82576163,1.024168478,,1.65808577,1091.326887
Australia,2.621206121,7.890688461,19.07100971,54.62868315,143.9102472,294.2273919,552.68204,855.5735738,1187.212964,1502.454188,1365.528053,1084.999125,764.8685785,306.9629033,71.57488604,,1.452606462,8214.205537
Austria,0.853887742,2.993883211,7.205782251,22.60014822,69.90282258,182.220046,353.1944231,499.671283,656.7972578,674.6323767,602.7601763,345.525526,238.6300279,90.29499679,20.91406784,,0.479733837,3768.196705
Azerbaijan,6.356842855,11.94596234,20.14928006,40.40165952,96.51786641,191.4834472,283.2897517,295.5016553,233.3140897,106.3235441,129.6586035,63.61738404,16.97847332,2.330055933,0.315606704,,5.783989538,1498.184223
Bahamas,0.095141288,0.260750377,0.524047116,1.172777314,2.410922168,3.858807832,5.408065096,5.794898882,5.732033241,4.961415318,4.256845236,2.818972076,1.476648925,0.590482291,0.215795602,,0.117111873,39.57760276
Bahrain,0.147852627,0.506433193,1.337293093,1.982417719,4.114763517,5.867594715,9.446368147,12.77014893,11.8808304,10.45530575,11.73675498,7.670043574,3.294358491,0.453083371,0.034245712,,0.107394121,81.69749423
Bangladesh,11.70363184,22.89968333,46.89087377,97.23530407,211.6472067,423.4679515,537.2624275,779.4798774,877.954416,846.3149679,653.2996421,447.6102599,207.7568526,44.48658984,8.20166695,,13.04924534,5216.211351
Barbados,0.024428065,0.074541272,0.184038263,0.410744038,1.064941035,1.778268376,3.064347235,4.374673692,4.965989912,5.268877413,4.216350789,3.375958395,2.583956095,1.172262362,0.253338736,,0.030869659,32.81271568
Belarus,1.524174466,3.807823152,9.432981809,26.76286861,77.90844115,200.6458278,413.8243244,500.2860404,544.5305249,319.5598804,315.7468108,186.2008721,82.77348737,22.3651625,3.749967259,,0.879008496,2709.119187
Belgium,1.417129572,4.545570779,14.9272586,37.67335921,117.160677,294.7095788,558.7180641,895.8536875,1120.472491,1132.326141,997.8928249,892.7764756,588.8207721,214.2913477,47.10276695,,0.917732669,6918.688144
Belize,0.093748556,0.274394401,0.414236826,0.901512178,1.499181089,2.271127875,3.631655279,3.930032553,3.415703001,3.187156722,2.369007595,1.885995184,1.110544826,0.395466643,0.129615817,,0.123387808,25.50937855
Benin,1.106125639,3.023539613,4.046989806,5.830872388,12.18315349,22.96043502,28.61042894,39.05144202,50.95921613,51.48587825,46.03414479,24.68079538,9.917732205,2.99934887,0.617102396,,1.0551964,303.5072049
Bermuda,0.008220765,0.025168033,0.069913487,0.190732316,0.512394853,1.14415249,1.895386704,2.725780177,3.227833044,3.520868326,3.731209326,3.212747714,2.090584955,0.90170749,0.330248794,,0.010117663,23.58694847
Bhutan,0.071897918,0.131130163,0.258403838,0.509997504,0.981220646,1.669474262,2.413576003,3.323154966,4.142050517,4.473164939,3.872442219,2.306177331,1.01283547,0.280698327,0.061553388,,0.070377456,25.50777749
Bolivia (Plurinational State of),1.804240675,2.916844444,6.599413751,12.94974122,24.21539166,38.09078494,59.71979045,86.11003161,97.54348433,117.6047818,100.3168802,64.37767459,34.80640884,10.14940128,2.024632488,,2.573748314,659.2295023
Bosnia and Herzegovina,0.91977469,2.612808839,5.474263184,16.10228386,44.50920129,119.4197072,254.6991244,343.5001733,336.676822,268.7990182,272.5514537,168.333849,59.36272359,9.673606529,2.106362066,,1.240467778,1904.741172
Botswana,0.347364082,1.071994261,2.498400238,5.349615094,10.651554,16.49862851,22.01208785,27.50247453,27.52321739,23.92859853,16.60624248,9.659867647,3.436591808,0.821332307,0.144356477,,0.286574031,168.0523252
Brazil,57.55069224,131.1825787,251.6188567,475.5034011,1085.017011,2224.761225,3692.645483,4884.219121,5276.485024,4968.08762,4209.358843,2784.595677,1545.410255,572.1856865,211.9935791,,71.72573397,32370.61505
Brunei Darussalam,0.233258199,0.539266113,1.098373038,1.916490322,3.281256662,5.150385403,7.798397365,10.22458445,13.29426057,11.67001878,10.50106957,6.643330708,2.499051777,0.454505277,0.071147647,,0.1796273,75.37539588
Bulgaria,2.56145731,6.986415255,22.50074266,58.54634844,148.9446228,275.9599836,478.0445886,684.6954964,812.5179224,599.3255333,405.2978413,215.9219422,94.13230045,21.54674596,2.469491969,,1.668092243,3829.451433
Burkina Faso,1.814198313,5.548356103,7.251020174,10.84663399,22.48492904,46.17192296,59.20622063,76.75978012,91.16720949,95.92510704,72.11323188,38.08501766,14.46929603,4.285269421,0.801739641,,1.593421142,546.9299325
Burundi,0.527606592,1.154745648,2.471220433,5.303263681,9.151773344,15.50950949,23.99019674,30.60356274,29.85821083,27.58604682,20.49285792,9.951997814,3.599750318,0.826023605,0.131762877,,0.614228387,181.1585289
Cabo Verde,0.162724853,0.662474782,0.64332205,0.687116342,1.589451912,3.076616159,3.968496561,4.49582608,5.150595783,5.415390575,6.765581355,6.893702065,3.80515026,1.280382691,0.531117034,,0.145837005,45.1279485
Cambodia,5.649937344,9.869249501,16.82257906,30.75353251,69.39270861,144.8387373,226.2805529,291.6056135,333.6780449,286.0913572,212.3254728,117.0445585,62.16137201,13.95816514,2.369257436,,4.668243433,1822.841139
Cameroon,3.831016142,11.73489328,14.83904384,19.93619065,37.68672441,75.77008603,96.46734435,130.9567809,154.5728032,150.8304316,122.4955154,61.61929868,23.86001466,6.165878299,1.02008629,,3.333169082,911.7861077
Canada,5.201414682,12.78809092,31.52445899,74.29520912,225.7503292,681.5699889,1469.387152,2345.341934,3144.139438,3596.875496,3050.976346,2373.131999,1497.252151,649.1218228,221.5919585,,3.011563794,19378.94779
Central African Republic,0.366952359,0.879537152,1.770486338,4.223774896,9.016328438,15.79837116,20.30422973,21.09268356,19.69417496,14.62203406,8.204860333,3.348231354,0.972615404,0.207306809,0.03377487,,0.3995907,120.5353614
Chad,1.32581873,3.592696327,4.587944017,6.829760346,14.36841237,28.73088389,36.06641894,51.55425551,64.42061572,68.94293849,53.8624229,27.35857426,9.92365647,2.51080923,0.528637581,,1.260777884,374.6038448
