Location,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 to 89,90 to 94,95 plus,,under 5,under 25,over 25,Total
GLOBAL,13264.78913,15704.23951,19658.55163,24402.77298,30626.56745,42974.91707,57613.24988,84226.56223,107621.7362,138498.1025,173053.5167,214431.7451,194373.8482,123461.6676,62366.36772,,563203.5446,614671.5555,1302278.634,1916950.19
Afghanistan,95.97216682,79.85269981,80.85283222,119.0377834,178.5504771,113.6912395,85.07967759,147.5484006,222.378991,318.7875183,361.2935637,347.7177286,221.545826,85.57976234,20.60841467,,10767.0113,11455.76636,2478.497082,13934.26344
Albania,1.483732662,1.269415596,1.073369422,1.130586476,1.552391505,2.90177994,4.768160449,9.036719514,12.87519298,23.16273531,40.38402664,53.78651719,45.3557204,24.29806373,10.63151456,,58.2391956,67.2609348,233.7099264,300.9708612
Algeria,48.32059832,62.58194062,69.39600968,75.92412586,80.16826378,93.99824509,112.7020729,172.4389463,187.6370003,229.7699946,389.2634059,569.3673388,786.6327268,170.9829439,26.97218231,,654.7567573,806.8033873,3076.155795,3882.959182
American Samoa,0.139008652,0.151512763,0.196974141,0.194933087,0.272469732,0.422677313,0.510662366,0.60804624,0.588929504,0.673700491,0.868983223,1.027865648,0.828421727,0.56999924,0.133792376,,0.786379528,1.240606471,7.187976505,8.428582976
Andorra,0.015737271,0.02310178,0.043619019,0.067259503,0.093389934,0.136842541,0.194931304,0.252719315,0.354959642,0.612972868,0.968365916,1.964937304,3.45143535,3.14460224,2.240957584,,0.024292385,0.048333359,13.56583157,13.61416493
Angola,118.9695146,118.835114,134.8728683,174.9372433,225.8740875,307.5328706,355.0395098,456.0261665,451.0783545,502.0567419,535.046123,405.2444307,237.6507097,100.855657,33.10724303,,4697.210448,5192.561615,4157.126635,9349.68825
Antigua and Barbuda,0.11941622,0.128010319,0.173447965,0.202397791,0.31247391,0.459031971,0.785956215,1.05192133,1.290185669,2.035501611,2.560401964,4.0045254,3.610207837,2.478650928,1.260356424,,0.76627238,1.02724853,20.47248555,21.49973408
Argentina,116.1440794,146.2483121,205.7282113,268.530225,373.1391234,525.8512657,874.0269625,1357.521446,1957.595311,2805.573468,3851.617072,5579.299677,6084.230372,3994.735472,2096.933235,,396.3048997,629.0886114,30237.17423,30866.26284
Armenia,2.385864121,3.027925523,3.939295022,5.751718736,6.439841038,10.11432773,16.94166156,21.90987181,22.16988353,22.51753507,55.85420846,79.05267712,68.23687782,29.58422594,4.454205838,,91.82067078,102.5205493,352.3801193,454.9006686
Australia,4.141118398,6.82502744,10.22437879,15.40831413,22.3155431,28.87993956,43.11770529,58.7603568,86.36332062,133.8449009,224.5989788,428.3202211,711.7518634,757.5874642,540.7154496,,24.11524605,30.47670848,3072.854582,3103.33129
