Location,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 to 89,90 to 94,95 plus,,under 25,over 25
GLOBAL,4437.304447,7037.850178,10624.26899,19794.24713,39074.39287,83381.2143,139703.6542,263154.1181,385069.5726,542101.5072,650215.4852,769495.8525,550261.5395,249444.8664,91535.93224,,10119.94109,3805331.806
Afghanistan,83.03971974,88.09434431,114.0275076,187.1471725,380.1579484,389.2753193,343.2853368,440.5680274,611.3163453,766.9199174,799.731416,675.7086259,387.7766516,146.0765406,38.27679605,,272.2350241,5451.401669
Albania,0.562180008,0.585756507,0.695409033,1.283680103,3.212309308,7.458140302,15.43282208,38.15867149,61.91853463,107.8296728,163.0395835,182.5110893,124.2532056,55.80945497,24.16577858,,2.864896791,786.9162883
Algeria,31.86009461,51.81750631,66.29143148,87.43215529,129.5783768,198.789316,281.6276931,449.8072702,577.4390807,644.5691909,1001.672871,1226.28452,1311.241225,282.0405296,45.46427515,,69.61926255,6385.915537
American Samoa,0.091513409,0.164105645,0.22491269,0.346230264,0.601119334,1.005879289,1.258523501,1.850257357,2.22465273,2.684867222,3.196153772,3.068481033,2.307944019,1.366900509,0.465663632,,0.239239183,20.85720441
Andorra,0.01154729,0.020489333,0.051297987,0.10921972,0.245666659,0.599913875,1.060518599,1.859323545,2.844753254,4.349977664,5.187250507,7.407923349,9.408937382,6.743877784,3.843864345,,0.016503311,43.74456129
Angola,13.10203411,21.72384658,26.23851337,51.84934086,82.43973769,151.2362917,250.2096656,364.5233229,416.3783319,491.6079065,467.9494808,334.3913494,188.5605973,87.35871474,27.07134941,,66.8657837,2974.640483
Antigua and Barbuda,0.007668291,0.008594254,0.016530848,0.029688742,0.068541671,0.170659766,0.351460941,0.724560897,0.854151079,1.181511564,1.326510352,1.650042533,1.239200868,0.762901214,0.33077212,,0.015519568,8.72279514
Argentina,33.65294879,43.52534814,62.08025888,87.23685316,165.38542,326.4102255,633.0866967,1189.995298,1734.049018,2305.428776,2713.932573,3212.42155,3252.804964,2165.119663,1203.970443,,64.57537276,19129.10004
Armenia,0.956048484,1.343686563,1.966001307,4.49141313,8.093611888,20.40526566,46.26579587,81.03219477,103.8777161,107.0466345,241.7609649,333.4398242,326.507125,132.2588862,21.11385696,,1.159872788,1430.559026
Australia,1.784792962,2.868558695,6.015558868,16.61099918,41.83066967,97.95026039,220.7983459,423.4760628,754.1168311,1228.75611,1543.32833,1892.812964,2046.355721,1381.028605,592.3969318,,3.421328938,10250.13074
