Location,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 to 89,90 to 94,95 plus,,under 25,over 25
GLOBAL,36360.40563,70566.60632,112553.6004,192264.0317,312208.8992,470416.9063,637754.2193,844301.7469,988911.653,1085418.329,1326447.442,1495738.038,1270878.339,733470.0009,327478.1953,,34752.71453,9904768.413
Afghanistan,538.391408,815.8891868,1271.714713,2767.660092,5540.916699,4762.755601,3352.611943,3518.322734,4381.551198,4717.732966,4627.982508,3692.45319,2131.95737,847.9252763,220.8780208,,489.6240771,43188.74291
Albania,25.42825364,29.52362102,31.46575196,49.24161841,90.24332663,164.433279,280.7637979,478.4676412,620.239667,936.4098987,1282.557598,1514.142997,1041.401872,535.1700235,249.9371219,,25.67911075,7329.426468
Algeria,310.2002331,650.5850402,967.0392062,1415.145449,2280.434227,3263.730107,4038.52175,5717.650615,6301.399682,6533.468031,9264.992641,11258.82425,12289.96268,2586.326146,414.4864233,,284.4979183,67292.76648
American Samoa,0.284212976,0.761020382,1.442989221,2.768341822,4.908785056,6.952759126,7.419607244,8.784120233,8.078729238,7.829789562,8.136052734,7.460993342,6.519013473,3.181650659,1.266543214,,0.265697023,75.79460828
Andorra,0.04441369,0.132641202,0.384271676,0.882728567,1.552874755,2.514534319,3.299382193,4.19140945,5.588430072,7.793586096,9.175534814,13.88711868,19.44412344,16.47269317,10.62397115,,0.026174916,95.98771327
Angola,76.38372659,157.8462175,230.2642654,385.5531072,629.1247151,920.4607806,1209.550885,1485.820809,1515.657133,1614.502542,1444.598983,974.7056789,525.9994434,218.4625504,62.61750631,,108.4407128,11451.54834
Antigua and Barbuda,0.131427046,0.210373772,0.456499923,0.815724768,1.84039018,3.422152852,5.328362747,7.548026543,8.676177483,10.63364189,11.30411977,14.55880226,12.15586143,8.144637303,3.872028784,,0.0986521,89.09822675
Argentina,80.6779033,142.7304201,270.5697994,461.9053547,856.5962025,1398.43179,2313.088348,3402.373898,4552.741646,5531.898118,6414.390794,7619.204712,8273.933274,5990.236503,3351.083808,,87.61352912,50659.86257
Armenia,8.61986617,19.96937284,39.21518885,87.6052075,151.6138437,318.744161,580.7572972,731.6730793,821.1903497,731.4818978,1694.581091,2154.033171,1865.832262,887.4630831,169.6401489,,5.81475817,10262.42002
Australia,15.01300354,42.51945995,94.86252308,186.4228464,322.8683254,509.652282,747.6073232,1012.634516,1377.953159,1945.236035,2598.570024,4049.509198,5896.429953,5477.010406,3239.496977,,6.654918396,27515.78603
Austria,3.876148033,11.75761173,24.63877323,54.59906135,137.5791106,246.4032763,391.3924878,581.5369094,933.7181294,1342.496149,2263.775337,2931.127529,4376.938836,3933.93352,2242.223812,,2.682622913,19475.99669
Azerbaijan,78.6751192,130.9975569,222.1374005,412.3692464,811.7821344,1583.047972,2639.907436,3226.681008,3402.458077,2429.924159,5805.618015,6623.733597,3556.900561,730.1398013,94.15709081,,83.69507385,31748.52917
Bahamas,1.256622793,2.574736927,4.721547844,9.731038148,18.83391359,28.36574412,34.79317398,39.17969566,40.17467368,39.70819584,42.27850574,41.03622207,31.89436753,19.72500378,13.54695443,,0.836263107,367.8203961
Bahrain,5.418289602,11.02163815,27.52495616,39.07486708,62.67147211,75.56906061,110.1543436,109.0565557,103.1198104,96.38632859,114.1809302,93.78592832,55.68417221,11.89526222,1.475546651,,4.163993912,917.0191617
Bangladesh,618.2880512,1405.905944,2104.169097,4341.434762,7177.116366,11724.58071,13959.37559,17764.83055,19315.08062,19443.87262,19329.57057,17377.75197,11177.35796,4354.506854,1490.500899,,702.9197588,151584.3426
Barbados,0.28958012,0.689943363,1.479374349,2.789907657,6.897105755,11.57432381,18.82537213,28.44847813,35.52102147,43.83327894,45.65134499,55.40387746,63.83992685,41.53519545,15.51662492,,0.220322479,372.2953554
Belarus,32.044808,96.31679721,213.9106099,413.8083722,804.4668568,1528.303713,2990.633656,4745.007833,6127.896017,5560.025185,10588.05057,12014.98575,10995.74289,5892.328674,1663.518371,,10.78703151,63667.0401
Belgium,5.533182969,12.6150467,27.95251082,62.37445933,134.2125552,265.9418777,432.4306751,676.8851097,922.8153552,1222.469102,1620.207733,2729.454574,3688.765306,2934.750553,1473.317589,,3.976057004,16209.72563
Belize,0.985409813,2.38995323,2.990909089,5.087147663,8.66973821,12.48546904,19.58369275,20.04630652,21.90189629,21.75196328,24.59940862,26.217045,24.55060107,14.91166754,8.547704225,,0.860263014,214.7189123
Benin,25.28198459,57.85772445,93.09637391,149.3729742,241.8496986,344.239307,407.6567154,562.4785705,703.5153917,793.7773943,809.6981226,688.4135443,415.8037739,208.4304812,69.36112988,,46.52227917,5570.833187
Bermuda,0.039563072,0.099483191,0.256126391,0.676505635,1.538495517,3.183478113,4.80789583,6.862921975,8.838610043,11.55998377,16.05565547,22.1553206,22.6145139,15.39838549,9.481303033,,0.036833997,123.568242
Bhutan,6.713856059,11.1384489,14.94346418,22.20951203,31.55757882,45.67812505,61.12079083,76.59438828,92.04155873,108.0921862,117.983894,108.3406119,73.58352912,31.73478344,12.52387027,,6.636410001,814.2565978
Bolivia (Plurinational State of),42.48489236,61.17041017,88.52330311,144.8009927,245.9627946,386.3691804,584.0356477,907.6007373,1136.978743,1502.609635,1566.637263,1564.892552,1163.369992,572.5658376,180.2465327,,59.6596295,10148.24851
Bosnia and Herzegovina,5.746697806,13.77911099,27.41673798,60.45331241,125.1880774,249.6952554,468.0974476,659.820522,813.8912181,1007.712613,1728.964044,2168.594694,1764.05278,694.0113054,223.6821462,,6.543400359,10011.10596
Botswana,8.142425287,19.83832533,42.38191986,75.02471861,111.8456637,149.2888257,191.5120759,229.0059847,241.1393218,221.0753434,212.7600487,194.5373224,113.4586304,45.64981539,14.18119061,,7.014276818,1869.841612
Brazil,491.7476945,1019.521092,1922.133065,3345.204343,6029.770407,9658.792723,13790.06974,17728.53818,20256.5961,21138.14698,21976.71666,20936.02222,17735.15267,11559.8462,7102.068764,,513.3071063,174690.3269
Brunei Darussalam,2.611062637,4.233736766,7.494724586,14.40918589,20.56292063,21.80534241,27.26713277,28.29938698,31.17823448,31.36701272,35.64688315,31.69745333,19.51341486,5.681946518,1.149850046,,1.866951909,282.9182878
Bulgaria,26.62872672,62.61163404,144.5353121,297.247007,591.5680772,921.0439368,1608.422833,2387.13346,3340.482214,4186.254009,5297.746983,7749.276155,7639.314016,3470.468707,659.2757316,,14.39230884,38382.0088
Burkina Faso,47.76337808,118.1344859,189.6855193,306.7270307,473.7730483,735.3091053,822.989147,1193.976239,1406.835696,1939.258153,1801.751075,1397.577815,723.1198391,330.1661772,104.8365336,,95.57069768,11591.90324
