Location,2017 LBW Counts
Afghanistan,527633.0379
Albania,2062.534258
Algeria,85554.48321
American Samoa,106.6555087
Andorra,41.66570418
Angola,222660.1461
Antigua and Barbuda,118.6547723
Argentina,52334.92405
Armenia,4079.420792
Australia,19962.38009
Austria,5805.622086
Azerbaijan,12597.68187
Bahrain,1831.913596
Bangladesh,1052049.915
Barbados,304.3251375
Belarus,6289.156878
Belgium,9197.046546
Belize,811.7519036
Benin,99192.83142
Bermuda,91.45275273
Bhutan,2648.261153
Bolivia (Plurinational State of),29443.23128
Bosnia and Herzegovina,1209.891165
Botswana,9890.092762
Brazil,270406.9249
Brunei Darussalam,788.0532625
Bulgaria,6387.368373
Burkina Faso,138912.7251
Burundi,82655.36282
Cambodia,59756.0478
Cameroon,131759.0223
Canada,24946.36815
Cabo Verde,2508.608886
Central African Republic,32817.99926
Chad,160412.1429
Chile,14460.65155
China,1111348.036
Colombia,106230.7002
Comoros,4880.898599
Congo,21730.78942
Costa Rica,5148.877152
Cote d'Ivoire,191120.0969
Croatia,1971.559379
Cuba,5960.233633
Cyprus,1129.587183
Czechia,9184.942136
Democratic Republic of the Congo,379916.8149
Denmark,3396.156807
Djibouti,7243.290998
Dominica,88.48750594
Dominican Republic,34059.10804
Ecuador,48914.20728
Egypt,433254.0499
El Salvador,15248.52775
Equatorial Guinea,8485.404411
Eritrea,40193.21179
Estonia,651.6501218
Ethiopia,726693.2526
Micronesia (Federated States of),200.6594003
Fiji,1832.483094
Finland,2166.377562
France,68400.64692
Gabon,7827.522115
Georgia,3302.261456
Germany,54653.20644
Ghana,151653.116
Greece,10404.99708
Greenland,65.0416626
Grenada,149.9576062
Guam,333.0258287
Guatemala,55770.06779
Guinea,102501.1421
Guinea-Bissau,16456.33552
Guyana,2817.486504
Haiti,33334.72189
Honduras,30986.78425
Hungary,8050.509449
Iceland,189.8280523
India,9161078.247
Indonesia,500824.1236
Iran (Islamic Republic of),292053.4344
Iraq,188787.0813
Ireland,3896.3613
Israel,15239.12312
Italy,39938.01167
Jamaica,6958.226676
Japan,90970.78085
Jordan,42162.16298
Kazakhstan,21872.50922
Kenya,188213.543
Kiribati,301.2826306
Kuwait,7557.276675
Kyrgyzstan,8680.94883
Lao People's Democratic Republic,37805.91454
Latvia,985.4571073
Lebanon,12719.98856
Lesotho,8833.731269
Liberia,30136.27184
Libya,17099.78413
Lithuania,1671.177004
Luxembourg,422.8264727
North Macedonia,2237.844882
Madagascar,185268.5116
Malawi,96119.36446
Malaysia,58249.92433
Maldives,1546.876444
Mali,197770.501
Malta,289.4296205
Marshall Islands,127.4895363
Mauritania,24357.43647
Mauritius,2293.878028
Mexico,215437.3064
Republic of Moldova,2217.669264
Mongolia,5779.841369
Montenegro,394.0151977
Morocco,138433.6897
Mozambique,182100.1751
Myanmar,164840.5772
Namibia,11986.51144
Nepal,185936.5125
Netherlands,11036.20071
New Zealand,3449.133067
Nicaragua,17394.70112
Niger,233098.9922
Nigeria,1612361.511
Democratic People's Republic of Korea,35916.22215
Northern Mariana Islands,51.23926476
Norway,2610.761675
Oman,10670.64334
Pakistan,2478462.16
Palestine,13480.75248
Panama,9717.57572
Papua New Guinea,30907.69339
Paraguay,13464.59922
Peru,78567.81639
Philippines,678490.6169
Poland,23944.67615
Portugal,7654.714192
Puerto Rico,2764.445382
Qatar,4296.640124
Romania,19924.00263
Russian Federation,112303.3968
Rwanda,34021.81034
Saint Lucia,194.9188399
Saint Vincent and the Grenadines,164.1312381
Samoa,368.4190645
Sao Tome and Principe,399.7619048
Saudi Arabia,92152.81333
Senegal,106500.7567
Serbia,4936.69583
Seychelles,221.0783234
Sierra Leone,47046.99863
Singapore,7279.143467
Slovakia,4617.220313
Slovenia,1370.393101
Solomon Islands,2048.697146
Somalia,164753.715
South Africa,194178.3678
Republic of Korea,24528.05582
South Sudan,67553.15213
Spain,33341.94775
Sri Lanka,49908.29066
Sudan,245586.7488
Suriname,1736.421184
Eswatini,4034.46355
Sweden,3489.842807
Switzerland,5741.718812
Syrian Arab Republic,46570.48261
Taiwan (Province of China),12558.16118
Tajikistan,17958.55598
United Republic of Tanzania,261940.3518
Thailand,67643.67278
Bahamas,718.558777
Gambia,14382.40613
Timor-Leste,3681.6238
Togo,46980.49668
Tonga,243.3522717
Trinidad and Tobago,2631.669954
Tunisia,17605.7369
Turkey,142877.4412
Turkmenistan,7001.700717
Uganda,313013.5176
Ukraine,25166.60208
United Arab Emirates,10906.84573
United Kingdom,54579.16887
United States of America,308478.7829
Uruguay,3628.409945
Uzbekistan,49283.72918
Vanuatu,1030.001819
Venezuela (Bolivarian Republic of),44883.29143
Viet Nam,150438.4428
United States Virgin Islands,138.0786108
Yemen,185764.0567
Zambia,85527.0013
Zimbabwe,72134.76369
Cook Islands,12.52274235
Monaco,22.36554169
Nauru,30.13351322
Niue,2.588069805
Palau,20.87055376
Saint Kitts and Nevis,74.75343567
San Marino,13.02400647
Tokelau,3.667007234
Tuvalu,21.36146897
