Location,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 to 89,90 to 94,95 plus,,under 5,under 25,over 25,Total
GLOBAL,24385.18113,28086.3694,34185.66405,42135.97563,52598.9186,72426.24914,93790.84776,134072.1556,166843.063,212496.1372,258191.4214,318069.6732,292754.8135,195914.5966,104130.1602,,991813.5387,1091526.48,2030081.226,3121607.706
Afghanistan,228.4004219,198.4115173,201.4740501,280.8694448,397.0239714,264.2275591,189.860816,331.6350514,490.266982,664.7664436,746.0245348,676.7943922,435.0309285,166.6327177,42.09001121,,19655.67682,21404.34579,5313.508842,26717.85463
Albania,4.777875507,4.162706029,3.379236814,3.99195492,5.573072473,8.342308596,13.4339399,22.3231672,30.99120675,52.1353863,90.30582195,111.6529117,85.96572389,47.54226121,22.18951236,,96.2676897,115.510842,506.7670856,622.2779276
Algeria,102.8824398,138.0533507,145.2870831,150.9186197,160.2721369,189.3120251,240.3486618,371.3366198,410.8774136,507.8053919,816.2353919,1147.287132,1555.348934,345.8718806,59.08294318,,1289.518227,1617.504573,6340.920023,7958.424596
American Samoa,0.31725508,0.334160573,0.433021711,0.440408968,0.552449806,0.785920264,0.909020214,1.081942602,1.054689997,1.179380594,1.576014149,1.810659317,1.444489112,1.036203149,0.266045583,,1.579900427,2.473306911,13.22166112,15.69496803
Andorra,0.03381197,0.055760171,0.096176534,0.148248436,0.201013526,0.295689492,0.416871137,0.551087363,0.772413942,1.332809762,2.080110485,3.826256907,6.355799861,6.371527717,4.466674979,,0.047395627,0.095665561,27.00425228,27.09991784
Angola,255.70282,260.6857571,300.7717074,405.2327625,483.3177367,648.6540667,753.2508701,944.426979,892.1325736,936.1879494,959.7818123,690.9534808,406.1140518,183.4637134,65.18365052,,8661.40241,9821.333068,8185.859931,18007.193
Antigua and Barbuda,0.23026629,0.24379352,0.337948592,0.392711009,0.610574133,0.953723929,1.320325776,2.094248717,2.374070223,3.283657791,4.650527688,6.406276378,6.416440251,4.478918637,2.370215037,,1.567080189,2.017136307,36.16369797,38.18083428
Argentina,184.4480902,226.9338536,313.5026886,416.1878933,556.1959441,787.4442805,1201.706368,2027.241874,2954.091827,4155.655369,5615.842206,7262.471099,8471.288975,5999.924955,3277.825536,,593.3869621,964.1189306,43450.76096,44414.87989
Armenia,4.562524408,5.695010615,6.609774251,10.55828805,11.80888762,17.74658183,26.94221623,37.07502113,38.05788934,37.46887305,89.38100582,110.7658554,104.1693805,47.19859933,8.143275579,,153.3849601,173.0855891,556.1831832,729.2687723
Australia,7.997066446,12.52255693,17.65978523,26.36684172,37.59322845,46.87455111,61.68203397,93.20001241,135.6261825,208.4991576,341.8966815,630.9997729,1080.648032,1220.21256,899.6217266,,36.74823406,49.04483634,4821.40019,4870.445026
Austria,1.953743389,2.676221996,3.215124751,5.151088827,9.21204318,15.20593369,23.15858433,31.99103417,53.16543035,86.80060964,156.7164186,207.5275366,310.075196,303.3868063,172.4884501,,6.244654409,9.765220867,1382.724222,1392.489443
Azerbaijan,35.03673166,34.15573676,35.90916509,44.60067556,58.49115591,84.99341336,117.5964263,128.0830504,132.5448501,88.59830048,219.1596529,270.4928803,193.9010886,42.03086111,5.878178963,,2106.610718,2335.455292,1491.472168,3826.92746
Bahamas,1.767952164,2.311250222,2.697772713,3.277188719,4.391796638,5.5974419,5.758291649,7.060068731,8.303267368,10.08066971,13.06826286,14.18218658,12.78968415,9.592845412,7.06180509,,6.498929175,9.724460405,107.9404839,117.6649443
Bahrain,1.450676583,1.906357855,3.056737617,3.559054672,3.514840429,3.622173374,6.165623342,8.073083813,7.359746598,9.413657785,16.11052983,15.88346119,11.4619858,2.591104619,0.357534357,,3.878829154,7.891023328,94.52656786,102.4175912
Bangladesh,312.3995982,274.0508904,379.2203869,468.6987503,653.1859866,1112.65759,1352.974166,2201.042092,2874.006276,3618.934809,3909.441446,5080.035348,3568.400292,1346.905931,450.4396451,,19638.18139,23028.93524,27602.39321,50631.32845
Barbados,0.61604085,0.86535657,1.184212171,1.449040826,2.398542632,3.374057967,4.931724402,8.361931766,11.01912262,16.92685545,23.56132789,32.06605075,42.66932363,31.55748327,12.52228385,,3.179691304,4.463886265,193.5033546,197.9672409
Belarus,17.30327135,36.81347828,58.52625764,77.386613,102.2366829,133.9183275,154.6659385,122.2470006,77.71653182,48.18357094,95.69322668,146.4504731,196.9261578,158.6483474,44.15848622,,42.45373012,56.38361044,1470.874364,1527.257974
Belgium,4.670972079,6.145574395,9.432243813,16.11017448,26.87369212,48.74654913,84.67369429,139.5637993,232.0578353,360.9678133,619.7230154,1172.339938,1893.468939,1677.918274,912.6954304,,11.67726436,19.76306063,7205.387945,7225.151006
Belize,2.515997711,3.627880112,2.93976587,3.535769299,3.792496859,4.570801818,5.583294776,6.569954551,6.860843357,8.884155198,11.32854536,15.24985142,16.134332,11.54673779,6.963971316,,16.45300718,21.67141443,110.1043974,131.7758118
Benin,124.3417148,117.8465033,134.9922315,169.5074664,203.7989248,272.3331698,324.1609955,400.3946717,473.1023435,599.6843596,643.9381483,605.8514501,333.1766091,172.380246,68.70734886,,8291.530064,8950.203262,4644.216183,13594.41945
Bermuda,0.032051688,0.048559771,0.075281369,0.115712029,0.190751797,0.305004588,0.440305293,0.721762257,1.058280093,1.598245384,2.78346801,3.80906059,4.64655505,3.614772485,2.629628185,,0.171863533,0.242641268,22.06943859,22.31207986
