Location,2017 PTB Counts
Afghanistan,161467.0578
Albania,4732.354897
Algeria,273345.0585
American Samoa,133.0818462
Andorra,42.92799946
Angola,172990.0476
Antigua and Barbuda,115.6927448
Argentina,78628.06559
Armenia,4976.930586
Australia,30396.74547
Austria,8545.330615
Azerbaijan,18291.44512
Bahrain,2936.753671
Bangladesh,713361.5469
Barbados,326.7749512
Belarus,6119.332618
Belgium,15683.59631
Belize,824.3749112
Benin,63112.54369
Bermuda,61.11333254
Bhutan,1692.674249
Bolivia (Plurinational State of),35570.25727
Bosnia and Herzegovina,4492.608102
Botswana,7978.460022
Brazil,362697.3209
Brunei Darussalam,739.2134834
Bulgaria,7427.91548
Burkina Faso,141349.1796
Burundi,70862.38491
Cambodia,43190.10069
Cameroon,143907.5768
Canada,36595.37875
Cabo Verde,1823.436458
Central African Republic,29986.2547
Chad,116329.985
Chile,25942.53465
China,1370195.645
Colombia,146530.1203
Comoros,2714.862581
Congo,24000.51578
Costa Rica,7719.63729
Cote d'Ivoire,141363.4069
Croatia,2386.961543
Cuba,12687.8769
Cyprus,3315.572016
Czechia,11204.26373
Democratic Republic of the Congo,370419.8319
Denmark,5378.762805
Djibouti,5709.770104
Dominica,95.91924386
Dominican Republic,25544.5817
Ecuador,45584.6731
Egypt,664593.3745
El Salvador,13828.62328
Equatorial Guinea,6154.112617
Eritrea,31644.9369
Estonia,1361.20055
Ethiopia,572268.0525
Micronesia (Federated States of),250.2696164
Fiji,2282.76349
Finland,4955.482
France,82381.7565
Gabon,6910.172664
Georgia,5939.911984
Germany,73861.71832
Ghana,135785.0242
Greece,9050.142915
Greenland,79.03408491
Grenada,160.9587636
Guam,328.9264366
Guatemala,44995.00376
Guinea,74268.04266
Guinea-Bissau,9995.073548
Guyana,1620.06197
Haiti,35697.69583
Honduras,25274.38835
Hungary,8572.36754
Iceland,558.3882602
India,3795121.042
Indonesia,469445.4195
Iran (Islamic Republic of),126117.6998
Iraq,111340.8344
Ireland,6147.20482
Israel,23233.51854
Italy,42308.5663
Jamaica,4144.059475
Japan,95867.0471
Jordan,54704.09197
Kazakhstan,32605.77813
Kenya,146418.826
Kiribati,374.3959736
Kuwait,7082.099656
Kyrgyzstan,17691.37924
Lao People's Democratic Republic,19804.65836
Latvia,2061.928975
Lebanon,15566.13894
Lesotho,7590.250535
Liberia,21848.8988
Libya,26225.25774
Lithuania,2823.060885
Luxembourg,770.9798942
North Macedonia,3062.450709
Madagascar,134707.6737
Malawi,73910.1093
Malaysia,59899.87355
Maldives,844.9218964
Mali,143093.8623
Malta,426.854887
Marshall Islands,125.790937
Mauritania,17684.57771
Mauritius,2179.793275
Mexico,183836.273
Republic of Moldova,4648.270891
Mongolia,9987.185001
Montenegro,924.1662869
Morocco,195196.6085
Mozambique,172915.4346
Myanmar,123147.4841
Namibia,10095.48819
Nepal,45229.9958
Netherlands,16764.53355
New Zealand,5918.875613
Nicaragua,14846.158
Niger,169267.8185
Nigeria,1098449.988
Democratic People's Republic of Korea,41969.87307
Northern Mariana Islands,50.62577202
Norway,5585.391183
Oman,9584.264055
Pakistan,755561.8278
Palestine,16746.45267
Panama,8614.332803
Papua New Guinea,38448.33067
Paraguay,12498.80509
Peru,70958.47129
Philippines,479808.1094
Poland,37408.60286
Portugal,8263.511043
Puerto Rico,3007.732639
Qatar,1730.284926
Romania,25252.01944
Russian Federation,408945.9248
Rwanda,55829.46622
Saint Lucia,209.089138
Saint Vincent and the Grenadines,176.128264
Samoa,459.338897
Sao Tome and Principe,777.9830335
Saudi Arabia,94903.38658
Senegal,73934.38635
Serbia,29615.98915
Seychelles,253.9272454
Sierra Leone,43160.30374
Singapore,6908.365918
Slovakia,7170.763129
Slovenia,1961.688714
Solomon Islands,2553.512224
Somalia,129539.6251
South Africa,177640.351
Republic of Korea,42296.75537
South Sudan,53148.7533
Spain,38698.87707
Sri Lanka,33038.82164
Sudan,357902.9801
Suriname,1046.872772
Eswatini,4913.701123
Sweden,11333.04937
Switzerland,7520.252623
Syrian Arab Republic,27504.70675
Taiwan (Province of China),15485.48418
Tajikistan,29376.79102
United Republic of Tanzania,649282.8604
Thailand,97841.35874
Bahamas,474.1267227
Gambia,11377.66895
Timor-Leste,4295.569302
Togo,38526.0488
Tonga,303.4738038
Trinidad and Tobago,1856.408019
Tunisia,54665.65297
Turkey,167689.7516
Turkmenistan,13483.10218
Uganda,147756.6182
Ukraine,57155.19946
United Arab Emirates,4847.617724
United Kingdom,60731.70882
United States of America,369253.6611
Uruguay,5305.556641
Uzbekistan,86819.82155
Vanuatu,940.6260528
Venezuela (Bolivarian Republic of),58006.49545
Viet Nam,131866.6841
United States Virgin Islands,150.1617205
Yemen,109251.1438
Zambia,96259.39378
Zimbabwe,72836.87542
Cook Islands,28.07201816
Monaco,30.99231005
Nauru,29.72476878
Niue,2.55400004
Palau,20.61134823
Saint Kitts and Nevis,81.20704346
San Marino,30.84403935
Tokelau,3.623332144
Tuvalu,21.08231727
