Location,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 to 89,90 to 94,95 plus,,under 25,over 25
GLOBAL,25508.37012,40396.06886,66653.81745,119232.534,192851.4654,313867.346,410225.5369,608158.9871,764540.0893,898088.4106,1093881.919,1169382.05,907677.9078,447544.4242,179919.696,,58864.16466,7237928.623
Afghanistan,408.2938443,447.6764916,693.2636063,1263.647224,2247.884951,2025.710615,1406.019291,1612.799661,2212.288668,2788.744821,2937.052159,2420.900289,1329.8729,514.5731689,120.859291,,697.1747165,22429.58698
Albania,15.05111525,17.39997778,16.29114319,24.95151304,43.30863903,75.5742226,141.0910556,289.5115157,455.2886157,816.579792,1327.33795,1621.97244,1178.246653,546.5430507,220.8673061,,44.34736692,6790.014989
Algeria,163.4590195,254.4189727,391.6834727,559.7649963,764.4040057,1093.266766,1393.472141,2070.269933,2614.293069,2873.212279,4524.520641,5773.045565,6176.728623,1196.261094,171.6234714,,311.7307335,30020.42405
American Samoa,0.415697882,0.473981374,0.914310866,1.470997552,2.24036391,3.517358223,4.026403366,4.909489014,5.145033063,5.867867168,6.710346154,6.061477413,4.837526849,2.085242941,0.674802507,,0.66925759,49.35089828
Andorra,0.04285845,0.085335633,0.186693933,0.362003096,0.523960961,0.763407009,1.063269465,1.451488219,2.179111036,3.671763091,4.876511663,8.006770319,10.90743059,8.777648629,5.188178136,,0.039875189,48.08643023
Angola,109.2837346,143.5914476,222.0445634,474.2235048,640.4879873,994.7493672,1223.832179,1548.761346,1540.078773,1596.834902,1591.443583,1061.536207,509.8344392,198.5344903,49.78559018,,413.3860944,11905.02211
Antigua and Barbuda,0.196086887,0.300463046,0.563543374,0.924188518,1.880451236,3.342335564,5.184902709,6.788573113,7.511237456,9.040730641,10.2679642,12.49655347,9.903283781,6.08791718,2.729729154,,0.2893118,77.21796033
Argentina,106.7657232,154.5078987,271.019353,418.4520012,643.1440007,955.190105,1392.543054,2058.825868,2824.237916,3589.097584,4213.326925,4968.30458,4565.510676,2865.110503,1299.111898,,190.4256018,30325.14809
Armenia,3.454850239,4.472402808,9.872374821,20.86998882,37.80405979,84.81772119,163.8369385,216.1860981,268.4765935,257.2989994,561.822346,690.9894633,495.1676492,212.759638,34.73177956,,3.458278689,3062.560903
Australia,11.15499242,22.28997011,37.64273088,71.28191046,112.0427195,164.0686077,232.3246578,299.5358623,484.8509232,825.4391369,1342.182305,2288.130351,3335.708468,3086.856819,1752.872812,,12.2562838,14066.38226
Austria,3.35798362,6.035009038,10.32417778,21.89088898,37.78052123,69.79104188,104.9337722,143.8356057,256.3396601,411.6321113,754.9532865,1039.287272,1398.351164,1186.665764,584.4877112,,4.452342081,6029.665969
Azerbaijan,23.02846251,41.00665116,70.17433128,140.0423707,289.2403987,627.6866279,1110.359077,1440.05832,1591.533432,1164.915429,2711.629021,2831.700106,1525.925368,273.3015724,27.41818597,,31.78552735,13868.01935
Bahamas,1.447341708,2.551024489,4.406322373,7.622169453,12.80509509,19.38487585,20.77128332,22.13789102,26.46616038,28.56889462,35.00810986,33.76342376,22.70042406,12.53523617,7.851719496,,1.756648257,258.0199717
Bahrain,2.885673787,4.167715691,10.57131877,12.99087996,15.38837728,16.19374216,24.134783,27.71328593,28.476165,30.85804848,46.18169839,41.64034805,24.40353141,5.215063599,0.556458105,,4.231660064,291.3770896
Bangladesh,1103.501013,1696.469619,2297.115043,3560.509385,5157.067507,9684.457645,11133.58965,18041.60165,22691.78627,26715.99459,27149.93846,29245.63784,21109.35782,6735.237679,1751.063462,,1836.960184,188073.3276
Barbados,0.519179289,0.974028928,1.914865899,3.341345783,7.18509798,10.67780902,17.34121514,23.80219,32.75178014,46.13917267,52.07648705,63.60062735,63.99098543,39.09422459,14.8783027,,0.737724138,378.287312
Belarus,15.71734738,42.92536904,83.54725032,160.644334,319.8461534,575.6167518,1090.816621,1567.375524,2123.581178,1845.002641,3266.345073,3942.178257,3592.678617,1659.886004,376.9056108,,8.927803833,20663.06673
Belgium,7.052103929,11.59143285,20.33282571,37.29878021,63.73495416,117.6108609,183.3209844,286.8442861,443.2387196,711.5368414,1104.259151,2012.292025,2653.590056,2017.798538,915.5136949,,9.469589106,10586.01525
