Location,Under 5,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 to 89,90 to 94,95 plus,,over 25,Total
All countries (204 in total),0,0,0,1540.513023,1943.413775,2875.070929,6495.002429,10460.93601,20800.87448,46673.45244,81233.84316,116046.21,164600.1434,193607.187,203110.2668,205475.217,193372.5423,131770.7613,66293.81515,25033.09897,,1467957.894,1471441.961
Afghanistan,0,0,0,13.38307861,23.02832608,27.24957353,40.89816744,59.34711276,123.3849862,399.3675458,579.1876361,488.278248,437.7620411,560.9587937,576.8595948,480.2051432,312.5071947,147.6944696,49.49945477,11.42501672,,4294.624978,4331.036383
Albania,0,0,0,0.029383213,0.107088692,0.163576578,0.320561842,0.267521559,0.342772281,1.483843553,2.78997721,5.70071074,12.46522282,18.24965105,26.50723545,30.73515464,29.08269505,12.57839089,6.182261042,2.366315891,,149.2358906,149.3723625
Algeria,0,0,0,2.686602876,4.260410309,6.969643978,18.37419954,33.30781825,63.47049556,149.8675067,267.2457254,375.4586294,554.9173669,646.0458892,591.1572899,715.2840733,711.6547352,708.8319523,130.4586101,15.31076531,,4988.354701,4995.301714
American Samoa,0,0,0,0.022950606,0.046359101,0.074027628,0.165736888,0.378424558,0.974037725,1.969639274,3.83411407,5.195051785,5.626485409,5.861626468,5.573140339,4.93903163,4.176160391,2.825971503,1.199585654,0.395624775,,43.1886581,43.2579678
Andorra,0,0,0,0.000263953,0.000469902,1.09E-03,0.00530598,0.010301611,0.019594063,0.108654452,0.184835664,0.300831872,0.457636022,0.618215084,0.933469717,1.178050468,1.247369137,1.449652899,1.243718836,0.722619586,,8.481340989,8.482074844
Angola,0,0,0,8.749243812,13.5588683,13.06641008,32.56524461,52.39601338,93.22828548,198.0054681,373.0249027,466.131611,567.0248819,513.5665218,442.9123923,428.0856153,284.135418,132.7696871,59.39161189,12.68047533,,3668.984539,3691.292651
Antigua and Barbuda,0,0,0,0.027094952,0.046714531,0.065792806,0.134735964,0.242039482,0.411727298,1.220195161,2.598358072,4.132869323,5.974603219,6.495701696,7.928200305,8.158072764,7.990500462,4.853324839,2.541592731,0.99541621,,53.74313033,53.81693982
Argentina,0,0,0,3.275738545,5.910337204,8.538515143,21.62745566,36.14409647,65.14132766,193.624886,329.6093315,604.6207091,992.7744738,1389.893009,1599.079153,1676.276536,1448.991744,1082.773922,536.0000103,224.1187306,,10209.2139,10218.39998
Armenia,0,0,0,0.149156429,0.346106921,0.597888035,1.772073533,2.667027397,5.012767444,16.844921,33.86482141,95.02918008,173.0293472,221.8555546,198.0889943,167.2044411,179.12783,50.12877118,30.23809465,6.085978241,,1181.54769,1182.042953
Australia,0,0,0,0.241863607,0.505246144,1.188237483,5.474142421,7.802401913,14.41323892,45.29396505,72.00939444,119.1945224,184.5250846,285.4683729,436.8485502,560.5877776,747.4021997,781.927278,593.785877,265.5945965,,4121.515639,4122.262749
Austria,0,0,0,0.086534236,0.219053678,0.37473567,1.324830053,2.151408163,3.652069868,14.28620126,32.00388462,57.25412336,97.84319903,148.8130377,211.4626456,351.9752452,457.2926452,440.373978,322.0702362,142.3813535,,2283.259593,2283.565181
Azerbaijan,0,0,0,1.321229801,2.775102672,3.662984768,7.770163623,9.59657227,15.69705958,65.3326501,145.8646905,308.8415986,412.1777499,368.1833361,215.2365375,192.92555,152.4866823,40.77520961,9.493404299,1.22210416,,1949.266293,1953.362626
Bahrain,0,0,0,0.423533179,0.655256109,1.074181273,2.002511938,5.529280949,11.83629119,24.34355904,42.841519,75.42259857,108.8166542,114.9184479,98.43655405,89.12442463,74.78949193,40.31077195,8.816025434,0.75982107,,699.0221332,700.1009224
Bangladesh,0,0,0,55.39164726,49.05330094,66.22922038,122.2815144,176.3513549,458.1511842,1126.122553,1620.584259,1369.231154,2097.307563,2889.871715,2693.659288,3517.326893,6575.232168,5219.472699,2124.022076,478.9364063,,30534.78005,30639.225
Barbados,0,0,0,0.137300032,0.197306678,0.266906649,0.656031935,1.025296414,1.766601292,4.73189876,8.828486288,15.47842301,24.69343633,31.84173704,42.9012013,48.59451137,48.7281477,40.03109303,23.58208107,6.445581877,,299.5714341,299.9060408
Belarus,0,0,0,0.063393057,0.127998931,0.502675474,1.95728063,2.54467319,2.374908507,8.741037645,13.86119346,28.6876925,45.5578067,50.98392408,39.31909914,37.89628423,51.97859715,38.9918472,26.79188409,7.106366337,,357.2952703,357.4866623
Belgium,0,0,0,0.065491969,0.146741976,0.253159794,0.960064601,1.68606726,2.906317135,12.74561482,22.9323477,44.23988411,72.6482722,106.2595444,157.8001621,182.7241928,305.3119975,361.4796714,264.2090773,125.6723678,,1661.828741,1662.040975
Belize,0,0,0,0.323420652,0.464725472,0.700698832,1.452677453,1.694302464,2.706300989,6.766694025,11.67812036,16.42343996,18.08691261,19.11194288,19.00578549,16.41043151,14.25826715,9.132672961,5.05373571,2.442628856,,144.9246112,145.7127574
Benin,0,0,0,10.8000613,5.452085238,8.118815002,10.80919936,11.28568405,30.8778104,64.56726921,101.2272132,114.3711777,156.6606598,196.6642542,184.0250414,212.5848476,171.7931361,82.09392364,41.08444218,13.70327162,,1399.866746,1416.118892
Bermuda,0,0,0,0.003318092,0.00537941,0.007242161,0.021150357,0.043388636,0.096840342,0.327649429,0.702889328,1.230447511,1.827349993,2.32740528,2.984503093,3.66355461,4.030739296,3.058150541,1.956437477,1.009359095,,23.28710715,23.29580465
Bhutan,0,0,0,0.107901004,0.152715736,0.221363747,0.524682238,0.685879085,1.557693708,3.610580959,6.018811262,8.747545423,14.40547487,17.70384651,21.04752989,25.61384571,23.37693984,14.97992779,6.12301867,2.00642495,,146.6235647,146.8841814
Bolivia (Plurinational State of),0,0,0,2.09204429,3.365104695,5.349995685,10.87294987,19.01405783,41.71651223,98.62937021,179.5425027,302.9147062,439.2081611,557.5126969,644.0808394,617.3309906,429.3732292,216.4752208,80.72140035,19.99578268,,3662.738416,3668.195565
Bosnia and Herzegovina,0,0,0,0.317540842,0.696212248,1.002748046,2.095057433,2.962869731,5.882933521,16.84916942,36.67150886,81.55400117,166.2457363,285.6843093,378.7264121,445.4994507,488.1363016,220.7206331,61.878848,14.39486673,,2208.304846,2209.318599
Botswana,0,0,0,1.846889968,1.93086375,2.08020327,3.494380335,8.076062346,18.19005871,36.59936935,62.34654314,101.1424854,174.7899423,183.1184759,162.3424089,133.3672648,84.08634842,44.35144959,14.56523216,3.674030513,,1032.224255,1036.002009
Brazil,0,0,0,37.27337369,66.17304563,96.34376993,234.4675908,431.4205086,768.0179961,1568.851575,2808.935387,4452.776806,6374.639622,7909.046684,9110.415457,9320.321163,8483.525289,6299.81379,3254.121649,1666.485328,,62779.18262,62882.62904
Brunei Darussalam,0,0,0,0.129342923,0.287122141,0.472994261,1.279272971,2.11868392,3.806506245,8.61076902,10.79864503,16.88904318,21.94836363,26.43405169,24.35841624,21.30353564,15.60516949,6.817634229,1.480024837,0.224870404,,162.1479808,162.5644459
Bulgaria,0,0,0,0.240776966,0.470035779,1.053273515,2.963832174,3.531901216,5.657139697,31.0819956,56.10406973,96.62960274,185.9484951,285.4450456,409.1897659,429.1281651,332.4523039,187.4257518,63.958037,10.7129386,,2101.282318,2101.993131
Burkina Faso,0,0,0,19.37715737,7.649877715,14.63536306,27.18319617,25.96138372,75.95394167,148.721038,235.391685,282.9351609,330.4449752,359.2633283,291.7280846,326.2362777,286.4166086,152.8885449,76.54119027,22.04869293,,2656.349471,2683.376506
Burundi,0,0,0,3.846401864,5.150629758,4.464775825,10.63062226,19.17840044,29.27230817,62.41742114,111.3016657,152.5471533,212.9195468,186.287022,170.8623832,146.4349367,120.5740909,61.831612,25.45380031,5.494854318,,1319.670593,1328.667625
Cambodia,0,0,0,6.700994188,9.834744039,13.85198565,27.02179683,38.75120295,60.08141417,125.4775411,245.516239,367.0702365,468.8931844,487.3238389,480.1184358,418.8188105,324.4113162,188.7476628,69.95418103,19.09324852,,3335.131094,3351.666833
