Location,Under 5,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 to 89,90 to 94,95 plus,,over 25,Total
All countries (204 in total),0,0,0,8942.991582,18618.83959,29395.06803,59558.53359,95560.29884,157013.8158,255178.4013,396241.0077,552328.8653,741892.0267,923004.386,1056346.155,1177258.917,1426378.737,1195048.781,719505.0156,320231.0667,,9105220.088,9132782.32
Afghanistan,0,0,0,122.6033561,187.3545618,364.8771877,568.89021,886.1331558,1681.174478,3963.822201,4493.66467,3217.206286,2534.010313,3379.869048,3836.927668,3706.679206,3013.078519,1789.510728,698.7897725,183.195961,,34317.8294,34627.78732
Albania,0,0,0,4.629965889,11.51175863,17.81192341,22.2041007,23.93167777,33.46883694,60.32057839,110.6634196,195.8685923,366.3207354,489.38613,750.36571,990.1423227,1303.378666,914.0826835,496.4246254,217.6337207,,5992.003723,6008.145447
Algeria,0,0,0,68.56034784,114.3968093,206.4321584,458.1490039,738.8992366,1087.884345,1769.951753,2571.241072,3333.258822,4679.454641,5612.934418,5588.355835,7887.111591,9631.753446,11932.01875,2634.000129,377.667444,,58509.11265,58692.0698
American Samoa,0,0,0,0.033037164,0.139016059,0.194548733,0.496891633,0.923914974,1.982497414,3.629656868,5.650416833,6.543491406,7.74231098,7.294609805,7.066985296,7.076199437,6.389081179,5.471287313,2.690786205,1.152165579,,64.30484366,64.47689688
Andorra,0,0,0,0.003480271,0.013974448,0.029721255,0.086233838,0.240198848,0.597937734,1.140272737,1.836930386,2.576358873,3.400224092,4.331807138,6.264894804,8.311714402,9.917283826,14.11066618,13.64979082,9.243934076,,75.73796901,75.75542373
Angola,0,0,0,38.04820862,34.65236423,50.95855656,108.6748399,157.3329117,282.0499096,457.0651381,678.1966839,929.2652006,1158.200856,1365.383632,1237.126056,1244.723894,866.3983037,453.3096505,186.0810439,53.00765525,,9227.774333,9300.474906
Antigua and Barbuda,0,0,0,0.018786149,0.053256581,0.101579004,0.159656058,0.354607483,0.632269483,1.428334818,2.913713755,4.64622955,6.727167215,7.876573795,9.647821323,10.46516294,12.59139731,10.64710215,6.763250438,3.164807846,,78.11967317,78.1917159
Argentina,0,0,0,25.33381926,44.9933028,65.66580578,123.6510518,227.516158,427.2055089,807.9882684,1321.823367,2106.121961,3112.194433,4200.444682,5221.621034,5988.939171,6966.385559,7083.355272,4935.227365,2712.720994,,45300.86063,45371.18775
Armenia,0,0,0,1.092363652,3.13155129,6.989456935,19.14612227,39.99325179,83.21769147,134.4183591,240.8296328,475.5265578,693.335992,843.5470326,873.2078938,1067.1531,2113.922798,1524.640489,942.9716846,192.2652717,,9251.165333,9255.389248
Australia,0,0,0,1.087560876,4.088124927,12.76680551,37.08018045,86.58447466,157.2627402,294.7817782,455.8005902,693.6518885,978.7631591,1375.099401,2073.730005,2724.5393,4040.69875,5404.785362,5151.08726,3141.454685,,26628.08638,26633.26207
Austria,0,0,0,0.63570424,1.599571121,3.309358904,9.531658945,23.28061596,50.09276232,117.438674,229.2429104,361.9533408,550.2403093,818.5110007,1231.497898,2102.144488,3063.239881,3897.743798,3506.190478,2120.367079,,18084.78425,18087.01953
Azerbaijan,0,0,0,14.60415762,37.15570485,59.33136746,117.9836468,200.0204328,336.0945274,632.9024346,1250.497661,2310.475159,3135.075609,3217.777054,2667.488342,3719.081655,5884.578682,2914.896985,631.9197212,78.80075117,,27156.92403,27208.68389
