Location,Under 5,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 to 89,90 to 94,95 plus,,over 25,Total
All countries (204 in total),0,0,209.0960034,737.0143821,1421.378733,2802.467803,6801.719412,12993.85128,27237.19343,58668.92468,117230.7467,183757.3961,262074.6923,327339.8977,339643.9601,284874.4187,223531.0019,131453.9288,46285.09442,14525.29243,,2039329.935,2041697.539
Afghanistan,0,0,1.533901546,4.714857485,8.702008833,13.78633356,24.12567655,38.02561376,67.45126297,179.9142179,220.9248712,153.3321658,136.5007412,173.1271856,184.9357644,149.0224235,86.36774733,38.22212558,9.800708514,1.777553638,,1477.314392,1492.265159
Albania,0,0,0.277010559,0.886844744,2.22502847,2.825439413,4.182066057,5.737649251,11.35768827,25.49077548,54.25198413,97.09460658,164.8825544,198.4694897,205.7985861,182.7844809,124.4505288,54.77496017,18.11895029,4.484853379,,1154.704613,1158.093497
Algeria,0,0,0.854616085,1.521395819,3.174486174,6.538859449,21.0669036,46.15937917,77.61561756,153.0956706,247.6778609,343.5473585,494.3900865,533.3780252,431.1717375,407.6499124,288.9523827,197.5758683,32.79993651,3.669433333,,3285.289032,3290.83953
American Samoa,0,0,0.004227283,0.026788571,0.046114494,0.041285448,0.053002227,0.091153826,0.303403241,0.521520887,1.031069645,1.460482512,1.838643952,1.981000782,1.828403045,1.699779261,1.072459353,0.5009917,0.155092429,0.068373404,,12.64666171,12.72379206
Andorra,0,0,0.000970519,0.003068668,0.008264473,0.02076132,0.074134478,0.244411316,0.736383482,1.789619089,3.24566028,4.937060258,6.120651863,6.690674446,7.484646524,6.429623579,4.43374297,3.472930015,1.722890896,0.618448782,,48.0216393,48.03394296
Angola,0,0,0.928493036,2.354633654,3.352098688,5.601432704,13.10525457,23.94059316,53.68127619,104.8998884,184.1226545,245.8015992,276.9941847,261.3697869,175.888402,135.8738745,62.11572682,23.81366195,6.532885762,1.345326648,,1575.086548,1581.721773
Antigua and Barbuda,0,0,0.000708115,0.004635118,0.008128447,0.012241437,0.025862714,0.061629026,0.128673896,0.305645095,0.642569136,1.063119294,1.432441814,1.352452486,1.412539364,1.191430686,0.972950202,0.528636079,0.208544624,0.064458396,,9.40319425,9.416665929
Argentina,0,0,1.320201583,7.638051631,11.84865973,15.70370914,37.35365642,79.47038441,173.1156728,382.9547384,772.4950051,1393.231863,1995.061016,2428.49011,2379.776847,1842.265967,1271.442029,721.4229614,273.2942055,92.04546988,,13858.12363,13878.93055
Armenia,0,0,0.063027423,0.662764827,1.233681934,2.655296908,4.757083723,8.730516808,16.87785769,36.58784689,73.09363036,166.618478,259.4313009,266.483687,174.9195601,128.7556771,127.3992635,47.85061222,15.77460391,1.860755831,,1331.796171,1333.755645
