Location,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 to 89,90 to 94,95 plus,,under 25,over 25
GLOBAL,1922.175523,4655.839295,7573.54184,15146.62763,35715.66827,62960.22563,91179.57614,132063.8441,157531.087,167150.2766,169529.1281,156747.9449,104362.9394,50280.62801,18072.13524,,2252.560543,1174891.638
Afghanistan,10.45193077,16.43694116,26.4365388,56.79742052,197.6069596,306.189877,242.5766346,230.6178668,319.9125796,331.8033353,259.4093348,179.3537207,83.99475178,28.21522891,6.155023889,,16.05627018,2295.958144
Albania,0.084409262,0.18035761,0.136497322,0.178522642,0.919643915,1.678034866,3.454510233,7.889912885,11.9647588,17.8216535,20.96469052,20.0924847,8.86261343,4.160014782,1.549025664,,0.075348514,99.93713013
Algeria,4.069795339,11.89734202,21.14303571,41.82936307,102.2971653,183.9041914,254.0320634,381.7057208,444.0242655,394.5185583,495.1859354,478.0454639,483.5387786,87.23865653,9.841599246,,3.994530686,3393.271935
American Samoa,0.047740906,0.105464581,0.251045582,0.653079724,1.392810684,2.846920718,3.910129422,4.33949065,4.667456973,4.451193695,3.910060358,3.172818519,2.067615934,0.845301673,0.269727136,,0.043454603,32.93085656
Andorra,0.000573717,0.002650603,0.005252263,0.010077743,0.066748947,0.123316543,0.200047061,0.306247014,0.407182609,0.609944459,0.80446655,0.861214206,0.995423838,0.847114653,0.457670828,,0.000433535,5.697931035
Angola,6.993592005,18.47565975,31.45490201,56.53103144,128.8464967,249.560641,313.7142055,395.2722727,368.945913,312.454261,312.9066373,205.5623038,96.66882601,41.26635569,8.061501704,,11.45612363,2546.714599
Antigua and Barbuda,0.041689868,0.093172828,0.163875445,0.293260425,0.917771049,1.966800379,3.174316016,4.651596507,5.275671989,6.321634543,6.644515186,6.271944714,3.787995691,1.92305915,0.745980657,,0.047136702,42.27328445
Argentina,5.681930145,16.42454541,27.99834841,52.09614805,161.9272318,282.6924782,503.8704566,838.5031348,1159.680665,1335.773124,1414.927812,1210.093745,880.7948476,415.0802946,169.06264,,5.955884538,8474.607402
Armenia,0.334197293,1.135570341,1.806347911,3.369115801,12.63868586,25.88630744,71.70596246,135.3083613,177.038431,157.2361685,132.4549244,141.2313086,39.70756092,23.12643784,4.465402519,,0.297350101,927.4447822
Australia,0.691626141,4.042750697,5.865707979,11.20173629,38.25104496,60.63884001,99.96095765,154.828508,238.8443072,364.9037908,464.7480439,608.5735144,628.8404458,458.6547762,191.263357,,0.491499274,3331.309407
Austria,0.25244676,0.946698619,1.552451232,2.58785883,11.55341557,26.67931998,46.93374377,81.32243485,125.2248728,178.0001769,298.7910646,380.1760858,360.7832673,248.8276565,103.9516094,,0.193805392,1867.583103
Azerbaijan,1.951435124,4.442006859,5.761588978,9.447442013,45.50524418,103.2921638,219.5081279,296.6654434,266.0195699,159.4371075,142.3558157,104.3132191,28.11691743,6.466819415,0.773376631,,2.193910387,1394.056278
Bahamas,0.253738925,0.653524426,0.987643426,1.678616116,4.213877413,7.468679538,8.940212423,12.37705457,14.08399651,12.9100855,14.43796342,12.32713559,6.75684716,3.956065178,1.973846053,,0.249742965,103.0192862
Bahrain,0.73711226,1.4605956,4.030575579,8.299557308,17.52218279,30.82785485,53.80149626,79.39494437,85.15103323,75.82600696,67.73559458,57.15234407,31.55685702,6.441602147,0.55320463,,0.753441671,520.4909617
Bangladesh,34.23555122,72.9498448,108.6986479,294.7015956,768.114469,1119.206559,936.0108147,1465.812389,2073.509934,1891.533342,2528.528619,4515.517673,3620.35764,1487.838621,316.4833478,,52.90913404,21233.49905
Barbados,0.165159988,0.457957957,0.714850909,1.274478018,3.468396452,6.534246302,11.31081371,18.71056056,24.85914157,33.62945472,38.44089213,38.89948098,32.3455484,18.41963987,4.912880255,,0.213079234,234.1435018
Belarus,0.305706841,1.095851608,1.556608037,1.443599862,6.063736303,9.726915849,19.87150044,32.07804991,36.68229204,28.50260678,28.43746396,39.14970106,28.99403044,19.89614608,5.129321771,,0.112491857,258.933531
Belgium,0.147803808,0.546775719,1.115620945,2.007843645,10.29336312,18.67713571,36.08220513,58.74393492,87.99929007,130.2752944,152.3658145,247.5197127,293.686791,203.599342,92.66100526,,0.127013982,1335.721933
Belize,0.468423052,1.050459142,1.270606606,2.057197003,5.385298959,9.331230742,13.10954017,14.67784103,15.4328277,15.80639081,13.36725475,11.47876793,7.107416243,3.719955148,1.783348424,,0.526732807,116.0465577
Benin,4.445125181,5.983133934,6.466649142,18.78314668,41.74926442,64.71272063,71.56684559,106.0648849,138.1728241,133.0510021,155.0551353,122.8205768,56.69440249,26.92757709,8.892157176,,8.619018516,961.3854456
Bermuda,0.004532133,0.01439068,0.029890866,0.067599735,0.241323637,0.533780251,0.902567596,1.372920882,1.773339916,2.253616216,2.780949323,3.125320697,2.307195034,1.446160796,0.734253627,,0.005377873,17.58784139
Bhutan,0.106939082,0.251277263,0.341930898,0.885459082,2.202904213,3.836956789,5.65232218,9.218577046,11.84578795,14.56052036,18.03798407,15.7259139,10.23630236,4.192928644,1.268581391,,0.135924975,98.36438523
Bolivia (Plurinational State of),2.607836459,4.907504077,10.62829223,25.40360594,62.54282484,117.3366892,203.1417767,295.2838884,376.7952312,452.3003403,443.3786152,299.2258552,148.6256399,50.5591857,12.21452005,,3.03070689,2504.951805
Bosnia and Herzegovina,0.630838118,1.403199475,2.059324355,4.090565733,11.57333783,25.54756469,56.39527261,118.7317196,201.5021203,272.0526272,312.40672,330.4696642,150.3186499,39.1054369,9.548758473,,0.65259036,1535.835799
Botswana,1.075968977,1.803507194,4.174543177,10.04897645,21.33692129,37.68424904,64.3568795,112.5517257,125.9958383,116.1010011,98.27164151,58.43268153,30.52821659,9.341926459,2.222309041,,2.144103842,693.9263859
Brazil,81.60428163,212.2457754,395.1483136,704.7694721,1470.624174,2628.220282,4178.407767,6010.325348,7421.285528,8459.605339,8484.004432,7209.493495,5118.246346,2450.854831,1202.655743,,88.53701544,56027.49113
Brunei Darussalam,0.29961361,0.88968694,1.472099412,2.782322213,6.645554272,8.514643907,13.21864675,17.40457707,20.90457692,19.31661952,17.31814924,12.50274697,5.337672102,1.09061871,0.160597784,,0.280661318,127.8581254
Bulgaria,0.616378367,1.84350667,2.339392023,3.570820847,21.66641654,40.00835157,69.18585147,136.6592102,207.3854139,305.0961397,326.0692035,257.6253355,148.2758296,50.35194055,8.241281166,,0.401609039,1578.935071
Burkina Faso,8.467904117,14.53828868,15.95257025,47.77104973,101.7056112,165.4540586,195.6146136,229.6995212,258.9672451,208.4860519,239.7755204,206.2899887,107.4876609,53.71145893,14.38694883,,14.05772494,1868.308492
Burundi,2.442919758,6.187996984,11.19542458,17.97462772,39.76185941,73.65287551,99.73294277,145.897005,130.2225897,123.5114134,103.3012404,86.07803605,42.8481508,17.37982616,3.567334754,,4.950781097,903.754243
Cabo Verde,0.130517088,0.232556971,0.226704032,0.788868974,2.218450204,3.951091763,5.561542079,7.796707708,10.05131023,8.336267919,11.39729382,18.41115617,12.7654113,6.723350067,3.155326474,,0.239568975,91.7465548
Cambodia,8.010962028,16.35567479,23.38664962,37.02191932,82.3083814,165.4967772,243.9678716,319.7836312,340.7754782,342.9858882,302.0222908,230.3130924,134.249741,47.58030067,12.15448167,,10.11585564,2306.41314
Cameroon,18.17593249,28.01920991,26.42805763,73.54800272,148.9746435,241.4626317,287.9218746,391.506935,516.4348234,437.5500199,471.7314291,364.8323184,172.4011414,72.86207658,17.9288042,,29.36061578,3269.777901
Canada,0.699961963,3.699541004,5.589751058,9.77480941,59.50095334,112.8428916,209.9310971,370.9858304,525.5106943,678.8154472,757.0232367,888.2777916,826.8886508,646.4650677,394.294282,,0.430913141,5490.300006
Central African Republic,1.669239894,4.12499605,8.53046163,16.94684267,44.06481999,81.21723325,96.5791183,107.5717024,80.97066957,69.31596783,50.79352466,31.43284231,12.12736516,4.159271735,0.733802624,,3.25642306,610.2378581
Chad,4.697429129,6.756043305,7.392617246,20.07611943,48.25176616,78.01209703,88.92591959,124.2406953,172.9821898,146.7558972,154.2336227,115.7618429,58.70138928,21.69904193,6.902834545,,12.31990628,1055.389506
Chile,1.12532197,3.233246817,5.961138944,11.58766286,35.58079826,75.28297519,138.1654045,230.784632,322.8447929,407.9965636,503.4962475,500.2933967,464.3091063,261.3884135,92.6588572,,0.924677762,3054.708558
China,139.1169976,410.6586862,591.9023876,1139.562619,2906.305489,5920.421374,8391.045479,12606.64524,20198.37828,25333.37433,23943.67868,21603.99468,14090.8908,3815.348165,818.0454157,,91.20575799,141909.3686
Colombia,12.57873808,23.55791589,34.17361911,51.14707182,97.46886067,189.6218967,317.0644151,475.9979571,569.1271912,676.8622309,751.6693969,722.9539503,549.6504503,315.1718691,183.1671594,,12.21747552,4970.212723
