Location,2019 LBW Counts
Afghanistan,248369.552
Albania,1266.132735
Algeria,49878.65549
American Samoa,62.51584649
Andorra,27.89433257
Angola,126370.1809
Antigua and Barbuda,70.15284682
Argentina,48478.55418
Armenia,3130.419329
Australia,19581.57424
Austria,5654.829882
Azerbaijan,9181.28937
Bahrain,1431.422244
Bangladesh,519889.9399
Barbados,213.4081912
Belarus,4779.805408
Belgium,8478.623658
Belize,510.3568834
Benin,64291.81996
Bermuda,52.95063416
Bhutan,1098.778714
Bolivia (Plurinational State of),17926.21199
Bosnia and Herzegovina,727.6273579
Botswana,5813.062119
Brazil,253758.7796
Brunei Darussalam,556.1210842
Bulgaria,5532.673677
Burkina Faso,86813.90462
Burundi,48799.78485
Cambodia,27318.58638
Cameroon,80995.14133
Canada,22971.82993
Cabo Verde,965.9397024
Central African Republic,21029.20411
Chad,67796.78116
Chile,13730.57242
China,581872.6599
Colombia,60784.63989
Comoros,3041.810471
Congo,12886.52476
Costa Rica,4916.200484
Cote d'Ivoire,117556.8758
Croatia,1760.64322
Cuba,5401.101157
Cyprus,948.5963914
Czechia,8507.055939
Democratic Republic of the Congo,240103.3904
Denmark,3215.906441
Djibouti,3065.73334
Dominica,61.76667214
Dominican Republic,19618.5949
Ecuador,30005.94512
Egypt,140078.5535
El Salvador,8916.059723
Equatorial Guinea,3405.937318
Eritrea,17515.79465
Estonia,540.0272386
Ethiopia,320508.0301
Micronesia (Federated States of),116.0296957
Fiji,1047.83855
Finland,1989.296106
France,41742.16543
Gabon,4662.315658
Georgia,2595.923141
Germany,46528.94452
Ghana,93631.14679
Greece,5976.598663
Greenland,61.90017951
Grenada,103.9860832
Guam,193.9538581
Guatemala,33573.18492
Guinea,41680.6541
Guinea-Bissau,10051.79183
Guyana,1724.406195
Haiti,23984.85087
Honduras,19683.32314
Hungary,6989.254514
Iceland,163.4449474
India,4029459.027
Indonesia,281128.93
Iran (Islamic Republic of),90449.12613
Iraq,62851.64655
Ireland,3411.836875
Israel,14487.17142
Italy,24140.46763
Jamaica,4088.377595
Japan,85914.83316
Jordan,26259.1654
Kazakhstan,17567.72237
Kenya,116304.5021
Kiribati,178.4301974
Kuwait,4680.874351
Kyrgyzstan,7576.58255
Lao People's Democratic Republic,19380.32044
Latvia,852.1556032
Lebanon,7589.304745
Lesotho,5178.697979
Liberia,11825.9603
Libya,5425.836957
Lithuania,975.7025946
Luxembourg,406.7561068
North Macedonia,1871.64979
Madagascar,96456.52872
Malawi,59695.09959
Malaysia,59813.19438
Maldives,672.8050779
Mali,83146.8671
Malta,260.7484509
Marshall Islands,73.54221323
Mauritania,9667.054522
Mauritius,2121.53906
Mexico,128867.0973
Republic of Moldova,1288.97882
Mongolia,3369.638303
Montenegro,351.5228395
Morocco,82880.49193
Mozambique,117230.0225
Myanmar,86607.42869
Namibia,7508.890908
Nepal,91725.79416
Netherlands,10621.22533
New Zealand,3268.12287
Nicaragua,10891.55813
Niger,99288.93595
Nigeria,654366.3178
Democratic People's Republic of Korea,20547.81182
Northern Mariana Islands,29.3400963
Norway,2523.60544
Oman,6303.301532
Pakistan,1123864.174
Palestine,7902.077077
Panama,5981.081508
Papua New Guinea,19002.31303
Paraguay,8102.132039
Peru,45833.83267
Philippines,370473.5339
Poland,20876.1993
Portugal,7105.261266
Puerto Rico,1888.873372
Qatar,-332.4224256
Romania,11479.52746
Russian Federation,92365.94569
Rwanda,21194.23349
Saint Lucia,133.2565359
Saint Vincent and the Grenadines,113.2166914
Samoa,225.129299
Sao Tome and Principe,229.5994899
Saudi Arabia,30128.81479
Senegal,63492.40994
Serbia,3020.664218
Seychelles,130.4801436
Sierra Leone,30209.6181
Singapore,4266.967717
Slovakia,4107.236069
Slovenia,1051.187576
Solomon Islands,1225.999728
Somalia,74776.66562
South Africa,112264.3403
Republic of Korea,23385.72995
South Sudan,31145.68965
Spain,30350.67027
Sri Lanka,46297.10033
Sudan,104178.885
Suriname,1017.964892
Eswatini,2259.918392
Sweden,2156.109512
Switzerland,5615.220887
Syrian Arab Republic,15275.86558
Taiwan (Province of China),6882.350259
Tajikistan,10834.03294
United Republic of Tanzania,161619.567
Thailand,60236.22112
Bahamas,426.0086448
Gambia,9313.342849
Timor-Leste,2246.893362
Togo,29336.30241
Tonga,139.8282971
Trinidad and Tobago,1469.404015
Tunisia,9838.239276
Turkey,87677.64727
Turkmenistan,4230.976603
Uganda,138042.2789
Ukraine,21308.8062
United Arab Emirates,5707.110041
United Kingdom,53955.07913
United States of America,300447.2423
Uruguay,3379.900463
Uzbekistan,29052.7055
Vanuatu,647.6912613
Venezuela (Bolivarian Republic of),41629.81201
Viet Nam,77151.81495
United States Virgin Islands,94.72251104
Yemen,60641.49283
Zambia,54715.67305
Zimbabwe,43375.93157
Cook Islands,7.208385822
Monaco,13.65892562
Nauru,17.63981365
Niue,1.513628628
Palau,11.34575698
Saint Kitts and Nevis,52.13239276
San Marino,8.08559501
Tokelau,2.20198169
Tuvalu,12.83261007
