Location,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 to 89,90 to 94,95 plus,,under 25,over 25
GLOBAL,13331.4881,23530.98712,39795.79817,69934.58517,115935.3886,199201.6838,276812.3512,413362.8078,573975.6515,708663.1966,806553.7142,897568.2299,697712.8089,335250.9922,126596.6569,,25201.29665,5298226.34
Afghanistan,172.801085,194.2610751,298.778962,479.7425371,985.4073144,1134.014556,774.001101,675.0486045,1008.359264,1268.26692,1314.663701,1163.92328,655.9249739,236.5262705,52.5041065,,233.586525,10414.22375
Albania,6.379766974,8.486075606,7.749193835,10.53433935,17.30523161,32.90749965,66.69843603,154.3857345,263.8760753,487.9151438,757.2954715,1070.582799,760.8843857,372.3977718,136.5943247,,14.80785373,4153.992249
Algeria,62.60505722,103.4483153,191.408463,276.3740596,385.7443977,561.3241105,753.431629,1171.759883,1555.426353,1735.494427,2736.994941,3553.172318,4246.000211,841.6002537,98.54252624,,114.7442845,18273.32694
American Samoa,0.193422522,0.206606704,0.369920069,0.678707205,1.110304108,1.970448667,2.483212237,3.105062168,3.5374926,4.107281021,4.565081057,3.974733715,2.983003311,1.246720443,0.411758587,,0.286735777,30.94375442
Andorra,0.016844036,0.032877997,0.06534627,0.140879914,0.24150732,0.351572222,0.524617343,0.746514922,1.045809805,1.86500831,2.970364863,3.840503354,5.360241298,4.896865319,2.771675944,,0.016618978,24.87062892
Angola,42.76738626,62.99096209,92.07853257,213.9699621,295.1675688,495.2195287,640.8162968,875.6094767,1019.387015,934.131625,1074.195548,687.2633253,309.8999801,111.7717241,27.03348166,,141.3009545,6882.302413
Antigua and Barbuda,0.091420564,0.121380508,0.249613102,0.454384472,0.999852015,1.928495648,2.820140328,4.212621298,5.065442387,6.236306943,7.884513862,7.59103851,6.843667563,3.414194361,1.399410329,,0.128056316,49.31248189
Argentina,57.48468471,90.30333318,158.9763369,277.3690416,461.4324922,638.3826033,935.5421238,1439.552642,1901.983278,2477.50267,3311.011644,3423.24479,3083.086433,1738.58605,763.0471192,,99.00238626,20757.50524
Armenia,1.335436194,2.193467003,5.457592012,11.73681216,22.06012507,42.35198124,90.5031103,149.6486092,198.3100853,223.7544852,284.2891266,522.0326473,325.9786282,170.8169537,27.97006061,,1.239736481,2078.43912
