Location,Under 5,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 to 89,90 to 94,95 plus,,over 25,Total
All countries (204 in total),9581.929542,2755.639337,3744.902151,8263.404816,14094.74285,18705.76145,32102.6383,53094.83284,92315.34756,151161.6333,256531.5109,352752.9814,512445.5322,698607.623,852250.0179,962204.8308,1077294.172,848127.6348,430889.3065,172159.9288,,6510841.451,6549283.147
Afghanistan,57.96068204,19.66956278,36.03767008,109.0069007,192.8947859,286.0565879,313.6459475,478.7725166,766.0760873,1561.727284,1752.880211,1238.958985,1062.37535,1553.711121,1964.418733,2124.285634,1803.60035,1028.13106,377.2843748,88.68332042,,16400.60756,16816.17716
Albania,7.693594097,3.080566858,2.767241709,4.0424642,8.351155157,10.17344605,12.68251177,11.76990973,15.99419661,26.93924934,49.65478906,96.29763218,222.8376184,361.0308649,662.1011952,1003.966373,1404.288694,1010.881154,498.9362972,191.0952116,,5578.649143,5604.584165
Algeria,42.04030996,13.28356163,24.30637238,42.92183058,66.94226235,104.4145069,168.6350878,293.1115347,415.184996,564.430449,808.5298551,1086.039144,1609.466734,2118.974118,2350.956663,3665.774237,4659.850223,5515.899023,1120.636043,139.73416,,24621.63678,24811.13111
American Samoa,0.029257114,0.014295508,0.030857005,0.12176015,0.248474385,0.296735391,0.324116402,0.578643289,1.024001755,1.598739207,2.705161023,3.307237746,4.101785122,4.48034428,5.143307955,5.648289166,5.155702983,3.965246405,1.712551157,0.575826789,,40.61768867,41.06233283
Andorra,0.001638339,0.000819431,0.002025946,0.005914187,0.016436911,0.028966196,0.055732547,0.116814225,0.232358885,0.378106771,0.558758385,0.807207263,1.131845584,1.603853174,2.809922811,4.30057973,5.507846814,7.688178356,6.967379633,4.248016963,,36.43556734,36.46240215
Angola,71.1748929,20.48878017,26.62389176,51.29069959,80.31645969,73.04274886,104.4966077,151.1812303,343.1906319,466.3734758,736.9303819,932.2027697,1214.808254,1392.382615,1236.931529,1392.309278,929.2565422,441.9331609,169.450484,43.35369519,,9627.843405,9877.738129
Antigua and Barbuda,0.017052014,0.007372747,0.010774174,0.050242264,0.108916807,0.143190007,0.198283572,0.394178608,0.673692654,1.388319945,2.646833737,4.068992204,5.656881068,6.478543165,7.954765157,9.501856564,9.970454139,8.412252849,4.694387974,2.025100754,,64.2077324,64.40209041
Argentina,11.68552774,6.615035369,11.68049169,47.60118802,64.28237517,83.91120231,126.2015342,216.8057304,367.9589286,572.8614987,823.2238801,1185.364506,1771.012966,2416.352534,3132.159202,3864.090973,4270.821431,3832.620179,2252.665376,1008.044171,,25924.09411,26065.95873
Armenia,0.071267871,0.126777104,0.100559654,0.578775282,1.235158735,2.23474667,3.625517177,8.439515842,17.05565192,30.45728037,58.67749559,123.2605552,197.5241382,260.2318956,291.2037631,352.4274511,655.8143059,403.1217999,222.6980506,38.09472658,,2664.866894,2666.979432
Australia,0.838971638,0.459891722,0.879759117,2.083878046,4.191518946,8.079928066,16.2725144,29.79615807,51.43121169,89.44610117,125.6542978,185.5253006,266.2528705,429.1446445,800.791827,1332.156897,2130.171541,2944.797426,2741.869496,1603.139749,,12754.52996,12762.98398
Austria,0.302349015,0.174419383,0.375026715,0.817783469,1.525450729,2.441694231,4.324998817,8.438260409,17.38603127,30.09236859,56.64887467,85.40190633,125.8722131,202.3719665,348.8989954,680.3423896,1028.673227,1220.045867,1021.160492,539.0868264,,5371.186112,5374.381141
Azerbaijan,0.255703348,0.893308933,1.139650126,5.618054463,10.11977689,15.78489495,32.51687334,57.57240465,101.5580991,205.5215464,450.4687266,889.8051284,1281.280871,1372.427013,1159.699866,1565.35195,2258.85063,1090.229399,203.9876742,20.02435193,,10705.07943,10723.10592
Bahrain,0.38653914,0.089844339,0.176022759,0.668073302,1.243030936,1.453178625,2.565271343,8.271593184,10.20909014,11.14867354,13.45647062,19.13758714,25.23169208,27.42361045,27.29619515,32.77182714,35.56011356,21.87091871,5.409006702,0.53809906,,242.3433274,244.9068379
Bangladesh,102.5697168,107.7333606,180.664067,258.9255595,537.1828065,804.4435094,1304.54441,1762.261905,2678.416825,3917.625409,7433.007229,8760.643301,14637.21686,18743.2762,22232.28642,23103.81842,24591.01135,18801.03531,7273.784495,1575.872455,,157619.2441,158806.3196
Barbados,0.032904884,0.014668491,0.032689425,0.167000298,0.248843043,0.359848784,0.724303072,1.268557501,2.367797378,4.959232197,7.436308061,13.1485224,20.33214451,27.68300806,42.05770034,48.59111882,54.7158343,55.18591621,34.37779136,12.14016393,,325.3482469,325.8443531
Belarus,0.083167251,0.062022272,0.16006467,1.391870731,4.125680198,10.57140388,32.67846618,64.2209956,126.9365903,242.3183534,413.8100941,817.6525141,1378.844244,1754.578404,1870.868712,2163.70808,3441.473285,2706.276193,1477.910018,398.5893256,,16900.43668,16906.25948
Belgium,0.83100887,0.487117964,0.689108189,1.770664405,3.309278028,4.926758615,8.449246704,15.33964955,29.31467303,51.15783278,90.12045329,152.3495883,238.0796371,361.0766742,652.1055782,972.501556,1769.505834,2364.901304,1757.663484,851.8049489,,9319.297219,9326.384396
Belize,0.130945783,0.045637324,0.084933612,0.465972747,0.689568908,0.969462726,1.646743531,1.92907453,3.130517444,5.452435316,7.483395594,10.90268058,13.06441021,13.40330586,15.02801449,16.66044792,17.75466557,14.89018395,9.548219039,4.732402981,,136.5959597,138.0130181
Benin,95.34601373,14.72788732,20.11267884,16.3947064,33.47869153,33.97724419,44.48217753,68.79366723,129.9417173,170.2055056,273.5130082,325.479622,465.0269091,514.9035301,644.7023133,755.811105,637.3895247,346.9458975,167.0583013,51.775191,,4630.005714,4810.065692
Bermuda,0.001336397,0.000995562,0.001515694,0.008575463,0.016877908,0.018273507,0.039261757,0.092229501,0.216181344,0.469597283,0.931643076,1.563475812,2.220008248,2.930375808,4.306372666,6.275987049,8.81325015,8.296924756,5.697295237,3.361413441,,45.23228963,45.26159066
Bhutan,0.491123626,0.096194525,0.14405956,0.484498447,0.861902428,1.049152497,1.720903642,2.720216777,4.312468345,7.177628167,12.0359046,18.85434517,30.37568729,43.78741211,53.4216391,61.45320594,45.58330456,33.21769213,14.37641869,5.421414118,,335.5073931,337.5851717
Bolivia (Plurinational State of),17.26929984,7.140674281,7.286087268,29.58327824,34.77161513,40.30353045,49.09692603,70.36368226,112.7608595,167.1644579,247.2543707,327.9124392,445.816875,586.099149,730.1007252,845.7979193,775.9452832,494.508534,233.3905621,66.20756126,,5192.722875,5288.77383
Bosnia and Herzegovina,0.782836015,0.355040134,0.923861899,1.992133253,3.727463403,3.773431991,7.464820597,13.02851531,26.80183372,47.85763306,94.931623,192.5286037,336.2581083,610.3927488,941.7846405,1381.354882,1965.64664,1286.677142,480.8646665,136.3492064,,7525.714496,7533.495831
Botswana,2.668810862,0.99685075,1.306565519,3.925169374,4.602247549,6.435285299,10.8561566,19.79798568,33.45446312,49.9739001,71.44237896,97.71877253,168.6659205,191.9267604,189.4242061,191.9370332,164.8181025,101.4807023,38.60613609,11.16243484,,1347.700238,1361.199882
Brazil,68.20726161,41.58471132,77.65661825,191.4237356,292.3265588,411.1972484,752.1360692,1456.256381,2505.435382,3702.02395,5677.53537,7862.492681,10494.36882,13243.00665,16396.142,18740.20891,19371.43233,15928.69457,9003.985063,4790.912003,,130335.8274,131007.0263
Brunei Darussalam,0.087205403,0.021330161,0.04538021,0.133581474,0.2569424,0.528499313,1.088247252,2.219064303,4.229117695,6.445871109,8.292381576,10.93107528,14.44368418,18.81273611,19.79997368,21.75737888,18.80715742,11.25165892,2.793116023,0.48965114,,141.8896129,142.4340525
Bulgaria,1.924069151,0.735458786,1.396597583,3.799922393,7.303100403,14.21375718,30.76529389,61.06845096,137.2010636,258.289621,435.6350806,776.0716947,1371.032426,2317.632221,3778.408818,4975.942847,6016.620566,5710.76195,2313.465277,448.2755626,,28645.38463,28660.54378
Burkina Faso,245.0897001,30.9407872,39.77738746,27.34200674,52.05568408,56.48235689,78.4597556,127.8116907,257.7463569,337.3945264,530.3330708,670.5196887,814.7322836,841.6180389,893.1473869,857.7743677,707.6408405,482.0230013,263.6906982,83.73385217,,7003.107915,7398.313481
Burundi,19.00139474,9.763460264,12.24699348,29.26548243,44.58579059,41.12861267,60.39627334,85.50107038,158.2354585,200.288463,311.7624114,407.5879362,598.9109765,665.4308239,584.5636445,570.1019829,464.2148743,219.2861782,95.45964662,26.53404239,,4489.402395,4604.265516
Cambodia,48.23343427,3.865773382,3.591358159,15.80121819,30.0173721,44.92648342,82.30525173,153.3529738,237.0760758,436.7909165,832.5185792,1176.114888,1517.76993,1789.658663,2148.339471,2212.918844,2019.736271,1342.109573,510.0416662,133.3238081,,14636.9834,14738.49255
Cameroon,149.5908375,39.5019032,60.36726621,52.18045274,104.0591826,116.0332539,156.8024933,234.7541978,414.6293117,506.0267156,771.4800739,889.4718047,1167.686229,1164.93299,1297.048999,1380.824413,1201.813473,720.9870225,327.7188922,82.18622762,,10432.3961,10838.09574
Canada,2.772272248,0.968130003,1.868135576,3.651416705,8.063418674,15.60034044,25.4362403,41.38024105,73.29099217,119.4069362,210.1556857,375.1172121,557.3302613,844.1645858,1427.995745,2072.215764,3000.764619,3899.741086,3468.965186,2329.146529,,18460.71142,18478.0348
Cabo Verde,0.575215146,0.131037296,0.346501249,0.521125526,1.247337238,1.58217712,1.905825903,2.85991917,4.93804475,8.050059782,15.03921336,20.05072974,27.22620946,25.47677537,26.72847891,35.74462755,62.81152679,56.57826654,30.24234811,14.48166443,,333.715867,336.5370834
Central African Republic,30.04372802,6.061467626,6.742539011,16.04538281,24.53163781,22.08078633,30.82567281,52.46703452,123.3108491,192.8679069,286.9826257,339.9538563,409.9648083,385.8259151,344.2969527,290.8288399,189.865764,77.53784382,22.38841613,4.886505871,,2774.083777,2857.508533
Chad,197.3604542,43.51207514,44.78846671,31.00515331,54.76287995,56.01143407,67.65134181,99.24651038,182.6691619,244.0212695,398.0538426,449.6156456,604.7567953,649.4184615,723.8771878,710.2074693,578.8162889,378.1005818,148.4146632,48.78733699,,5339.647991,5711.07702
Chile,1.217378582,1.074439713,2.391463268,8.316095285,12.81624791,19.50883543,29.35874229,56.7640173,94.52104609,159.1293708,266.9531159,417.6683355,598.0035031,816.7487977,1138.318786,1544.472506,1803.991326,1877.866735,1188.000092,508.496269,,10519.80148,10545.6171
China,298.7439345,199.4994217,191.6281378,900.2711405,1782.344956,3201.347997,7307.165825,11185.89263,21700.8473,39728.34988,76233.5088,97939.14795,146604.2227,238922.5351,327719.9415,362566.4549,417371.5527,311307.6271,99588.75549,24425.17455,,2185802.524,2189175.012
