Location,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 to 89,90 to 94,95 plus,,under 25,over 25
GLOBAL,4354.334054,8964.014213,14238.30763,28065.66433,60306.55438,103283.3766,146377.0296,203317.9153,234320.8822,244667.9371,245780.9316,231676.1085,158532.8963,80466.41726,30854.16622,,5396.84508,1795206.535
Afghanistan,59.6461478,83.1398363,111.9005539,229.0167722,691.8390572,943.8992255,850.9893339,710.1647027,881.1631903,887.135229,757.4198794,506.107057,243.4170973,84.67472194,20.75583926,,72.99765026,7061.268644
Albania,0.281218223,0.498286746,0.439533334,0.552916125,2.25000047,4.268132774,8.863647227,18.39519107,26.6086024,37.89104116,44.03711777,40.388027,17.29676148,8.58903074,3.353079433,,0.226088897,213.7125859
Algeria,11.28574937,27.65348108,50.42575516,92.01596528,214.5208089,375.9158824,532.346745,777.816719,904.9009455,832.9566163,1007.047318,1032.119781,1059.210721,192.9927352,22.9889561,,11.37052052,7134.198179
American Samoa,0.111447586,0.266854145,0.571202451,1.379864068,2.694458415,4.981291762,6.504543705,7.07463585,7.219582566,6.891726782,6.062980493,5.415298713,3.730990306,1.600544224,0.546273472,,0.106249528,55.05169454
Andorra,0.001894794,0.009396053,0.017738191,0.032848563,0.161703295,0.265774835,0.433097784,0.667158148,0.871604272,1.322747548,1.656509418,1.745536622,1.986657354,1.698963456,1.022340536,,0.001211382,11.89397087
Angola,21.46575617,52.25964914,81.67625485,144.4462143,287.7828948,540.1910996,670.615965,778.1827348,708.1295985,595.4976975,573.7337048,378.4330648,179.8545699,80.35281953,18.53193949,,38.71260967,5111.153963
Antigua and Barbuda,0.096272859,0.183550183,0.334239668,0.554609014,1.570668974,3.295346787,5.209337561,7.673507044,7.834094646,9.755762059,9.88135691,9.853265323,5.945159327,3.21954688,1.273281649,,0.104422549,66.67999888
Argentina,11.57255594,28.1551651,46.0167899,81.60241337,230.8368167,384.5712074,713.2500279,1177.668216,1637.581225,1881.324061,1990.956146,1722.597776,1298.151812,649.9930089,274.8290603,,12.65937571,12129.10628
Armenia,0.913907679,2.473454834,3.685062038,6.932660894,21.91337376,42.5127457,119.4595354,215.277559,272.3349772,244.3840164,205.4384815,217.1523888,61.55228021,37.3078619,7.614420213,,0.78300777,1458.952725
Australia,1.921056033,7.214522461,10.01911394,18.17446514,53.18800487,85.03716142,142.4294296,220.4072581,342.1284672,519.9366757,669.3712898,889.0685919,924.8137251,718.1306064,325.2238698,,1.155627616,4927.064237
Austria,0.530324992,1.760790321,2.76893508,4.730435131,17.28774686,38.17622642,68.79795517,116.2999261,174.9521446,248.1933837,409.9181017,535.4003857,515.0925455,383.0756253,173.3136422,,0.42472483,2690.298169
Azerbaijan,6.174125219,12.59660022,15.22317342,23.63093151,89.64807314,200.3795708,418.1903452,539.9104885,481.025996,285.3339522,265.5489632,225.2546553,58.32218997,14.12673551,2.03780662,,6.625864383,2637.403607
Bahamas,0.609249966,1.363712976,2.371377473,3.370702837,7.894026632,13.17747508,15.94497534,21.44667028,23.80551172,22.05676346,23.57244004,20.52062825,11.32844473,6.608717697,3.395945896,,0.578452113,177.4666424
Bahrain,1.486453784,2.788810394,7.451006105,16.47760003,34.10054922,58.05171194,102.0209118,142.8217037,146.675606,126.3802177,111.8347645,94.4620758,49.74794125,10.95527595,0.967036028,,1.497907944,906.2216642
Bangladesh,118.7724255,193.4761863,268.5216828,702.3032927,1600.666332,2263.596469,1950.673336,2953.251097,3951.400252,3870.849731,4730.98628,8638.220201,7027.757578,2846.351651,668.3152877,,185.3624145,41785.1418
Barbados,0.383744703,0.892108379,1.389217115,2.417663477,6.270032769,11.71897498,19.93816509,31.84803255,40.29840318,53.32171957,59.40499254,59.48741859,48.74750044,28.89822884,7.958054775,,0.478096107,372.974257
Belarus,0.826756175,3.033280104,3.692633807,3.490367847,12.06104565,19.07426298,39.879889,61.61854452,69.09920509,51.45166196,50.87120222,67.26410759,49.67512807,34.85996675,9.06320809,,0.309654299,475.9612598
Belgium,0.373892177,1.485410912,2.283878698,3.931617694,15.40388281,27.5983212,53.45435959,87.5243159,127.8025643,189.163937,217.2384646,360.6885175,434.5854219,323.1961725,158.0555197,,0.310877991,2002.786276
Belize,0.946997124,1.904750505,2.195390696,3.484923693,8.510382243,14.34625211,20.34866024,22.2714259,23.30780511,23.11905127,19.87781065,17.18513597,11.16403971,6.258044355,3.019387151,,1.064861882,177.9400567
Benin,13.21310051,17.71735167,18.20482634,49.18508099,101.1592317,152.5454409,169.1544339,225.598943,276.0179808,254.6322196,286.1637788,237.6650693,112.6003482,58.17145907,20.34405965,,27.42590971,1992.373325
Bermuda,0.010396574,0.029199857,0.059505306,0.133278796,0.444293445,0.908668879,1.613961006,2.434703764,3.052193799,3.829317964,4.913830733,5.162503469,3.912941535,2.486107268,1.271194704,,0.012394744,30.2620971
Bhutan,0.393916232,0.915141056,1.160272232,2.564594968,5.562941631,8.98066166,13.24023154,21.0625624,24.63331621,29.75612292,35.48676523,33.01613761,21.05103118,8.592783114,3.052556788,,0.452275627,209.4690348
