Location,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 to 89,90 to 94,95 plus,,under 25,over 25
GLOBAL,3710.183842,8765.207444,16877.58889,34731.86346,74298.63648,146377.8946,227320.9396,316934.7216,388692.0726,396909.3442,331942.1367,260330.3182,153084.9554,54981.93025,17638.40966,,3298.737433,2432596.203
Afghanistan,24.93014738,46.83718991,69.76453755,122.7904215,331.0858544,403.3695017,277.1722188,238.5541458,289.114945,318.3799247,250.875271,147.7361227,67.32422683,16.71410605,3.078963703,,27.82639324,2607.727577
Albania,4.398674196,6.026321932,8.342471501,16.22615366,37.91335434,81.69786897,144.0476939,236.3959546,277.9229491,285.7655857,249.6318712,173.4458244,73.27901368,24.61947215,5.806193052,,5.238574246,1625.519402
Algeria,10.30011824,30.46180312,73.45703411,109.7445524,223.8340418,353.6788167,490.7527628,700.3434064,752.5311729,599.4467975,572.9140814,418.1886556,276.3983009,44.97717156,5.431359399,,9.554378929,4662.460075
American Samoa,0.068587439,0.085904173,0.144469409,0.473367302,0.727609341,1.37085974,1.886705612,2.352630694,2.457787205,2.232366952,2.121238787,1.377185688,0.661474976,0.216502855,0.092824784,,0.133969616,16.26951496
Andorra,0.034203989,0.117317765,0.361513768,1.088879738,2.507208058,4.459958513,6.59218131,8.12959324,8.933378297,9.799490028,8.640121724,6.04839046,4.768311934,2.490237093,0.840080541,,0.021785201,64.81086646
Angola,9.548707279,21.80836449,39.4948671,84.59096677,159.071201,286.7964326,363.9734013,410.0016512,360.9540907,237.5271539,186.3345823,92.78198545,36.6579679,11.25701154,2.417770012,,12.08307803,2303.216154
Antigua and Barbuda,0.01666406,0.036493441,0.08705426,0.175041992,0.417388296,0.879628314,1.372287014,1.817636549,1.6637365,1.745531079,1.487356382,1.268737298,0.683345797,0.259414392,0.085096635,,0.018916633,11.99541201
Argentina,20.18873744,48.16099405,100.991532,211.6341334,479.1444273,899.6155802,1698.91173,2352.605237,2756.607881,2705.561064,2118.634309,1501.71708,875.5065154,336.0547906,115.8039012,,28.01517931,16221.13791
Armenia,3.604058283,6.108569465,11.51184538,21.18495288,47.92966269,95.79228171,212.6537529,323.5741236,326.2729863,216.6462898,157.4438696,156.1459004,58.45900553,18.84583759,2.240060633,,2.48455069,1658.413197
Australia,4.680117596,13.0805879,32.35316824,74.51045466,192.8683151,374.0205155,713.4311734,1079.246268,1550.056386,2092.980132,1920.049789,1650.367672,1148.91411,509.3114089,136.1702219,,2.898965164,11492.04032
Austria,1.536131698,4.93177301,12.50591323,32.91210863,87.24293125,238.5689558,442.4855602,621.2843789,740.345631,794.3737556,751.7803209,534.8474506,342.0859416,146.9572501,40.22238369,,1.000467781,4792.080486
