COPD,95% UI,
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1.000018269,1,1.000291417
1.000082934,1,1.001571392
1.000197592,1,1.002788195
1.000351574,1,1.004341325
1.000527685,1,1.005820952
1.000735455,1,1.007200893
1.00098574,1,1.008546919
1.001276461,1,1.010033938
1.001606085,1,1.011723372
1.00197491,1,1.01357198
1.002381542,1,1.015089535
1.002821458,1,1.016660276
1.003297435,1,1.018201961
1.003809192,1,1.019829852
1.004358571,1,1.021427001
1.004940246,1,1.023019427
1.00556207,1,1.0245098
1.006221249,1,1.025994743
1.006922731,1,1.027476498
1.007669234,1,1.028955146
1.008460357,1,1.030430769
1.009286086,1,1.03190166
1.010141916,1,1.033751576
1.011033334,1,1.035741827
1.011962507,1,1.037423377
1.012928668,1,1.038935718
1.01392714,1,1.040443647
1.014956955,1,1.04194902
1.016013751,1,1.043451922
1.017106693,1,1.044992558
1.018239885,1,1.046806905
1.019416364,1,1.048810563
1.020634662,1,1.050639889
1.021887932,1.00042289,1.052241212
1.02316815,1.001440672,1.05402172
1.024461126,1.002740425,1.055805478
1.025754203,1.003714142,1.057583284
1.02704741,1.0049855,1.059445911
1.028340777,1.006254241,1.061130634
1.029634332,1.007331359,1.06289963
1.030928102,1.00822054,1.064663054
1.032222116,1.009210655,1.066418569
1.033516399,1.010133286,1.068164773
1.034810978,1.010975881,1.06990577
1.036105879,1.012007579,1.071641646
1.037401128,1.012881903,1.073372486
1.038696748,1.013976379,1.075098376
1.039992764,1.015045224,1.076819396
1.0412892,1.015923089,1.078535627
1.042586079,1.016796903,1.080247148
1.043883425,1.017405926,1.08193343
1.045181259,1.018394212,1.083581143
1.046479605,1.019410823,1.085368683
1.047778483,1.020346924,1.087067725
1.049077915,1.021284624,1.088756181
1.050377921,1.022331969,1.090440335
1.051678523,1.023383374,1.092518891
1.05297974,1.024331432,1.094143457
1.054281592,1.025196056,1.095752977
1.055584099,1.026242087,1.097360411
1.056887279,1.027288973,1.098965799
1.058191151,1.028216442,1.100569177
1.059495734,1.028983444,1.102330938
1.060801045,1.029890748,1.104116847
1.062107101,1.030762166,1.105901399
1.063413922,1.031693742,1.107684618
1.064721522,1.032666498,1.109455161
1.06602992,1.03364024,1.111093301
1.067339131,1.034587693,1.11273103
1.068649171,1.035505559,1.114390946
1.069960057,1.036427964,1.116433789
1.071271803,1.03735267,1.118378533
1.072584426,1.038279452,1.120159668
1.073897939,1.039208319,1.121892857
1.075212357,1.040122352,1.123416777
1.076527696,1.040927535,1.124938475
1.077843968,1.041735024,1.126457997
1.079161188,1.042670415,1.127975387
1.080479369,1.043640802,1.129490688
1.081798525,1.044613533,1.131003943
1.083118669,1.045590106,1.132515193
1.084439813,1.046570742,1.134273478
1.085761969,1.047553731,1.136073491
1.087085152,1.048539076,1.13787035
1.088409371,1.049526783,1.139665553
1.08973464,1.050501313,1.141459127
1.09106097,1.051457077,1.143251103
1.092388372,1.052420224,1.145041507
1.093716857,1.053385985,1.14683037
1.095046436,1.054354216,1.14861143
1.096377121,1.055465821,1.150163093
1.097708921,1.056526245,1.15171261
1.099041847,1.057533038,1.153304771
1.100375909,1.058542229,1.155074188
1.101711117,1.05952163,1.156840769
1.103047481,1.060455343,1.158604551
1.104385009,1.061424345,1.160365573
1.105723712,1.062586748,1.162123868
1.107063598,1.06362791,1.163879473
1.108404676,1.064650421,1.165632422
1.109746956,1.065675355,1.167382751
1.111090445,1.066702714,1.169130493
1.112435152,1.067733532,1.170875682
1.113781085,1.068766924,1.17261835
1.115128252,1.069803924,1.174750462
1.116476661,1.070815774,1.17695823
1.117826319,1.071748223,1.178592502
1.119177234,1.072750461,1.180245672
1.120529414,1.073983972,1.181833838
1.121882865,1.075030138,1.183484996
1.123237595,1.075917614,1.185962135
1.124593609,1.076789947,1.187765452
1.125950916,1.077665362,1.189531924
1.127309521,1.078622298,1.191291651
1.12866943,1.079687211,1.193050452
1.130030651,1.080754692,1.194808346
1.131393188,1.081825723,1.196453473
1.132757048,1.082767562,1.198006334
1.134122237,1.083967465,1.199557684
1.135488759,1.085072771,1.201107542
1.136856622,1.086204416,1.202877495
1.138225829,1.087703641,1.204661808
1.139596386,1.088898114,1.20644377
1.140968298,1.089988672,1.208223413
1.14234157,1.091269128,1.210005695
1.143716207,1.092498826,1.212270725
1.145092214,1.093559789,1.214158102
1.146469594,1.094622531,1.215921079
1.147848353,1.095687062,1.217674107
1.149228494,1.096753391,1.21942651
1.150610021,1.09765192,1.221178307
1.15199294,1.09889148,1.222929512
1.153377253,1.099963257,1.224680143
1.154762964,1.101036868,1.226430215
1.156150077,1.102112321,1.228179744
1.157538596,1.103194462,1.230191568
1.158928524,1.104310315,1.232315835
1.160319864,1.1054287,1.234064728
1.161712619,1.106549621,1.235813469
1.163106793,1.10767308,1.237562066
1.164502388,1.10879908,1.239304797
1.165899408,1.109927624,1.241042136
1.167297855,1.111058715,1.242778454
1.168697732,1.11218915,1.245113564
1.170099041,1.113223772,1.247511588
1.171501785,1.114259974,1.249175786
1.172905966,1.115332088,1.250837982
1.174311587,1.116488031,1.252499964
1.17571865,1.117646768,1.254161741
1.177127156,1.118704517,1.255823325
1.178537109,1.119979817,1.257484726
1.179948509,1.121146758,1.259145954
1.181361359,1.1222682,1.260807019
1.18277566,1.123353987,1.26246793
1.184191414,1.124410503,1.264128699
1.185608623,1.125429279,1.265789334
1.187027287,1.126630845,1.26744916
1.188447409,1.127722664,1.269107855
1.18986899,1.128816431,1.27076642
1.191292031,1.12991402,1.272424864
1.192716534,1.131008638,1.274083196
1.194142498,1.132083416,1.275776063
1.195569926,1.133160186,1.277512036
1.196998818,1.134238949,1.279248117
1.198429175,1.135319704,1.280984317
1.199860999,1.136402451,1.282720644
