DM,95% UI,
1.00000014,1,1
1.000000136,1,1
1.000000133,1,1
1.00000013,1,1
1.000000127,1,1
1.000000123,1,1
1.00000012,1,1
1.000000116,1,1
1.000000113,1,1
1.000000109,1,1
1.000000106,1,1
1.000000102,1,1
1.000000098,1,1
1.000000094,1,1
1.000000091,1,1
1.000000087,1,1
1.000000083,1,1
1.000000079,1,1
1.000000075,1,1
1.000000071,1,1
1.000000066,1,1
1.000000062,1,1
1.000000058,1,1
1.000000054,1,1
1.000000049,1,1
1.000027198,1,1.000241365
1.000124871,1,1.002032399
1.000298446,1,1.004122739
1.000529526,1,1.00693081
1.000787518,1,1.009632617
1.00109064,1,1.012394049
1.001455135,1,1.015205339
1.001871641,1,1.01759859
1.002337522,1,1.020048004
1.002852261,1,1.022726295
1.003415338,1,1.025018956
1.004022407,1,1.027606516
1.00467597,1,1.030171072
1.005381796,1,1.032713276
1.006136256,1,1.035236011
1.006933532,1,1.037739333
1.007783086,1,1.040234159
1.008682782,1,1.0426858
1.009639315,1,1.04518687
1.010654151,1,1.047552603
1.011723429,1,1.049963107
1.012833251,1,1.052355422
1.013980091,1,1.054729614
1.015171098,1,1.057495116
1.016407829,1,1.06065333
1.017688437,1,1.063530622
1.01901003,1,1.066125044
1.020373306,1,1.068648986
1.021766512,1,1.071183007
1.023199953,1,1.073869957
1.0246789,1,1.076373253
1.026206777,1,1.079156265
1.027784857,1,1.081801738
1.029403004,1.00040533,1.084292353
1.031048008,1.001505913,1.086773925
1.032706255,1.002645094,1.089234863
1.034361695,1.003899217,1.091686398
1.036014422,1.005174953,1.094414364
1.037664523,1.006328452,1.096784062
1.039312085,1.006668122,1.099060037
1.040957191,1.007697816,1.101431746
1.042599922,1.008486081,1.103849886
1.044240356,1.009648729,1.106938597
1.045878567,1.010278629,1.110016224
1.047514629,1.011070868,1.112662656
1.049148613,1.012070394,1.115077118
1.050780587,1.013080892,1.117484962
1.052410616,1.013919088,1.119882517
1.054038766,1.014650698,1.122274332
1.055665098,1.015485582,1.124641893
1.057289672,1.016405642,1.127063802
1.058912545,1.017055991,1.129444775
1.060533775,1.017695756,1.131820537
1.062153415,1.018333725,1.134191189
1.063771517,1.019223243,1.136556829
1.065388133,1.019928447,1.138917555
1.067003311,1.020632383,1.14127346
1.068617099,1.02145601,1.143624638
1.070229543,1.02222764,1.14597118
1.071840686,1.022966917,1.148313176
1.073450572,1.023717548,1.150650713
1.075059242,1.024540359,1.152983878
1.076666736,1.025430019,1.155312756
1.078273091,1.026319999,1.15763743
1.079878347,1.027090142,1.159957981
1.081482537,1.027653915,1.162272083
1.083085698,1.028353414,1.164577673
1.084687861,1.029146306,1.166863782
1.08628906,1.029946427,1.169190416
1.087889325,1.030753773,1.171488751
1.089488685,1.031572383,1.173642862
1.091087171,1.032402071,1.175679655
1.092684809,1.033239117,1.177709913
1.094281626,1.034083514,1.179733755
1.095877647,1.03493525,1.181751029
1.097472897,1.035794314,1.18375714
1.099067399,1.036660693,1.185757067
1.100661177,1.037534373,1.187750919
1.102254252,1.038415337,1.189798191
1.103846644,1.039303569,1.191994628
1.105438374,1.040199049,1.194184877
1.10702946,1.041101757,1.196369046
1.108619922,1.04201249,1.19854724
1.110209776,1.042932396,1.200719563
1.111799039,1.043859591,1.202979173
1.113387727,1.044794051,1.205319966
1.114975855,1.045735748,1.207326792
1.116563437,1.046679299,1.209378296
1.118150489,1.047627449,1.211534586
1.119737021,1.04858259,1.213685704
1.121323048,1.049375428,1.215831738
1.12290858,1.050093241,1.217972776
1.124493629,1.050928033,1.220102968
1.126078205,1.05189974,1.222226395
1.127662319,1.05287562,1.22434504
1.129245979,1.053855611,1.226458984
1.130829194,1.05483965,1.228568305
1.132411973,1.055829864,1.230673081
1.133994324,1.056824179,1.232771207
1.135576253,1.057775081,1.234863113
1.137157767,1.058510296,1.236950648
1.138738873,1.059246047,1.239033884
1.140319577,1.059982334,1.241112891
1.141899883,1.0610456,1.243255259
1.143479796,1.062085346,1.245741723
1.145059321,1.062678054,1.248224188
1.146638463,1.06327044,1.250703851
1.148217224,1.063862512,1.253170738
1.149795608,1.064454278,1.255598428
1.151373617,1.065067101,1.257475374
1.152951255,1.06579085,1.259344435
1.154528524,1.066514889,1.261202714
1.156105424,1.067242133,1.263530012
1.157681959,1.067973349,1.266091459
1.159258128,1.06870492,1.268651222
1.160833933,1.069480678,1.271003601
1.162409374,1.070334285,1.273109178
1.163984452,1.071095609,1.275213424
1.165559167,1.071738832,1.27731637
1.167133518,1.072648546,1.279510412
1.168707506,1.073776393,1.282049075
1.170281128,1.074648223,1.284588706
1.171854385,1.075645859,1.287129327
1.173427275,1.076385971,1.289670956
1.174999797,1.07724837,1.292206996
1.176571949,1.078112163,1.294741219
1.178143729,1.078977288,1.29727656
1.179715136,1.079843682,1.29981304
1.181286166,1.080711282,1.30235068
1.182856819,1.081583791,1.304804664
1.184427091,1.082458679,1.306968679
1.18599698,1.083334615,1.309130483
1.187566483,1.084211536,1.311291548
1.189135597,1.08508938,1.313451901
1.190704318,1.085968084,1.31561157
1.192272645,1.086828408,1.317770582
1.193840573,1.087531234,1.319928964
1.195408099,1.088233283,1.322086741
1.19697522,1.088934566,1.324243939
1.198541932,1.089635094,1.326400582
1.200108232,1.090334877,1.328556696
1.201674115,1.091033926,1.330712303
1.203239577,1.09173225,1.332867427
1.204804616,1.09242986,1.335022092
1.206369227,1.093126765,1.337176319
1.207933405,1.093822975,1.33933013
1.209497147,1.094521239,1.341483548
1.21106045,1.095223519,1.344027317
1.212623307,1.095925172,1.346207858
1.214185716,1.096626205,1.348388002
1.215747672,1.097326625,1.35056777
1.217309172,1.098026438,1.353028521
1.218870209,1.098725653,1.355495616
1.220430782,1.099586644,1.357955797
1.221990884,1.100626007,1.360415252
1.223550513,1.101666703,1.362872387
1.225109663,1.102708658,1.365338449
1.22666833,1.103751801,1.36779907
1.228226511,1.104796058,1.370237463
1.2297842,1.105841359,1.372366473
1.231341394,1.106887632,1.374264724
1.232898088,1.107716744,1.376540214
1.234454279,1.108317893,1.379045638
1.236009962,1.108918679,1.381551748
1.237565133,1.109519108,1.384058557
1.239119787,1.110119183,1.386566079
1.240673922,1.110718911,1.389070409
1.242227533,1.111318295,1.391445357
1.243780615,1.111932955,1.394086303
1.245333165,1.112548669,1.396269222
1.24688518,1.113164254,1.398298135
1.248436655,1.114405982,1.40032373
1.249987587,1.115769307,1.402347058
1.251537972,1.117139764,1.404363959
1.253087806,1.118060643,1.4063758
1.254637086,1.118797018,1.408386774
1.256185809,1.119533778,1.410396905
1.25773397,1.120270924,1.412406214
1.259281567,1.121008457,1.414414725
1.260828597,1.121746378,1.416664578
1.262375056,1.122484687,1.41910724
1.263920941,1.123223385,1.421552148
1.265466249,1.123962473,1.423833818
1.267010978,1.124701951,1.426468849
1.268555123,1.125441821,1.428937967
1.270098684,1.126182082,1.431788585
1.271641656,1.126922736,1.434455829
1.273184038,1.127663784,1.437095154
1.274725826,1.128405225,1.439674644
1.276267019,1.129147061,1.441815016
1.277807614,1.129889876,1.443955253
1.279347609,1.130636624,1.44628233
1.280887002,1.131383784,1.44875965
1.28242579,1.132131356,1.451239197
1.283963972,1.132879341,1.453720982
1.285501546,1.13362774,1.456205015
1.287038511,1.134376553,1.458388519
1.288574864,1.13512578,1.460471771
1.290110604,1.135875422,1.462554342
1.291645729,1.13662548,1.464636248
1.293180239,1.137375954,1.466717506
1.294714132,1.138126845,1.468798131
