LBW,95% UI,
1.000043962,1,1
1.000042659,1,1
1.000041374,1,1
1.000040104,1,1
1.00003885,1,1
1.000037611,1,1
1.000036386,1,1
1.000035176,1,1
1.000033978,1,1
1.000032794,1,1
1.000031623,1,1
1.000030463,1,1
1.000029316,1,1
1.00002818,1,1
1.000027055,1,1
1.000025941,1,1
1.000024838,1,1
1.000023745,1,1
1.000022662,1,1
1.000021588,1,1
1.000020524,1,1
1.00001947,1,1
1.000018424,1,1
1.000017387,1,1
1.000016359,1,1
1.000020665,1,1.000172216
1.000039088,1,1.000512053
1.000072151,1,1.000864039
1.000116696,1,1.001388445
1.000169712,1,1.001747019
1.000233971,1,1.002266664
1.000311221,1,1.002755828
1.000400592,1,1.003295956
1.000500893,1,1.003829556
1.000612718,1,1.004315353
1.000734935,1,1.004845304
1.000868404,1,1.00543664
1.001012044,1,1.006022813
1.001165444,1,1.006601454
1.00132933,1,1.007390912
1.00150258,1,1.007983326
1.001686862,1,1.008541796
1.001882227,1,1.009074962
1.002089481,1,1.009601198
1.002307966,1,1.010361448
1.002539414,1,1.011047096
1.002779349,1,1.011728699
1.003026019,1,1.012268003
1.003281481,1,1.012893664
1.003547135,1,1.013571476
1.003823151,1,1.014161398
1.004108743,1,1.014695656
1.004402493,1,1.015403005
1.004702487,1,1.016163319
1.005010563,1,1.016913654
1.005327949,1,1.017563316
1.005656429,1,1.018093512
1.005994962,1,1.018821417
1.006342028,1,1.019393395
1.006694536,1.000071002,1.019960769
1.007049152,1.000222982,1.020642188
1.007402372,1.000259716,1.021268585
1.007754213,1.000298051,1.021815938
1.008104695,1.000361594,1.022294781
1.008453838,1.000384158,1.02276998
1.008801659,1.000408683,1.023377484
1.009148175,1.000461573,1.023997647
1.009493406,1.000517444,1.024585403
1.009837367,1.000568572,1.025137618
1.010180076,1.00058868,1.025798874
1.01052155,1.000608745,1.02639514
1.010861803,1.000628767,1.027018989
1.011200853,1.000648327,1.027639626
1.011538714,1.000667764,1.028257094
1.011875402,1.000687157,1.028871432
1.012210932,1.000706516,1.029514046
1.012545318,1.000725838,1.030160239
1.012878575,1.000745123,1.030785832
1.013210716,1.000764373,1.031346158
1.013541756,1.000783588,1.032033175
1.013871708,1.000802768,1.032723466
1.014200585,1.000821915,1.033365198
1.0145284,1.000841028,1.034002182
1.014855166,1.000860109,1.034634354
1.015180895,1.000879158,1.03526498
1.015505601,1.000898175,1.035936387
1.015829294,1.000917161,1.036705014
1.016151987,1.000936116,1.037392522
1.016473692,1.000955042,1.037976512
1.016794419,1.000973938,1.038555897
1.017114181,1.000992806,1.039129631
1.017432987,1.001011644,1.039701285
1.01775085,1.001030455,1.040270879
1.01806778,1.001049238,1.040877547
1.018383786,1.001067994,1.041492266
1.018698881,1.001086723,1.042043253
1.019013072,1.001105437,1.042562255
1.019326372,1.001124173,1.043095128
1.019638789,1.001142881,1.043655196
1.019950333,1.001161562,1.044213331
1.020261014,1.001180216,1.044769551
1.020570841,1.001198843,1.045323054
1.020879822,1.001217443,1.045872772
1.021187968,1.001236018,1.046420595
1.021495287,1.001254567,1.046966538
1.021801788,1.001273091,1.047510619
1.022107479,1.00129159,1.048052854
1.022412369,1.001310064,1.04859326
1.022716466,1.001328515,1.049174164
1.023019778,1.001346941,1.04968562
1.023322314,1.001365344,1.050349805
