LC,95% UI,
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1.000017319,1,1.000255937
1.000082727,1,1.001562487
1.000191465,1,1.002795737
1.000335794,1,1.004264561
1.000502935,1,1.005486479
1.000703013,1,1.006940308
1.000946075,1,1.008459455
1.001229791,1,1.010165107
1.001549936,1,1.011803409
1.00190412,1,1.013458622
1.002294927,1,1.014890211
1.002717646,1,1.016453631
1.003177332,1,1.018250834
1.003673936,1,1.019889675
1.004209316,1,1.021467011
1.004778563,1,1.023036627
1.005386431,1,1.024660022
1.006030321,1,1.02617603
1.006712035,1,1.027701226
1.007434761,1,1.029489843
1.008196918,1,1.0311153
1.008992592,1,1.032816281
1.009816786,1,1.034735786
1.010675187,1,1.036312702
1.011569884,1,1.03788202
1.012499394,1,1.03944199
1.013461499,1,1.040998251
1.014453109,1,1.042552094
1.015469928,1,1.044171521
1.016523539,1,1.046016916
1.017617284,1,1.047860185
1.018750264,1,1.049701361
1.019921328,1,1.051512438
1.021124122,1.000386505,1.053385388
1.022351352,1.001190391,1.055057254
1.023590602,1.002209465,1.056681245
1.024829795,1.003187443,1.058435601
1.026068967,1.004217953,1.060000939
1.027308152,1.005079606,1.061563673
1.028547383,1.005787964,1.063169295
1.029786694,1.00674951,1.064779457
1.031026118,1.007454958,1.066385901
1.032265687,1.007957133,1.068023931
1.03350543,1.00846468,1.069770343
1.034745381,1.00910576,1.071512298
1.035985567,1.009784621,1.073249873
1.037226019,1.010503339,1.074983146
1.038466766,1.011095708,1.076591956
1.039707836,1.01161398,1.078121221
1.040949257,1.012142471,1.079646614
1.042191056,1.012678996,1.081164916
1.04343326,1.013227938,1.082734538
1.044675895,1.01378562,1.084520439
1.045918987,1.01443542,1.086258943
1.047162561,1.014969556,1.087756017
1.048406642,1.015769361,1.089485111
1.049651255,1.016578136,1.091257668
1.050896423,1.017395901,1.093027617
1.05214217,1.018222679,1.094671252
1.053388518,1.019058487,1.096367939
1.054635491,1.019903345,1.09793729
1.055883109,1.020757267,1.099504107
1.057131396,1.021620269,1.101068425
1.058380373,1.0222377,1.102630278
1.059630059,1.022843595,1.104189696
1.060880476,1.02345814,1.105776774
1.062131644,1.02408142,1.107347331
1.063383582,1.024713523,1.108906359
1.064636311,1.025281595,1.110547495
1.065889848,1.025838537,1.112144343
1.067144212,1.026402151,1.113740629
1.068399422,1.026972362,1.115336374
1.069655496,1.027549225,1.116931599
1.07091245,1.028132793,1.118526322
1.072170303,1.028723116,1.120120565
1.073429071,1.029320249,1.121714346
1.07468877,1.029924241,1.123307684
1.075949417,1.030722272,1.124896061
1.077211028,1.031540946,1.126607193
1.078473617,1.032370076,1.128433546
1.079737201,1.033209748,1.130257767
1.081001794,1.034060048,1.132079901
1.082267411,1.03492106,1.133899993
1.083534065,1.035792872,1.135718087
1.084801772,1.036675566,1.137534226
1.086070544,1.037569227,1.139348452
1.087340395,1.038473938,1.141160807
1.088611338,1.039340153,1.142971331
1.089883386,1.040177251,1.144780067
1.091156551,1.041025032,1.146558847
1.092430846,1.041883579,1.148335361
1.093706282,1.042752972,1.149986851
1.094982871,1.043686593,1.1515359
1.096260625,1.044632192,1.153083301
1.097539555,1.045494584,1.154751862
1.098819671,1.04636706,1.156574074
1.100100984,1.047255614,1.158396956
1.101383504,1.048140479,1.160220399
1.102667242,1.049038857,1.162037002
1.103952208,1.049947319,1.163854309
1.10523841,1.050865921,1.165493736
1.106525859,1.051794721,1.166987886
1.107814562,1.052733773,1.168480276
1.10910453,1.053688218,1.169970934
1.110395771,1.054656912,1.171459889
1.111688293,1.055636301,1.173074036
1.112982104,1.056626435,1.174939924
1.114277212,1.057627369,1.176804049
1.115573625,1.058639151,1.178666441
1.11687135,1.059818801,1.180527127
1.118170394,1.061018344,1.182386136
1.119470765,1.062231156,1.184243494
1.120772468,1.063457301,1.18609923
1.122075512,1.064696843,1.187949009
1.123379901,1.065840366,1.189796487
1.124685642,1.066987875,1.191642297
1.125992741,1.068147894,1.193486467
1.127301204,1.069320477,1.195329023
1.128611035,1.070505674,1.197169992
1.129922241,1.071703537,1.198912254
1.131234827,1.072914115,1.200695603
1.132548796,1.074137453,1.202304704
1.133864155,1.075373598,1.203910261
1.135180906,1.076622593,1.205512319
1.136499056,1.077884481,1.207110923
1.137818606,1.0791593,1.208706119
1.139139563,1.080447091,1.210297949
1.140461929,1.081747889,1.212177493
1.141785707,1.083061728,1.214099578
1.143110901,1.084031305,1.216152968
1.144437515,1.08477402,1.217985891
1.145765551,1.085516693,1.219668278
1.147095011,1.086259328,1.221339532
1.148425899,1.087440774,1.223010392
1.149758218,1.088727381,1.224568217
1.151091968,1.089937476,1.226052373
1.152427152,1.090863686,1.227761405
1.153763773,1.09179261,1.229578764
1.155101832,1.092845187,1.231382497
1.15644133,1.09406469,1.233060055
1.15778227,1.094994306,1.234737373
1.159124651,1.095746644,1.236414467
1.160468476,1.096499392,1.238091354
1.161813746,1.097355113,1.239768048
1.16316046,1.098285334,1.241444566
1.16450862,1.099219076,1.243443755
1.165858227,1.100245917,1.245612425
1.16720928,1.101597315,1.247774526
1.16856178,1.102470949,1.249602524
1.169915727,1.103346868,1.251430421
1.17127112,1.104225077,1.253258224
1.172627961,1.105105579,1.25508594
1.173986248,1.105988377,1.256910793
1.17534598,1.106873475,1.25871838
1.176707158,1.10778002,1.260525861
1.17806978,1.108740938,1.262333246
1.179433846,1.109704412,1.264094981
1.180799355,1.110670447,1.265482605
1.182166305,1.111639047,1.267251021
1.183534695,1.112652941,1.269474255
1.184904524,1.114215463,1.271421916
1.186275791,1.11580984,1.273250514
1.187648493,1.11736077,1.275075712
1.18902263,1.118925328,1.276891475
1.190398199,1.119841182,1.278707264
1.191775198,1.120758069,1.281111589
