LRI,95% UI,
1.000001899,1,1
1.00000185,1,1
1.000001801,1,1
1.000001752,1,1
1.000001704,1,1
1.000001656,1,1
1.000001608,1,1
1.000001561,1,1
1.000001513,1,1
1.000001466,1,1
1.000001418,1,1
1.000001371,1,1
1.000001325,1,1
1.000001278,1,1
1.000001231,1,1
1.000001185,1,1
1.000001138,1,1
1.000001092,1,1
1.000001046,1,1
1.000001,1,1
1.000000954,1,1
1.000000908,1,1
1.000000863,1,1
1.000000817,1,1
1.000000771,1,1
1.000014719,1,1.000125232
1.000072958,1,1.001302533
1.000167423,1,1.00262764
1.000291081,1,1.004085503
1.000434025,1,1.005570135
1.000606405,1,1.00698391
1.000816815,1,1.008475329
1.001065083,1,1.010138757
1.001345936,1,1.011653499
1.001655527,1,1.013194929
1.001997841,1,1.014811318
1.002370761,1,1.016603522
1.002771865,1,1.018403927
1.003209335,1,1.020944125
1.003679628,1,1.023237231
1.004182557,1,1.024962802
1.004724592,1,1.026687121
1.005300587,1,1.028405173
1.005913804,1,1.030120465
1.006572538,1,1.031835438
1.007270521,1,1.034020601
1.008000814,1,1.035864477
1.008758615,1,1.037944584
1.009550174,1,1.040139428
1.01037507,1,1.042369699
1.011231283,1,1.044275012
1.012119433,1,1.046579494
1.013041897,1,1.04864673
1.013990457,1,1.05031094
1.014969373,1,1.052360045
1.015981439,1,1.054988721
1.017031408,1,1.056959966
1.018121039,1,1.059509835
1.019244004,1.000046097,1.061998703
1.020394574,1.000686096,1.063885515
1.021558183,1.001337318,1.065753236
1.022724363,1.001894113,1.067837688
1.023893161,1.002185939,1.069658407
1.025064624,1.002487048,1.071621723
1.026238793,1.002715032,1.073905726
1.027415712,1.002959232,1.075653961
1.028595421,1.003256571,1.077413864
1.029777959,1.003607346,1.080132248
1.030963364,1.003935685,1.082642833
1.032151674,1.004253474,1.084447095
1.033342923,1.00453137,1.086904839
1.034537146,1.004888675,1.089312464
1.035734375,1.00518432,1.091518379
1.036934643,1.005479353,1.093624173
