PTB,95% UI,
1.000005312,1,1
1.00000514,1,1
1.000004969,1,1
1.000004801,1,1
1.000004634,1,1
1.000004469,1,1
1.000004305,1,1
1.000004143,1,1
1.000003983,1,1
1.000003823,1,1
1.000003665,1,1
1.000003509,1,1
1.000003353,1,1
1.000003199,1,1
1.000003046,1,1
1.000002894,1,1
1.000002743,1,1
1.000002593,1,1
1.000002444,1,1
1.000002296,1,1
1.000002149,1,1
1.000002003,1,1
1.000001857,1,1
1.000001713,1,1
1.000001569,1,1
1.000011264,1,1.000136747
1.000045699,1,1.000675347
1.000108513,1,1.001524733
1.000194809,1,1.002394926
1.000293623,1,1.003465584
1.000411488,1,1.004583291
1.000554799,1,1.005535579
1.000722102,1,1.006535753
1.000910044,1,1.007594462
1.00111796,1,1.00881448
1.001346445,1,1.009978072
1.00159053,1,1.010917533
1.00185384,1,1.011851357
1.002136021,1,1.012862512
1.0024401,1,1.014123112
1.002763576,1,1.015164843
1.003108081,1,1.01609988
1.003470275,1,1.017548354
1.003854762,1,1.019032891
1.004263399,1,1.020211999
1.004696467,1,1.021708434
1.005147344,1,1.02315658
1.005612024,1,1.024328241
1.006093405,1,1.025499078
1.00659316,1,1.02666984
1.007112307,1,1.027831719
1.007647926,1,1.028987056
1.008198699,1,1.029986241
1.008760833,1,1.03106163
1.00933987,1,1.032221868
1.009940298,1,1.033486806
1.010561078,1,1.034739597
1.0112001,1,1.035878482
1.01185378,1.000052028,1.036999322
1.012519646,1.00040856,1.038153508
1.013189598,1.000715664,1.039354405
1.013858216,1.000951828,1.040630172
1.014525531,1.00114415,1.041824296
1.015191574,1.001316353,1.04300934
1.015856374,1.001492704,1.044185487
1.01651996,1.001665743,1.045427482
1.017182359,1.001838209,1.046672954
1.0178436,1.002010107,1.047914083
1.018503708,1.002181444,1.049100957
1.01916271,1.002352224,1.050186202
1.019820631,1.002523091,1.051267375
1.020477496,1.002694351,1.052344931
1.021133328,1.002902386,1.053540218
1.021788152,1.003030684,1.054791681
1.02244199,1.003186327,1.056039696
1.023094864,1.003328029,1.057284328
1.023746797,1.003475411,1.058525644
1.024397809,1.003608361,1.05976371
1.025047922,1.003759251,1.060998588
1.025697156,1.003893894,1.06223034
1.02634553,1.004025655,1.063459027
1.026993064,1.004163372,1.064684709
1.027639777,1.004300611,1.065907443
1.028285687,1.004437383,1.067127287
1.028930812,1.004573783,1.068344296
1.02957517,1.004710353,1.069558524
1.030218777,1.004845653,1.070769286
1.030861651,1.004980013,1.071976073
1.031503808,1.005114606,1.073179831
1.032145264,1.005248793,1.07438093
1.032786034,1.005382583,1.075612292
1.033426133,1.005515984,1.076974419
1.034065577,1.005649006,1.078260033
1.03470438,1.005781658,1.079376676
1.035342556,1.005913946,1.080488973
1.035980119,1.006045881,1.081597503
1.036617082,1.006177469,1.082722082
1.037253459,1.006308719,1.083903487
1.037889261,1.006439638,1.085009935
1.038524503,1.006570233,1.086068875
1.039159196,1.006700512,1.0872362
1.039793351,1.006830603,1.088378644
1.040426982,1.006961829,1.089473891
1.041060098,1.007119589,1.090565199
1.041692712,1.007312315,1.091652618
1.042324833,1.007506737,1.092736197
1.042956473,1.00770286,1.093815984
1.043587642,1.007860079,1.094892026
1.044218349,1.007993304,1.096111671
1.044848605,1.008126495,1.097588197
1.04547842,1.008259675,1.098675697
1.046107802,1.008393373,1.100025945
1.04673676,1.008527043,1.101415589
1.047365304,1.008660688,1.102569181
1.047993442,1.008794306,1.103721165
1.048621183,1.0089279,1.104844207
1.049248535,1.009061469,1.10582366
1.049875505,1.009195015,1.106799822
1.050502102,1.009328538,1.107772741
1.051128333,1.009462038,1.108742464
1.051754205,1.009595517,1.10970904
1.052379726,1.009728974,1.110672512
1.053004903,1.009862412,1.111632926
1.053629742,1.009995829,1.112590327
1.054254251,1.010129227,1.11362167
1.054878435,1.010262607,1.114973341
1.055502301,1.010395968,1.116322276
1.056125855,1.010537388,1.117668133
1.056749103,1.010686419,1.119008419
1.057372051,1.010835415,1.120346038
1.057994704,1.010984377,1.121532506
1.058617068,1.011133304,1.122532756
1.059239148,1.011282197,1.123526045
1.059860949,1.011431057,1.12451446
1.060482477,1.011579885,1.125495072
1.061103735,1.011728682,1.126472958
1.061724729,1.011877446,1.127685401
1.062345464,1.012026181,1.128804959
1.062965944,1.012174885,1.129690311
1.063586172,1.012323559,1.130572404
1.064206154,1.012472205,1.13144206
1.064825893,1.012620822,1.132324725
1.065445393,1.012769411,1.133287281
1.066064658,1.012917972,1.13424733
1.066683691,1.013064953,1.1352049
1.067302496,1.013179929,1.136589621
1.067921077,1.013294895,1.137994453
1.068539437,1.013409852,1.139400767
1.069157579,1.013524798,1.140672516
1.069775505,1.013639735,1.141644889
1.07039322,1.013754663,1.142614873
1.071010725,1.013869581,1.143582498
1.071628024,1.01398449,1.144547789
1.072245119,1.01409939,1.1455036
1.072862013,1.014214281,1.146547398
1.073478708,1.014329164,1.147693865
1.074095206,1.014444038,1.148839564
1.07471151,1.014558903,1.149984506
1.075327622,1.014673761,1.1511287
1.075943544,1.01478861,1.152272157
1.076559278,1.014961336,1.153414886
1.077174826,1.015156455,1.154556896
1.07779019,1.015352644,1.155698199
1.078405371,1.015549898,1.156838802
1.079020371,1.015748216,1.157978715
1.079635191,1.015947592,1.159117949
1.080249834,1.016148025,1.160256512
1.0808643,1.016349509,1.161394412
1.081478591,1.016551763,1.162531661
1.082092708,1.016665487,1.163668265
1.082706652,1.016779007,1.164804235
1.083320425,1.016892325,1.165939578
1.083934028,1.017005443,1.167074305
1.08454746,1.017118364,1.168241133
1.085160724,1.017231088,1.169502886
1.085773821,1.01734362,1.17076354
1.08638675,1.01745596,1.172023108
1.086999513,1.017568111,1.173281603
1.087612111,1.017680075,1.174539038
1.088224544,1.017791853,1.175795425
1.088836813,1.017903449,1.177050776
1.089448917,1.018014862,1.178305103
1.090060859,1.018126097,1.179526239
1.090672637,1.018237154,1.180409277
1.091284253,1.018348036,1.181234113
1.091895707,1.018458744,1.182057049
1.092506999,1.01856928,1.182900353
1.093118129,1.018679645,1.184026812
1.093729098,1.018789843,1.185152783
1.094339905,1.018899874,1.186278273
1.094950551,1.01900974,1.187403289
1.095561035,1.019119443,1.188527839
1.096171359,1.019228985,1.18965193
1.096781521,1.019338367,1.190775568
1.097391522,1.019447591,1.191898762
1.098001361,1.019556659,1.193021518
1.098611039,1.019685392,1.194143842
1.099220555,1.019817537,1.195265743
1.099829909,1.019949686,1.196387226
1.100439101,1.020081838,1.197508299
1.101048131,1.020213994,1.198628968
1.101656997,1.020346153,1.19974924
1.102265701,1.020478316,1.200869122
1.102874242,1.020610483,1.201988619
1.103482618,1.020742654,1.203107739
1.104090831,1.02087483,1.204226488
1.104698879,1.02100701,1.205344871
1.105306762,1.021139194,1.206462897
1.10591448,1.021271383,1.20758057
1.106522032,1.021403577,1.208697897
1.107129417,1.021535777,1.210041268
1.107736635,1.021667981,1.211140346
1.108343686,1.021800191,1.212239346
1.108950568,1.021932406,1.213338271
1.109557282,1.022064627,1.214437129
1.110163827,1.022196853,1.215524272
1.110770202,1.022329086,1.216700244
1.111376406,1.022461324,1.218181259
1.11198244,1.022593569,1.219662141
1.112588301,1.022725819,1.221142844
1.11319399,1.022858076,1.222242803
1.113799506,1.022990339,1.223166581
1.114404848,1.023122609,1.224088025
1.115010015,1.023254885,1.225008498
1.115615008,1.023387168,1.225928011
1.116219824,1.023519458,1.226846574
1.116824464,1.023651754,1.227764199
1.117428926,1.023784058,1.228755723
1.11803321,1.023916368,1.229623299
1.118637316,1.024048686,1.230697505
1.119241242,1.024181011,1.231785066
1.119844987,1.024313342,1.232872651
1.120448552,1.024445682,1.234116313
1.121051935,1.024578028,1.23537201
1.121655135,1.024710382,1.23654825
1.122258152,1.024842743,1.237662922
1.122860984,1.024975112,1.238777413
1.123463632,1.025107489,1.239891726
1.124066094,1.025239873,1.241005867
1.12466837,1.025372717,1.24211601
1.125270459,1.025505692,1.243224211
1.12587236,1.025638677,1.244331111
1.126474072,1.025771672,1.245437823
1.127075595,1.025904677,1.246544353
1.127676928,1.026039011,1.247650705
1.12827807,1.026176532,1.248756883
1.12887902,1.026314139,1.249790894
1.129479779,1.026451832,1.250785156
1.130080344,1.026589611,1.251778837
1.130680715,1.026727478,1.252771943
1.131280892,1.026865432,1.253867929
1.131880873,1.027091485,1.255257126
1.132480659,1.027413677,1.25638928
1.133080248,1.027708687,1.257434676
1.13367964,1.02782428,1.258476881
1.134278834,1.027939765,1.259420306
1.134877829,1.028055145,1.260228273
1.135476625,1.028170418,1.261409905
1.13607522,1.028285586,1.26265128
1.136673616,1.028402878,1.26369996
1.13727181,1.028523021,1.264740633
1.137869802,1.028685812,1.265781045
1.138467592,1.028801844,1.2668212
1.139065178,1.028917738,1.267861104
1.139662561,1.029033496,1.268900761
1.14025974,1.029218676,1.270165384
1.140856713,1.029318968,1.271163516
1.141453482,1.029419168,1.272160807
1.142050044,1.029670454,1.273167922
1.1426464,1.029916765,1.274262515
1.143242549,1.030023945,1.275376556
1.14383849,1.030131211,1.276541023
1.144434223,1.030238372,1.277703479
1.145029748,1.030345427,1.278863914
1.145625064,1.030452378,1.280022319
1.14622017,1.030559225,1.281178688
1.146815066,1.030665969,1.282333011
1.147409752,1.03077261,1.283485281
1.148004227,1.03087915,1.28463549
1.148598491,1.030985589,1.28578363
1.149192543,1.031091953,1.286929696
1.149786384,1.031198691,1.28807368
1.150380012,1.031305333,1.289215575
1.150973427,1.03141188,1.290355375
1.15156663,1.031518331,1.291493075
1.152159619,1.031624688,1.292628668
1.152752394,1.031730951,1.293761757
1.153344955,1.031837121,1.294888928
1.153937303,1.031943199,1.296000896
1.154529435,1.032072528,1.297057722
1.155121353,1.03220547,1.298270009
1.155713056,1.032338418,1.299397682
1.156304544,1.032471371,1.300518382
1.156895817,1.03260433,1.301636937
