COPD,95% UI,
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1.000016362,1,1.000498327
1.000070826,1,1.001033176
1.000164392,1,1.001605608
1.000287202,1,1.00220581
1.000428353,1,1.002822902
1.0005997,1,1.003468804
1.000804413,1,1.004146746
1.001039181,1,1.004853456
1.001303934,1,1.005588914
1.001600752,1,1.006355255
1.001925271,1,1.007148144
1.002276355,1,1.007966484
1.002662496,1,1.008818857
1.003078277,1,1.009699865
1.003523629,1,1.010609486
1.004000612,1,1.011549839
1.004509153,1,1.012520898
1.005050239,1,1.013523707
1.005623796,1,1.014558239
1.006240313,1,1.015635127
1.006888091,1,1.016742375
1.007563901,1,1.017876599
1.008263473,1,1.019027522
1.00899305,1,1.020177175
1.009754657,1.000299369,1.021355359
1.01054404,1.00072244,1.022564741
1.011360089,1.0011728,1.023837213
1.012204829,1.001652419,1.025138318
1.013064666,1.002147817,1.026454233
1.013957227,1.002676407,1.027802692
1.014883476,1.003239105,1.029184938
1.015842302,1.003834776,1.030599887
1.016832595,1.004462287,1.03204646
1.017853252,1.005120516,1.033523578
1.018894931,1.005800206,1.035021789
1.019943181,1.006484931,1.036526435
1.020990795,1.00716711,1.038030871
1.022037775,1.007849102,1.039534747
1.023084121,1.008530905,1.041044259
1.024129834,1.009212519,1.042555173
1.025174915,1.009893946,1.044065672
1.026219365,1.010575186,1.045575701
1.027263184,1.011256272,1.047084737
1.028306374,1.011937171,1.048593327
1.029348934,1.012617884,1.050101471
1.030390865,1.013298411,1.051603619
1.031432169,1.013978751,1.053093913
1.032472846,1.014658906,1.054544362
1.033512897,1.015338875,1.056017598
1.034552322,1.016018657,1.057510705
1.035591123,1.016698254,1.059002958
1.0366293,1.017377665,1.060494358
1.037666853,1.018056891,1.061984904
1.038703784,1.018735931,1.063449666
1.039740093,1.019414786,1.064843483
1.040775781,1.020093455,1.066233193
1.041810849,1.020771939,1.067618646
1.042845297,1.021450238,1.069000041
1.043879127,1.022128351,1.070377389
1.044912338,1.022809971,1.071750701
1.045944932,1.023495173,1.073118799
1.04697691,1.024180426,1.074482168
1.048008271,1.024865731,1.075862033
1.049039018,1.025551087,1.077289602
1.05006915,1.026236494,1.078715184
1.051098669,1.026922014,1.080138784
1.052127574,1.027607682,1.081560404
1.053155868,1.028293405,1.082980046
1.05418355,1.028979183,1.084397714
1.055210622,1.029665015,1.08581341
1.056237083,1.030350902,1.087227138
1.057262935,1.031036844,1.088638899
1.058288179,1.031722839,1.090048696
1.059312816,1.032408889,1.091456533
1.060336845,1.033094992,1.092862412
1.061360268,1.033781149,1.094266336
1.062380373,1.034464718,1.095665509
1.063400478,1.035148931,1.097057097
1.064420583,1.035833786,1.098396543
1.065440688,1.036519281,1.099733384
1.066460793,1.037205416,1.101067627
1.067480898,1.037892188,1.10239928
1.068501004,1.038579597,1.103728353
1.069521109,1.03926764,1.10510376
1.070541214,1.039944024,1.106507858
1.071561319,1.040619913,1.107911073
1.072575443,1.041290325,1.109307222
1.073589567,1.041961071,1.110702488
1.074603692,1.04263215,1.112096871
1.075617816,1.04330356,1.113490375
1.07663194,1.043975299,1.114883
1.077646065,1.044647368,1.116274747
1.078660189,1.045319765,1.117665619
1.079674313,1.045992489,1.119055617
1.080688437,1.046665754,1.120444743
1.081702562,1.047350576,1.121832997
1.082710779,1.048030235,1.123214254
1.083718997,1.048710452,1.124594639
1.084727214,1.049391223,1.125974154
1.085735432,1.050072549,1.1273528
1.086743649,1.050757203,1.12871172
1.087751867,1.051441876,1.13007062
1.088760084,1.052126567,1.131429499
1.089768302,1.052811277,1.132788358
1.090776519,1.053496006,1.134147198
1.091784737,1.054180754,1.135506017
1.092787121,1.05485989,1.136858748
1.093789506,1.055539047,1.138211456
1.094791891,1.056218226,1.139564141
1.095794275,1.056897426,1.140916802
1.09679666,1.057581994,1.142251461
1.097799045,1.05826658,1.143586102
1.09880143,1.058951183,1.144920724
1.099803814,1.059635804,1.146255328
1.100806199,1.060320443,1.147589914
1.101808584,1.061005099,1.148924482
1.10280521,1.061684229,1.150253025
1.103801836,1.06236338,1.151581547
1.104798461,1.06304255,1.152910048
1.105795087,1.063721741,1.154238528
1.106791713,1.064408317,1.15555519
1.107788339,1.065094909,1.156871835
1.108784965,1.065781518,1.158188464
1.109781591,1.066468143,1.159505075
1.110778217,1.067154785,1.16082167
1.111774843,1.067841444,1.162138247
1.112765784,1.06852266,1.163448865
1.113756725,1.069203895,1.164759463
1.114747667,1.06988515,1.166070041
1.115738608,1.070566423,1.1673806
1.116729549,1.07125499,1.168698269
1.11772049,1.071943572,1.170015922
1.118711431,1.07263217,1.171333557
1.119702373,1.073320784,1.172651176
1.120693314,1.074009413,1.173968779
1.121684255,1.074698057,1.175286364
1.122669585,1.075381343,1.176598053
1.123654916,1.076064646,1.177909723
1.124640246,1.076747968,1.179221373
1.125625577,1.077431307,1.180533004
1.126610907,1.078120281,1.181863338
1.127596238,1.078809269,1.183193654
1.128581568,1.079498272,1.184523952
1.129566899,1.08018729,1.185854234
1.130552229,1.080876323,1.187184498
1.131537559,1.08156537,1.188514746
1.132517353,1.082249141,1.189839159
1.133497147,1.082932929,1.191163552
1.134476941,1.083616734,1.192487926
1.135456734,1.084300556,1.19381228
1.136436528,1.084989924,1.195131096
1.137416322,1.085679306,1.196449897
1.138396116,1.086368702,1.197768681
1.139375909,1.087058112,1.199087448
1.140355703,1.087747536,1.2004062
1.141335497,1.088436973,1.201724935
1.142309828,1.089121216,1.203037901
1.143284159,1.089805475,1.204350849
1.14425849,1.09048975,1.205663777
1.145232821,1.091174042,1.206976687
1.146207152,1.091863792,1.208237778
1.147181483,1.092553556,1.209498856
1.148155814,1.093243333,1.210759922
1.149130145,1.093933123,1.212020975
