DM,95% UI,
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1.000032567,1,1.001843749
1.000140485,1,1.003736092
1.000325077,1,1.005679103
1.000566344,1,1.007653378
1.000842512,1,1.009637565
1.001176307,1,1.011655121
1.001573355,1,1.013712335
1.002026733,1,1.015802797
1.002535813,1,1.017926431
1.003104066,1,1.020087314
1.003722692,1,1.022277033
1.004389101,1,1.024493442
1.005118812,1,1.026750882
1.005901135,1,1.02903948
1.006735471,1,1.031360116
1.00762516,1,1.033716686
1.008569568,1,1.036109009
1.009570009,1,1.038538892
1.010625835,1,1.041006123
1.011755598,1,1.043530272
1.012937472,1,1.046089305
1.014165161,1,1.048597437
1.015430589,1,1.051082523
1.016744521,1,1.053590564
1.018110094,1,1.056125294
1.019519308,1,1.058732614
1.020969798,1,1.06144533
1.022464704,1,1.064187779
1.023979935,1,1.066935179
1.025545809,1,1.069719389
1.027163502,1,1.072533388
1.028830608,1,1.075264376
1.030544757,1,1.078022102
1.032303613,1,1.080804457
1.03409093,1,1.083594738
1.035882078,1.000426332,1.086367385
1.037664899,1.001334922,1.089109841
1.039439416,1.002240855,1.091822301
1.041205653,1.003144128,1.094504958
1.042963633,1.00404474,1.097158007
1.04471338,1.004942691,1.099781641
1.046454915,1.005837978,1.102376054
1.048188263,1.006730602,1.10510801
1.049913447,1.00762056,1.107821398
1.05163049,1.008507852,1.110512697
1.053339416,1.009392478,1.113182014
1.055040247,1.010274437,1.115829455
1.056733007,1.011153729,1.118455125
1.058417719,1.012030353,1.12105913
1.060094406,1.012905087,1.123641574
1.061763092,1.013777364,1.126202563
1.0634238,1.01464701,1.128742202
1.065076553,1.015533747,1.131260593
1.066721374,1.016446537,1.133757843
1.068358287,1.017358323,1.136234053
1.069987314,1.018269099,1.138689328
1.07160848,1.019146628,1.141123772
1.073221807,1.020001252,1.143537487
1.074827318,1.020853133,1.145923106
1.076425037,1.021702271,1.148287058
1.078014987,1.022548667,1.150630366
1.079597191,1.023392319,1.152953136
1.081171673,1.024233228,1.155255473
1.082738456,1.025071394,1.157537481
1.084297563,1.025906817,1.159799264
1.085849016,1.026739497,1.162040927
1.087392841,1.027569434,1.164018974
1.088929059,1.028396717,1.165879407
1.090457694,1.029221453,1.167713236
1.091978769,1.030043453,1.169707845
1.093492308,1.030862719,1.172076562
1.094998333,1.031679252,1.174431115
1.096496869,1.032493051,1.176771548
1.097987937,1.033304119,1.179092485
1.099471562,1.034112455,1.180949692
1.100947767,1.03491806,1.182753261
1.102383671,1.035690024,1.184499484
1.103819576,1.036466218,1.186231863
1.10525548,1.037246609,1.187950604
1.106691384,1.038031166,1.18965591
1.108127288,1.038819856,1.191347986
1.109563193,1.039612648,1.19302393
1.110999097,1.040409511,1.194686499
1.112435001,1.041210414,1.196336436
1.113870906,1.042015327,1.198252769
1.11530681,1.042834342,1.20017838
1.116671068,1.043595283,1.202018404
1.118035326,1.044360511,1.203850011
1.119399584,1.045129996,1.205673294
1.120763842,1.045903704,1.207488348
1.1221281,1.046682593,1.209295269
1.123492358,1.047466167,1.211094148
1.124856616,1.048285253,1.21288508
1.126220874,1.049119453,1.214668155
1.127585132,1.04995855,1.216443468
1.12894939,1.050802513,1.218211108
1.130244326,1.051586814,1.219896347
1.131539262,1.052375969,1.221574061
1.132834198,1.053169948,1.223126272
1.134129134,1.053968719,1.224616212
1.13542407,1.054792634,1.226068179
1.136719006,1.055616673,1.22752013
1.138013942,1.056440833,1.228972063
1.139308878,1.057265116,1.230423979
1.140603814,1.05808952,1.231875878
1.14189875,1.058914045,1.233327759
1.143126689,1.059676583,1.234707259
1.144354627,1.060439286,1.236086735
1.145582566,1.061202152,1.237466188
1.146810504,1.061965181,1.238845619
1.148038443,1.062772123,1.240532922
1.149266382,1.063579166,1.242220116
1.15049432,1.064386308,1.243907201
1.151722259,1.06519355,1.245594177
1.152950197,1.066000891,1.247281045
1.154178136,1.066808331,1.248967805
1.155341401,1.067556111,1.250584452
1.156504667,1.068304025,1.252200952
1.157667933,1.069052074,1.253817306
1.158831198,1.069800256,1.255433513
1.159994464,1.070550824,1.256813313
1.161157729,1.071301485,1.258193079
1.162320995,1.072052238,1.25957281
1.16348426,1.072803082,1.260952508
1.164647526,1.073554018,1.262332172
1.165810791,1.074305044,1.263711802
1.166911708,1.074998724,1.265023808
1.168012625,1.075692529,1.266335768
1.169113542,1.076386457,1.267647682
1.170214459,1.07708051,1.268959551
1.171315376,1.077794929,1.270332041
1.172416293,1.078509429,1.271704484
1.173517209,1.079224009,1.273076879
1.174618126,1.079938668,1.274449226
1.175719043,1.080653407,1.275821526
1.17681996,1.081368225,1.277193779
1.177860853,1.082027982,1.278500831
1.178901745,1.082687847,1.279807819
1.179942638,1.083347821,1.281114742
1.180983531,1.084007903,1.282421599
1.182024423,1.084698785,1.283542599
1.183065316,1.085389733,1.284663602
1.184106209,1.086080749,1.285784607
1.185147101,1.08677183,1.286905614
1.186187994,1.087462978,1.288026623
1.187228887,1.088154192,1.289147635
1.188212079,1.088792598,1.290205995
1.189195271,1.089431096,1.291264358
1.190178462,1.090069684,1.292322725
1.191161654,1.090708363,1.293381095
1.192144846,1.091376015,1.294673163
1.193128038,1.092043723,1.295965177
1.19411123,1.092711486,1.297257138
1.195094422,1.093379303,1.298549046
1.196077614,1.094047176,1.299840902
1.197060806,1.094715102,1.301132705
1.197988496,1.095332338,1.302364118
1.198916186,1.095949649,1.303595458
1.199843876,1.096567036,1.304826725
1.200771566,1.097184497,1.306057919
1.201699256,1.097817052,1.307077863
1.202626946,1.098449655,1.308097804
1.203554637,1.099082305,1.309117742
1.204482327,1.099715004,1.310137678
1.205410017,1.10034775,1.311157612
1.206337707,1.100980543,1.312177543
