LC,95% UI,
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1.000019691,1,1.000619635
1.000085144,1,1.001281464
1.000197431,1,1.001986666
1.000344613,1,1.002723328
1.000513551,1,1.003478195
1.000718345,1,1.004265586
1.000962676,1,1.005081813
1.001242491,1,1.005922513
1.001557609,1,1.006791951
1.0019104,1,1.007692613
1.002295585,1,1.008619293
1.002711731,1,1.009570642
1.003168786,1,1.010566482
1.003660243,1,1.011600017
1.004185924,1,1.012664325
1.004748158,1,1.013761831
1.005346754,1,1.014894698
1.00598277,1,1.016070966
1.006656012,1,1.017282559
1.007378648,1,1.018541542
1.00813687,1,1.019834297
1.00892681,1,1.021156992
1.009743403,1,1.022504559
1.010593834,1,1.023884329
1.011480359,1,1.025298652
1.012397939,1,1.026742481
1.013345201,1.000410198,1.028214483
1.014324401,1.000926871,1.029716999
1.015319749,1.001460593,1.03123405
1.016351521,1.002031327,1.032786273
1.017420722,1.002640008,1.034374751
1.018525964,1.003285216,1.035998136
1.019665872,1.003965546,1.037655091
1.020839081,1.004679602,1.039344282
1.0220348,1.005416772,1.041054774
1.023236447,1.006160925,1.042746482
1.02443578,1.006906547,1.044429374
1.0256328,1.007664443,1.046106906
1.026827512,1.008421799,1.04777909
1.028019918,1.009178615,1.049445937
1.029210021,1.009934889,1.051107417
1.030397823,1.01069062,1.052762395
1.031583329,1.011445979,1.054412016
1.03276654,1.012201273,1.056056291
1.033947459,1.012956048,1.057695232
1.035126091,1.013710305,1.05932885
1.036302436,1.014464042,1.060957157
1.037476499,1.015217257,1.062580165
1.038648282,1.01596995,1.064197884
1.039817789,1.016722119,1.065810326
1.040985021,1.017473764,1.067417503
1.042149983,1.018224884,1.069019427
1.043312677,1.018975476,1.070608835
1.044473105,1.01972554,1.072180769
1.045631272,1.020475076,1.073746856
1.046787179,1.021224082,1.075307112
1.047940829,1.021972556,1.076861554
1.049092227,1.022720498,1.078410197
1.050241374,1.023467907,1.080001908
1.051388273,1.024214782,1.081604424
1.052532927,1.024961122,1.083203131
1.05367534,1.025706934,1.084775187
1.054815514,1.02646044,1.086378027
1.055953453,1.027213663,1.087977432
1.057089158,1.027966602,1.089564861
1.058222633,1.028719256,1.091146178
1.059353881,1.029471623,1.092723765
1.060482905,1.030223702,1.094297625
1.061609708,1.030975492,1.095867765
1.062734292,1.031726992,1.097434191
1.063856661,1.032478201,1.098996907
1.064976817,1.033229116,1.10055592
1.066094764,1.033979738,1.102111236
1.067210504,1.034730064,1.10366286
1.06832404,1.035480094,1.105223925
1.069435376,1.036225018,1.106793224
1.070534671,1.036907065,1.108349283
1.071633966,1.037600063,1.109904563
1.072733262,1.038353396,1.111459067
1.073832557,1.039109953,1.1130128
1.074931852,1.039856558,1.114565765
1.076031148,1.040576651,1.116117967
1.077130443,1.041297907,1.11766941
1.078229738,1.042020318,1.119220097
1.079329033,1.042743882,1.120770032
1.080428329,1.043468593,1.122312197
1.081505937,1.044173509,1.123824517
1.082583546,1.044881826,1.125335767
1.083661154,1.045606739,1.126845951
1.084738763,1.04633316,1.128355072
1.085816371,1.047061084,1.129863134
1.086893979,1.047790504,1.13137014
1.087971588,1.048521415,1.132876095
1.089049196,1.049253812,1.134381002
1.090126805,1.04998769,1.135884864
1.091204413,1.050723042,1.137389371
1.092260627,1.051439269,1.138879345
1.093316841,1.052156972,1.140368467
1.094373055,1.052876146,1.141856741
1.095429269,1.053596786,1.143344169
1.096485482,1.054325206,1.144809891
1.097541696,1.055053662,1.146275567
1.09859791,1.055782155,1.147741198
1.099654124,1.056510685,1.149206782
1.100710338,1.05723925,1.15067232
1.101766551,1.057967852,1.152137813
1.102801663,1.058676231,1.153581187
1.103836774,1.059384657,1.155024501
1.104871886,1.06009313,1.156467756
1.105906997,1.060801649,1.157910953
1.106942108,1.06150452,1.159349347
1.10797722,1.062207425,1.160787698
1.109012331,1.062910367,1.162226005
1.110047442,1.063613343,1.16366427
1.111082554,1.064316355,1.165102491
1.112117665,1.065019401,1.166540669
1.113131966,1.06570256,1.16795697
1.114146267,1.066385763,1.169373214
1.115160568,1.067069013,1.170789403
1.116174869,1.067752308,1.172205537
1.117189171,1.068413082,1.173597856
1.118203472,1.069073893,1.174990138
1.119217773,1.06973474,1.17638238
1.120232074,1.070395624,1.177774585
1.121246375,1.071056544,1.179166751
1.122260676,1.0717175,1.180558878
1.123254459,1.072358903,1.181929378
1.124248242,1.073000354,1.183299828
1.125242025,1.073641852,1.184670229
1.126235808,1.074283397,1.186040579
1.127229591,1.074934866,1.187428701
1.128223374,1.07558637,1.188816783
1.129217157,1.076237907,1.190204827
1.13021094,1.076889478,1.191592831
1.131204723,1.077541082,1.192980798
1.132198506,1.07819272,1.194368725
1.133172063,1.078825135,1.195735272
1.13414562,1.079457594,1.197101769
1.135119177,1.080090096,1.198468215
1.136092734,1.080722642,1.199834611
1.137066291,1.081379173,1.201118149
1.138039848,1.082035733,1.202401658
1.139013405,1.082692323,1.20368514
1.139986962,1.083348943,1.204968593
1.140960519,1.084005591,1.206252019
1.141934076,1.08466227,1.207535417
1.1428877,1.085300048,1.208797704
1.143841323,1.085937864,1.210059954
1.144794946,1.086575719,1.211322168
1.14574857,1.087213612,1.212584346
1.146702193,1.087870523,1.213783738
1.147655816,1.088527461,1.214983109
1.14860944,1.089184425,1.216182461
1.149563063,1.089841415,1.217381792
1.150516686,1.090498431,1.218581103
1.15147031,1.091155473,1.219780395
1.152404291,1.091793932,1.220958856
1.153338273,1.092432426,1.222137291
1.154272255,1.093070954,1.2233157
1.155206237,1.093709516,1.224494083
1.156140219,1.094382447,1.225745697
1.1570742,1.095055399,1.226997283
1.158008182,1.095728373,1.228248844
1.158942164,1.096401369,1.229500377
