LRI,95% UI,
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1.00001164,1,1.000549356
1.0000504,1,1.001124232
1.000117009,1,1.001725406
1.000204462,1,1.002345909
1.000305001,1,1.002977998
1.000427088,1,1.00363019
1.000572997,1,1.004304804
1.00074038,1,1.004999524
1.000929201,1,1.005714352
1.001140959,1,1.006450833
1.001372547,1,1.007205883
1.001623169,1,1.007978733
1.001898908,1,1.008775543
1.002195903,1,1.009592465
1.002514119,1,1.010429501
1.002855043,1,1.011288187
1.003218638,1,1.012168521
1.003605625,1,1.013071271
1.004015963,1,1.013996435
1.004457197,1,1.014951673
1.004920943,1,1.01592856
1.005404896,1,1.016924801
1.005905999,1,1.017937337
1.006428751,1,1.018970749
1.006974623,1,1.020026562
1.007540564,1,1.021101721
1.008125789,1,1.022195464
1.008731768,1,1.02330931
1.009348716,1,1.024433363
1.009989349,1,1.02558055
1.010654373,1,1.026751628
1.011343001,1,1.027945834
1.012054448,1.000226838,1.029162403
1.012787929,1.000608515,1.030400574
1.013536707,1.001005682,1.031653522
1.014290346,1.001408018,1.032910643
1.015043639,1.001810379,1.034166639
1.015796586,1.002212765,1.035421478
1.016549187,1.002615176,1.036675191
1.017301443,1.003017611,1.037927779
1.018053354,1.003420071,1.039179244
1.018804919,1.003822555,1.040429587
1.019556139,1.004225064,1.041678808
1.020307014,1.004627597,1.042926909
1.021057544,1.005030154,1.044173889
1.02180773,1.005432736,1.04541975
1.022557571,1.005835341,1.046664492
1.023307068,1.006237971,1.047908117
1.02405622,1.006640625,1.049150624
1.024805029,1.007043303,1.050391887
1.025553493,1.007446004,1.051631955
1.026301614,1.00784873,1.052870901
1.027049392,1.008251479,1.054108725
1.027796826,1.008654252,1.055345427
1.028543916,1.009057048,1.056581009
1.029290664,1.009459868,1.057815472
1.030037069,1.009862711,1.059048815
1.030783131,1.010265578,1.06028104
1.03152885,1.010668469,1.061512148
1.032274227,1.011071382,1.062742139
1.033019261,1.011474319,1.063971014
1.033763953,1.011877279,1.065198774
1.034508304,1.012280262,1.06642542
1.035252312,1.012683268,1.067650951
1.035995979,1.013086297,1.068884223
1.036739304,1.013489349,1.070118982
1.037482288,1.013892423,1.071352967
1.03822493,1.014295521,1.072586177
1.038967232,1.014698641,1.073818613
1.039709192,1.015101784,1.075050276
1.040450812,1.01550495,1.076281166
1.041192091,1.015908138,1.077511283
1.04193303,1.016311348,1.078740629
1.042673628,1.016714581,1.079969202
1.043413886,1.017117836,1.081197005
1.044153804,1.017521114,1.082424038
1.044891856,1.017922926,1.083648716
1.045629908,1.018325093,1.084872977
1.046367959,1.018727612,1.086096819
1.047106011,1.019130485,1.087320244
1.047844062,1.01953371,1.088543253
1.048582114,1.019937287,1.089765847
1.049320166,1.020341215,1.090988026
1.050058217,1.020745494,1.09220979
1.050796269,1.021150123,1.093431142
1.051534321,1.021555102,1.09465208
1.052268989,1.021957145,1.095869084
1.053003658,1.022359539,1.097085674
1.053738327,1.022762282,1.098301851
1.054472995,1.023165376,1.099517614
1.055207664,1.023568819,1.100732967
1.055942333,1.02397261,1.101947908
1.056677001,1.02437675,1.103162438
1.05741167,1.024781238,1.10437656
1.058146339,1.025186073,1.105590272
1.058881007,1.025591254,1.106803576
1.059612309,1.025993521,1.108012951
1.06034361,1.026396136,1.109221917
1.061074911,1.026799098,1.110430474
1.061806213,1.027202407,1.111638623
1.062537514,1.027607563,1.112844614
1.063268815,1.02801273,1.11405059
1.064000116,1.028417908,1.115256549
1.064731418,1.028823096,1.116462493
1.065462719,1.029228296,1.11766842
1.06619402,1.029633506,1.118874332
1.06692197,1.030035491,1.12007671
1.067649919,1.030437489,1.121279069
1.068377868,1.0308395,1.122481409
1.069105818,1.031241523,1.123683731
1.069833767,1.031635925,1.124882175
1.070561716,1.032030337,1.126080603
1.071289666,1.032424761,1.127279015
1.072017615,1.032819196,1.128477413
1.072745564,1.033213641,1.129675795
1.073473514,1.033608097,1.130874162
1.074198127,1.033999353,1.132068997
1.07492274,1.034390621,1.133263815
1.075647353,1.034781902,1.134458615
1.076371966,1.035173195,1.135653397
1.077096578,1.035562755,1.136844338
1.077821191,1.035952325,1.138035265
1.078545804,1.036341906,1.139226176
1.079270417,1.036731498,1.140417073
1.07999503,1.0371211,1.141607955
1.080719643,1.037510713,1.142798822
1.081440935,1.03789715,1.143986161
1.082162227,1.038283599,1.145173484
1.082883519,1.03867006,1.146360789
1.083604811,1.039056533,1.147548077
1.084326104,1.039459568,1.148731561
1.085047396,1.039862612,1.14991503
1.085768688,1.040265666,1.151098486
1.08648998,1.040668729,1.152281927
1.087211272,1.041071803,1.153465354
1.087932564,1.041474886,1.154648767
1.08865055,1.041874816,1.155828656
1.089368537,1.042274757,1.157008528
1.090086524,1.04267471,1.158188384
1.09080451,1.043074674,1.159368223
1.091522497,1.04347784,1.160537195
1.092240484,1.043881015,1.161706154
1.09295847,1.0442842,1.162875099
1.093676457,1.044687394,1.164044031
1.094394444,1.045090598,1.165212949
1.09511243,1.045493811,1.166381853
1.095827127,1.045893894,1.167547239
1.096541824,1.046293988,1.168712609
1.097256521,1.046694092,1.169877963
1.097971217,1.047094208,1.171043302
1.098685914,1.047497469,1.172218608
1.099400611,1.047900739,1.1733939
1.100115308,1.048304019,1.174569179
1.100830005,1.048707307,1.175744444
1.101544701,1.049110605,1.176919696
1.102259398,1.049513911,1.178094935
1.10297082,1.04991411,1.179266659
1.103682243,1.05031432,1.180438367
1.104393665,1.05071454,1.181610059
1.105105088,1.051114771,1.182781736
1.10581651,1.051518158,1.183945888
1.106527932,1.051921553,1.185110027
1.107239355,1.052324958,1.186274153
1.107950777,1.052728371,1.187438266
1.1086622,1.053131793,1.188602366
1.109373622,1.053535224,1.189766453
