PTB,95% UI,
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1.000010101,1,1.001602519
1.000043672,1,1.003216715
1.000101247,1,1.004843303
1.000176687,1,1.006476281
1.000263241,1,1.008108991
1.000368137,1,1.00974884
1.00049325,1,1.011397873
1.000636492,1,1.013054125
1.000797758,1,1.014717631
1.000978254,1,1.016389756
1.001175262,1,1.018067878
1.001388038,1,1.019751368
1.001621677,1,1.021445548
1.00187283,1,1.023147142
1.002141397,1,1.024840504
1.002428564,1,1.026504129
1.002734225,1,1.028170165
1.003058914,1,1.029839331
1.003402522,1,1.031511684
1.003771284,1,1.033193809
1.004158105,1,1.034878579
1.004560989,1,1.036564095
1.004977333,1,1.038297984
1.005410818,1,1.040069596
1.005862596,1,1.041851241
1.006330074,1,1.043640336
1.006812543,1,1.04543624
1.007311153,1,1.047240241
1.007817796,1,1.049042722
1.008342879,1,1.05085448
1.008886911,1,1.052677367
1.009449176,1,1.054510736
1.010028961,1,1.056353942
1.01062556,1,1.058206339
1.011233429,1,1.060062206
1.011844049,1,1.061857636
1.012453188,1,1.063572642
1.013060853,1,1.065271745
1.013667049,1,1.066955022
1.014271781,1,1.068622548
1.014875055,1,1.070274399
1.015476877,1,1.07191065
1.016077252,1,1.073531376
1.016676186,1,1.075136653
1.017273684,1,1.076746395
1.017869752,1,1.078547281
1.018464395,1,1.080341868
1.01905762,1,1.082130176
1.019649431,1,1.083912223
1.020239834,1,1.085688027
1.020828835,1,1.087457608
1.02141644,1,1.089220982
1.022002653,1,1.090976682
1.022587481,1,1.092725265
1.023170929,1,1.094467618
1.023753002,1,1.09620376
1.024333706,1,1.09793371
1.024913048,1,1.099657488
1.025491031,1,1.101255096
1.026067663,1,1.102774028
1.026642948,1,1.104281101
1.027216892,1,1.105776363
1.027789501,1,1.107259864
1.02836078,1,1.108852405
1.028930734,1,1.110476083
1.02949937,1,1.112089881
1.030066693,1,1.113696323
1.030632709,1,1.115295446
1.031197422,1,1.116887268
1.031760839,1,1.118471809
1.032322965,1,1.120049089
1.032883806,1,1.121619128
1.033443368,1,1.123181945
1.034001655,1,1.124737559
1.034558673,1,1.12628599
1.035114429,1,1.127827258
1.035663361,1,1.129355313
1.036212293,1,1.1308776
1.036761226,1,1.132394135
1.037310158,1,1.133904916
1.03785909,1,1.135408497
1.038408022,1,1.136906358
1.038956954,1,1.138398516
1.039505886,1,1.139813387
1.040054818,1,1.14117254
1.04060375,1,1.142524141
1.041140666,1,1.143854321
1.041677581,1,1.145176023
1.042214497,1,1.146490271
1.042751412,1,1.147797115
1.043288328,1,1.149096604
1.043825243,1,1.150386947
1.044362159,1,1.151665155
1.044899074,1,1.15293605
1.04543599,1,1.154199683
1.045972905,1,1.155329257
1.046498361,1,1.156360561
1.047023817,1,1.157381241
1.047549274,1,1.158391368
1.04807473,1,1.159391012
1.048600186,1,1.160414959
1.049125642,1,1.16143888
1.049651098,1,1.162462776
1.050176554,1,1.163486646
1.05070201,1,1.164510491
1.051227466,1,1.165534311
1.05174202,1,1.166546012
1.052256574,1,1.16755768
1.052771128,1,1.168569313
1.053285682,1,1.169580911
1.053800235,1,1.170783975
1.054314789,1,1.171987004
1.054829343,1,1.173189998
1.055343897,1,1.174392958
1.055858451,1,1.175595883
1.056373005,1,1.176798774
1.056877214,1,1.1779901
1.057381422,1,1.17918138
1.057885631,1,1.180372613
1.05838984,1,1.181563799
1.058894049,1,1.182707078
1.059398258,1,1.183850327
1.059902466,1,1.184993546
1.060406675,1,1.186136734
1.060910884,1,1.187279893
1.061415093,1,1.188423022
1.061909514,1,1.189555156
1.062403935,1,1.19068725
1.062898356,1,1.191819304
1.063392777,1,1.192951317
1.063887198,1,1.193985478
1.064381619,1,1.195019616
1.06487604,1,1.19605373
1.065370461,1,1.19708782
1.065864882,1,1.198121887
1.066359303,1,1.199155931
1.066844493,1,1.200179567
1.067329683,1,1.201203172
1.067814873,1,1.202226745
1.068300064,1,1.203250287
1.068785254,1,1.2041591
1.069270444,1,1.205067896
1.069755635,1,1.205976675
1.070240825,1,1.206885438
1.070726015,1,1.207794184
1.071211205,1,1.208702914
1.071687722,1,1.209601837
1.072164239,1,1.210500738
1.072640756,1,1.211399616
1.073117273,1,1.212298472
1.073593789,1,1.213153742
1.074070306,1,1.214008999
1.074546823,1,1.214864242
1.07502334,1,1.215719471
1.075499857,1,1.216574686
1.075976373,1,1.217429888
1.076444774,1,1.21827589
1.076913174,1,1.219121874
1.077381575,1,1.21996784
1.077849975,1,1.220813787
1.078318376,1,1.221686049
1.078786776,1,1.222558297
1.079255177,1,1.223430531
1.079723577,1,1.224302752
1.080191978,1,1.225174958
1.080660378,1,1.226047151
1.08112122,1,1.226910751
1.081582061,1,1.227774333
1.082042902,1,1.228637896
1.082503744,1,1.229501441
1.082964585,1,1.230544305
1.083425426,1,1.23158715
1.083886268,1,1.232629974
1.084347109,1,1.233672779
1.084807951,1,1.234715564
1.085268792,1,1.235758329
1.085722627,1,1.236793094
1.086176462,1,1.237827832
1.086630297,1,1.238862544
1.087084133,1,1.239897229
1.087537968,1,1.240905832
1.087991803,1,1.241914417
1.088445638,1,1.242922984
1.088899473,1,1.243931534
1.089353308,1,1.244940067
1.089807144,1,1.245948582
1.090254515,1,1.246949687
1.090701887,1,1.247950769
1.091149258,1,1.248951828
1.09159663,1,1.249952864
1.092044001,1,1.250818354
1.092491373,1,1.251683832
1.092938745,1,1.252549298
1.093386116,1,1.253414753
1.093833488,1,1.254280196
1.094280859,1,1.255145627
1.094722287,1,1.256004228
1.095163716,1,1.256862813
1.095605144,1,1.257721382
1.096046572,1,1.258579936
1.096488,1,1.259356063
1.096929428,1,1.260132182
1.097370856,1,1.260908293
1.097812284,1,1.261684395
