country,cause_name,adj_factor,PM_mort
Angola,Chronic obstructive pulmonary disease,0.5746373840000001,153.14397268569755
Angola,Diabetes mellitus type 2,0.5746373840000001,210.45078075683298
Angola,Lower respiratory infections,0.5746373840000001,183.9228244577057
Angola,"Tracheal, bronchus, and lung cancer",0.5746373840000001,37.96245838002646
Botswana,Chronic obstructive pulmonary disease,0.805646529,23.962069153608763
Botswana,Diabetes mellitus type 2,0.805646529,61.646512598167796
Botswana,Lower respiratory infections,0.805646529,38.948047248659194
Botswana,"Tracheal, bronchus, and lung cancer",0.805646529,4.010368814695242
Eswatini,Chronic obstructive pulmonary disease,0.663761291,10.254227813893934
Eswatini,Diabetes mellitus type 2,0.663761291,26.90397206829566
Eswatini,Lower respiratory infections,0.663761291,17.067044685259248
Eswatini,"Tracheal, bronchus, and lung cancer",0.663761291,1.1623898150643668
Lesotho,Chronic obstructive pulmonary disease,0.557042913,36.634969988885366
Lesotho,Diabetes mellitus type 2,0.557042913,60.846142382789424
Lesotho,Lower respiratory infections,0.557042913,44.8765377464237
Lesotho,"Tracheal, bronchus, and lung cancer",0.557042913,7.253435428961073
Malawi,Chronic obstructive pulmonary disease,0.2784701,14.446711888711683
Malawi,Diabetes mellitus type 2,0.2784701,87.48236111974282
Malawi,Lower respiratory infections,0.2784701,74.1210962333142
Malawi,"Tracheal, bronchus, and lung cancer",0.2784701,4.078235274901558
Mozambique,Chronic obstructive pulmonary disease,0.21347704550000002,17.452323907855543
Mozambique,Diabetes mellitus type 2,0.21347704550000002,67.21968618902702
Mozambique,Lower respiratory infections,0.21347704550000002,78.00809126041736
Mozambique,"Tracheal, bronchus, and lung cancer",0.21347704550000002,6.536403709081883
Namibia,Chronic obstructive pulmonary disease,0.757584391,6.019317727605568
Namibia,Diabetes mellitus type 2,0.757584391,16.557114216468293
Namibia,Lower respiratory infections,0.757584391,9.947615847489958
Namibia,"Tracheal, bronchus, and lung cancer",0.757584391,0.9348498460970516
South Africa,Chronic obstructive pulmonary disease,0.8956019715,1295.826187949686
South Africa,Diabetes mellitus type 2,0.8956019715,3730.1949716303848
South Africa,Lower respiratory infections,0.8956019715,1927.997715478931
South Africa,"Tracheal, bronchus, and lung cancer",0.8956019715,986.2677117399711
Zambia,Chronic obstructive pulmonary disease,0.5005237915,33.450597315763254
Zambia,Diabetes mellitus type 2,0.5005237915,174.50149918359156
Zambia,Lower respiratory infections,0.5005237915,153.08238572598393
Zambia,"Tracheal, bronchus, and lung cancer",0.5005237915,10.337218921050443
Zimbabwe,Chronic obstructive pulmonary disease,0.482071896,49.831307113708604
Zimbabwe,Diabetes mellitus type 2,0.482071896,101.86607884393774
Zimbabwe,Lower respiratory infections,0.482071896,137.38249440157463
Zimbabwe,"Tracheal, bronchus, and lung cancer",0.482071896,36.78853491149157
Angola,Stroke,0.5746373840000001,583.0097606500439
Botswana,Stroke,0.805646529,51.01101152968439
Eswatini,Stroke,0.663761291,35.23752818390791
Lesotho,Stroke,0.557042913,110.09727577181098
Malawi,Stroke,0.2784701,169.0876014802563
Mozambique,Stroke,0.21347704550000002,214.59222285283337
Namibia,Stroke,0.757584391,18.37775852465315
South Africa,Stroke,0.8956019715,4461.345419383997
Zambia,Stroke,0.5005237915,534.7850834182228
Zimbabwe,Stroke,0.482071896,316.6399901088973
Angola,Ischemic heart disease,0.5746373840000001,391.80735226025445
Botswana,Ischemic heart disease,0.805646529,39.8180199942723
Eswatini,Ischemic heart disease,0.663761291,18.30845494661446
Lesotho,Ischemic heart disease,0.557042913,40.13494420446381
Malawi,Ischemic heart disease,0.2784701,103.42267762042954
Mozambique,Ischemic heart disease,0.21347704550000002,112.19357574554016
Namibia,Ischemic heart disease,0.757584391,13.20301208983985
South Africa,Ischemic heart disease,0.8956019715,3144.9000118502254
Zambia,Ischemic heart disease,0.5005237915,283.4097844529554
Zimbabwe,Ischemic heart disease,0.482071896,165.23229897879006
