census_id,geo_name,lon,lat,country,poll,emis,eff_height
0001,ANGOLA_BENGO_AMBRIZ,13.500573856748415,-7.941839245075118,Angola,NH3,8.256653591489695,220
0002,ANGOLA_BENGO_BULA ATUMBA,14.820908751789867,-8.634475645495783,Angola,NH3,9.97051554490834,220
0003,ANGOLA_BENGO_DANDE,13.841710609854086,-8.53534736049627,Angola,NH3,301.6666201251882,220
0004,ANGOLA_BENGO_DEMBOS,14.552452662474186,-8.506656679922113,Angola,NH3,18.271884994696798,220
0005,ANGOLA_BENGO_NAMBUANGONGO,14.25926486683566,-8.047643790272277,Angola,NH3,36.91080634338275,220
0006,ANGOLA_BENGO_PANGO ALUQUÉM,14.467187741962098,-8.753291428515478,Angola,NH3,3.787028163780604,220
0007,ANGOLA_BENGUELA_BAÍA FARTA,13.110895429150032,-13.169353899832894,Angola,NH3,58.635258442689036,220
0008,ANGOLA_BENGUELA_BALOMBO,14.785534807000774,-12.362142938317604,Angola,NH3,84.29198496589679,220
0009,ANGOLA_BENGUELA_BENGUELA,13.613234701433782,-12.750903810317325,Angola,NH3,305.41051512541054,220
0010,ANGOLA_BENGUELA_BOCOIO,14.273806030010297,-12.337517465231237,Angola,NH3,110.84667073322042,220
0011,ANGOLA_BENGUELA_CAIMBAMBO,13.925466200463916,-13.103370379840863,Angola,NH3,61.31190863546123,220
0012,ANGOLA_BENGUELA_CATUMBELA,13.680172800346687,-12.477296385532492,Angola,NH3,50.05601533683576,220
0013,ANGOLA_BENGUELA_CHONGOROI,13.804725364547245,-13.596741410412521,Angola,NH3,56.98959951534812,220
0014,ANGOLA_BENGUELA_CUBAL,14.349577634106108,-13.16149142143734,Angola,NH3,242.0936491100593,220
0015,ANGOLA_BENGUELA_GANDA,14.733920867955561,-13.122131963632688,Angola,NH3,210.97528340168276,220
0016,ANGOLA_BENGUELA_LOBITO,13.886545783996153,-12.092395259332209,Angola,NH3,312.6012450923085,220
0017,ANGOLA_BIÉ_ANDULO,16.463299708517784,-11.274658946317146,Angola,NH3,203.07255995164587,220
0018,ANGOLA_BIÉ_CAMACUPA,17.780227977541617,-12.451681506672221,Angola,NH3,116.71099304444053,220
0019,ANGOLA_BIÉ_CATABOLA,17.254341809340623,-12.147939255129183,Angola,NH3,104.2894045636903,220
0020,ANGOLA_BIÉ_CHINGUAR,16.57220235885333,-12.562961032395926,Angola,NH3,85.3512315948224,220
0021,ANGOLA_BIÉ_CHITEMBO,17.2256685420672,-13.4761375683222,Angola,NH3,55.330842004998544,220
0022,ANGOLA_BIÉ_CUEMBA,18.450876402365434,-11.812583973776919,Angola,NH3,33.981305786738936,220
0023,ANGOLA_BIÉ_CUITO,17.0195337801636,-12.539053407735349,Angola,NH3,402.2667381218549,220
0024,ANGOLA_BIÉ_CUNHINGA,16.806485043535446,-11.988245606222938,Angola,NH3,30.063757923102077,220
0025,ANGOLA_BIÉ_NHAREA,17.157724905821997,-11.308602978499657,Angola,NH3,75.71196842454745,220
0026,ANGOLA_CABINDA_BELIZE,12.84464336058737,-4.605790961567085,Angola,NH3,19.576766445474707,220
0027,ANGOLA_CABINDA_BUCO ZAU,12.545868870473262,-4.802124175234638,Angola,NH3,25.363146067214718,220
0028,ANGOLA_CABINDA_CABINDA,12.36403326270615,-5.461872414729606,Angola,NH3,306.8564983828633,220
0029,ANGOLA_CABINDA_CACONGO,12.242228043574034,-5.043712430446504,Angola,NH3,29.291457068480394,220
0030,ANGOLA_KUANDO KUBANGO_CALAI,19.414268804995988,-17.367954683212766,Angola,NH3,42.628291898185246,220
0031,ANGOLA_KUANDO KUBANGO_CUANGAR,18.15299180710266,-17.054777832805367,Angola,NH3,26.482037085409356,220
0032,ANGOLA_KUANDO KUBANGO_CUCHI,16.962579756983985,-14.692891199511664,Angola,NH3,35.64589625537112,220
0033,ANGOLA_KUANDO KUBANGO_CUITO CUANAVALE,18.841355039845936,-14.950150376556852,Angola,NH3,31.748502887949645,220
0034,ANGOLA_KUANDO KUBANGO_DIRICO,20.825162039879295,-17.52729673830151,Angola,NH3,22.126330584406407,220
0035,ANGOLA_KUANDO KUBANGO_MAVINGA,20.292091111981065,-16.124977275218903,Angola,NH3,22.90473028502534,220
0036,ANGOLA_KUANDO KUBANGO_MENONGUE,17.745373647024998,-15.225709939331868,Angola,NH3,271.67846019781933,220
0037,ANGOLA_KUANDO KUBANGO_NANCOVA,18.73240828489362,-16.388826303005242,Angola,NH3,3.265612428798698,220
0038,ANGOLA_KUANDO KUBANGO_RIVUNGO,21.95105197046031,-16.860900758284263,Angola,NH3,31.34151006453816,220
0039,ANGOLA_KWANZA NORTE_AMBACA,15.509119051943488,-8.223269097816729,Angola,NH3,37.78522392947005,220
0040,ANGOLA_KWANZA NORTE_BANGA,15.153253461606287,-8.689616530469744,Angola,NH3,5.7518190419125865,220
0041,ANGOLA_KWANZA NORTE_BOLONGONGO,15.113302487330705,-8.382132376680488,Angola,NH3,5.517408949662982,220
0042,ANGOLA_KWANZA NORTE_CAMBAMBE,14.521816633134614,-9.433964278230446,Angola,NH3,62.74914783580453,220
0043,ANGOLA_KWANZA NORTE_CAZENGO,14.779870946066733,-9.320031680889498,Angola,NH3,139.1433260071609,220
0044,ANGOLA_KWANZA NORTE_GOLUNGO ALTO,14.666387710001,-9.076507922069805,Angola,NH3,29.135458891474375,220
0045,ANGOLA_KWANZA NORTE_LUCALA,15.238258650636386,-9.139267281380702,Angola,NH3,14.429428117614442,220
0046,ANGOLA_KWANZA NORTE_NGONGUEMBO,14.901663408090647,-8.902563767131948,Angola,NH3,3.7432283628816174,220
0047,ANGOLA_KWANZA NORTE_QUICULUNGO,15.319625776448795,-8.49002907643525,Angola,NH3,3.5883318304958336,220
0048,ANGOLA_KWANZA NORTE_SAMBA CAJÚ,15.494620704324683,-8.808515207926657,Angola,NH3,16.884363505064808,220
0049,ANGOLA_KWANZA SUL_AMBOIM,14.409446053756277,-10.888247311555114,Angola,NH3,205.0553061159163,220
0050,ANGOLA_KWANZA SUL_CASSONGUE,14.969245996228281,-11.823486279155278,Angola,NH3,99.53792755163965,220
0051,ANGOLA_KWANZA SUL_CELA,15.327509138494797,-11.286611386444985,Angola,NH3,170.8766481097457,220
0052,ANGOLA_KWANZA SUL_CONDA,14.457113187835018,-11.173469665594153,Angola,NH3,74.30448156411785,220
0053,ANGOLA_KWANZA SUL_EBO,14.756355439021709,-10.954311333786544,Angola,NH3,139.89798496571518,220
0054,ANGOLA_KWANZA SUL_LIBOLO,14.990540118658812,-10.063463539441377,Angola,NH3,65.22327384863428,220
0055,ANGOLA_KWANZA SUL_MUSSENDE,15.978658982493396,-10.268786589120642,Angola,NH3,59.61469859723514,220
0056,ANGOLA_KWANZA SUL_PORTO AMBOIM,13.942283729197893,-10.627805552833145,Angola,NH3,80.54543002740739,220
0057,ANGOLA_KWANZA SUL_QUIBALA,15.335713103750756,-10.699008506951671,Angola,NH3,94.88301168287617,220
