census_id,emis,geo_name,lon,lat,country,code,poll
0001,6.108884533803769,ANGOLA_BENGO_AMBRIZ,13.500573856748415,-7.941839245075118,Angola,AWB,OC
0002,2.8316262306902713,ANGOLA_BENGO_BULA ATUMBA,14.820908751789867,-8.634475645495783,Angola,AWB,OC
0003,31.847783541958876,ANGOLA_BENGO_DANDE,13.841710609854086,-8.53534736049627,Angola,AWB,OC
0004,3.1502455738701007,ANGOLA_BENGO_DEMBOS,14.552452662474186,-8.506656679922113,Angola,AWB,OC
0005,28.255434290961436,ANGOLA_BENGO_NAMBUANGONGO,14.25926486683566,-8.047643790272277,Angola,AWB,OC
0006,0.6888599969785022,ANGOLA_BENGO_PANGO ALUQUÉM,14.467187741962098,-8.753291428515478,Angola,AWB,OC
0007,35.20638924191041,ANGOLA_BENGUELA_BAÍA FARTA,13.110895429150032,-13.169353899832894,Angola,AWB,OC
0008,118.00909169723707,ANGOLA_BENGUELA_BALOMBO,14.785534807000774,-12.362142938317604,Angola,AWB,OC
0009,9.243023120351998,ANGOLA_BENGUELA_BENGUELA,13.613234701433782,-12.750903810317325,Angola,AWB,OC
0010,214.14602681637172,ANGOLA_BENGUELA_BOCOIO,14.273806030010297,-12.337517465231237,Angola,AWB,OC
0011,41.04469344983542,ANGOLA_BENGUELA_CAIMBAMBO,13.925466200463916,-13.103370379840863,Angola,AWB,OC
0012,7.025758192925783,ANGOLA_BENGUELA_CATUMBELA,13.680172800346687,-12.477296385532492,Angola,AWB,OC
0013,144.82921639792025,ANGOLA_BENGUELA_CHONGOROI,13.804725364547245,-13.596741410412521,Angola,AWB,OC
0014,189.71958827831446,ANGOLA_BENGUELA_CUBAL,14.349577634106108,-13.16149142143734,Angola,AWB,OC
0015,202.86703088611344,ANGOLA_BENGUELA_GANDA,14.733920867955561,-13.122131963632688,Angola,AWB,OC
0016,28.583221871212046,ANGOLA_BENGUELA_LOBITO,13.886545783996153,-12.092395259332209,Angola,AWB,OC
0017,239.2987924087451,ANGOLA_BIÉ_ANDULO,16.463299708517784,-11.274658946317146,Angola,AWB,OC
0018,157.64865254467847,ANGOLA_BIÉ_CAMACUPA,17.780227977541617,-12.451681506672221,Angola,AWB,OC
0019,90.08499285460458,ANGOLA_BIÉ_CATABOLA,17.254341809340623,-12.147939255129183,Angola,AWB,OC
0020,35.613737651475276,ANGOLA_BIÉ_CHINGUAR,16.57220235885333,-12.562961032395926,Angola,AWB,OC
0021,223.5409009276142,ANGOLA_BIÉ_CHITEMBO,17.2256685420672,-13.4761375683222,Angola,AWB,OC
0022,75.63595514799103,ANGOLA_BIÉ_CUEMBA,18.450876402365434,-11.812583973776919,Angola,AWB,OC
0023,117.74437248588976,ANGOLA_BIÉ_CUITO,17.0195337801636,-12.539053407735349,Angola,AWB,OC
0024,51.00981713439845,ANGOLA_BIÉ_CUNHINGA,16.806485043535446,-11.988245606222938,Angola,AWB,OC
0025,132.49951745709254,ANGOLA_BIÉ_NHAREA,17.157724905821997,-11.308602978499657,Angola,AWB,OC
0026,1.3812795800290767,ANGOLA_CABINDA_BELIZE,12.84464336058737,-4.605790961567085,Angola,AWB,OC
0027,2.849123391120273,ANGOLA_CABINDA_BUCO ZAU,12.545868870473262,-4.802124175234638,Angola,AWB,OC
0028,24.62144370802863,ANGOLA_CABINDA_CABINDA,12.36403326270615,-5.461872414729606,Angola,AWB,OC
0029,8.316855223891631,ANGOLA_CABINDA_CACONGO,12.242228043574034,-5.043712430446504,Angola,AWB,OC
0030,9.425720464206224,ANGOLA_KUANDO KUBANGO_CALAI,19.414268804995988,-17.367954683212766,Angola,AWB,OC
0031,49.25126656119097,ANGOLA_KUANDO KUBANGO_CUANGAR,18.15299180710266,-17.054777832805367,Angola,AWB,OC
0032,82.72629357317736,ANGOLA_KUANDO KUBANGO_CUCHI,16.962579756983985,-14.692891199511664,Angola,AWB,OC
0033,76.41617874136716,ANGOLA_KUANDO KUBANGO_CUITO CUANAVALE,18.841355039845936,-14.950150376556852,Angola,AWB,OC
0034,8.52412563122885,ANGOLA_KUANDO KUBANGO_DIRICO,20.825162039879295,-17.52729673830151,Angola,AWB,OC
0035,118.06734379070812,ANGOLA_KUANDO KUBANGO_MAVINGA,20.292091111981065,-16.124977275218903,Angola,AWB,OC
0036,76.95716405187454,ANGOLA_KUANDO KUBANGO_MENONGUE,17.745373647024998,-15.225709939331868,Angola,AWB,OC
0037,32.68169071762381,ANGOLA_KUANDO KUBANGO_NANCOVA,18.73240828489362,-16.388826303005242,Angola,AWB,OC
0038,45.4794779144421,ANGOLA_KUANDO KUBANGO_RIVUNGO,21.95105197046031,-16.860900758284263,Angola,AWB,OC
0039,36.24752717696216,ANGOLA_KWANZA NORTE_AMBACA,15.509119051943488,-8.223269097816729,Angola,AWB,OC
0040,8.805088613392083,ANGOLA_KWANZA NORTE_BANGA,15.153253461606287,-8.689616530469744,Angola,AWB,OC
0041,0.8759366974942823,ANGOLA_KWANZA NORTE_BOLONGONGO,15.113302487330705,-8.382132376680488,Angola,AWB,OC
0042,22.719116742231886,ANGOLA_KWANZA NORTE_CAMBAMBE,14.521816633134614,-9.433964278230446,Angola,AWB,OC
0043,12.078463140544093,ANGOLA_KWANZA NORTE_CAZENGO,14.779870946066733,-9.320031680889498,Angola,AWB,OC
0044,3.953546932283698,ANGOLA_KWANZA NORTE_GOLUNGO ALTO,14.666387710001,-9.076507922069805,Angola,AWB,OC
0045,15.746147752688486,ANGOLA_KWANZA NORTE_LUCALA,15.238258650636386,-9.139267281380702,Angola,AWB,OC
0046,8.240876324303112,ANGOLA_KWANZA NORTE_NGONGUEMBO,14.901663408090647,-8.902563767131948,Angola,AWB,OC
0047,0.6038023125966607,ANGOLA_KWANZA NORTE_QUICULUNGO,15.319625776448795,-8.49002907643525,Angola,AWB,OC
0048,31.263155415031896,ANGOLA_KWANZA NORTE_SAMBA CAJÚ,15.494620704324683,-8.808515207926657,Angola,AWB,OC
0049,18.468556991289685,ANGOLA_KWANZA SUL_AMBOIM,14.409446053756277,-10.888247311555114,Angola,AWB,OC
0050,117.9149962184381,ANGOLA_KWANZA SUL_CASSONGUE,14.969245996228281,-11.823486279155278,Angola,AWB,OC
0051,70.29192018531356,ANGOLA_KWANZA SUL_CELA,15.327509138494797,-11.286611386444985,Angola,AWB,OC
0052,25.099526810666948,ANGOLA_KWANZA SUL_CONDA,14.457113187835018,-11.173469665594153,Angola,AWB,OC
