census_id,emis,geo_name,lon,lat,country,code,poll
0001,0.3853849284221116,ANGOLA_BENGO_AMBRIZ,13.500573856748415,-7.941839245075118,Angola,TRO_RES,OC
0002,0.009419759615398326,ANGOLA_BENGO_BULA ATUMBA,14.820908751789867,-8.634475645495783,Angola,TRO_RES,OC
0003,0.22250245348593362,ANGOLA_BENGO_DANDE,13.841710609854086,-8.53534736049627,Angola,TRO_RES,OC
0004,0.006611373384411521,ANGOLA_BENGO_DEMBOS,14.552452662474186,-8.506656679922113,Angola,TRO_RES,OC
0005,0,ANGOLA_BENGO_NAMBUANGONGO,14.25926486683566,-8.047643790272277,Angola,TRO_RES,OC
0006,0,ANGOLA_BENGO_PANGO ALUQUÉM,14.467187741962098,-8.753291428515478,Angola,TRO_RES,OC
0007,0.9454526869185653,ANGOLA_BENGUELA_BAÍA FARTA,13.110895429150032,-13.169353899832894,Angola,TRO_RES,OC
0008,0.47230120111798346,ANGOLA_BENGUELA_BALOMBO,14.785534807000774,-12.362142938317604,Angola,TRO_RES,OC
0009,0.3444431676295041,ANGOLA_BENGUELA_BENGUELA,13.613234701433782,-12.750903810317325,Angola,TRO_RES,OC
0010,0.842146941709545,ANGOLA_BENGUELA_BOCOIO,14.273806030010297,-12.337517465231237,Angola,TRO_RES,OC
0011,0.1874464919224092,ANGOLA_BENGUELA_CAIMBAMBO,13.925466200463916,-13.103370379840863,Angola,TRO_RES,OC
0012,0.22815181427365808,ANGOLA_BENGUELA_CATUMBELA,13.680172800346687,-12.477296385532492,Angola,TRO_RES,OC
0013,0,ANGOLA_BENGUELA_CHONGOROI,13.804725364547245,-13.596741410412521,Angola,TRO_RES,OC
0014,0.19494373481026547,ANGOLA_BENGUELA_CUBAL,14.349577634106108,-13.16149142143734,Angola,TRO_RES,OC
0015,0.6125716042538158,ANGOLA_BENGUELA_GANDA,14.733920867955561,-13.122131963632688,Angola,TRO_RES,OC
0016,0.2303777022443877,ANGOLA_BENGUELA_LOBITO,13.886545783996153,-12.092395259332209,Angola,TRO_RES,OC
0017,0.8290009154970913,ANGOLA_BIÉ_ANDULO,16.463299708517784,-11.274658946317146,Angola,TRO_RES,OC
0018,0.3245118529651554,ANGOLA_BIÉ_CAMACUPA,17.780227977541617,-12.451681506672221,Angola,TRO_RES,OC
0019,0.21579983837067454,ANGOLA_BIÉ_CATABOLA,17.254341809340623,-12.147939255129183,Angola,TRO_RES,OC
0020,0.4240534414303716,ANGOLA_BIÉ_CHINGUAR,16.57220235885333,-12.562961032395926,Angola,TRO_RES,OC
0021,0.840193550001166,ANGOLA_BIÉ_CHITEMBO,17.2256685420672,-13.4761375683222,Angola,TRO_RES,OC
