geo_name,age_group,pop,country
Buffalo City (BUF),25-29 years,62379.75908751298,SOUTH AFRICA
Buffalo City (BUF),30-34 years,68068.1998779504,SOUTH AFRICA
Buffalo City (BUF),35-39 years,64009.85318631749,SOUTH AFRICA
Buffalo City (BUF),40-44 years,57310.12069843956,SOUTH AFRICA
Buffalo City (BUF),45-49 years,50467.615012313625,SOUTH AFRICA
Buffalo City (BUF),50-54 years,43387.67388183836,SOUTH AFRICA
Buffalo City (BUF),55-59 years,38985.341490729115,SOUTH AFRICA
Buffalo City (BUF),60-64 years,33447.99756911928,SOUTH AFRICA
Buffalo City (BUF),65-69 years,24010.82456842377,SOUTH AFRICA
Buffalo City (BUF),70-74 years,15203.962101376144,SOUTH AFRICA
Buffalo City (BUF),75-79 years,10734.392212104562,SOUTH AFRICA
Buffalo City (BUF),80+ years,8505.59506952064,SOUTH AFRICA
City of Cape Town (CPT),25-29 years,421769.6920484661,SOUTH AFRICA
City of Cape Town (CPT),30-34 years,437714.15752856014,SOUTH AFRICA
City of Cape Town (CPT),35-39 years,378597.6075383914,SOUTH AFRICA
City of Cape Town (CPT),40-44 years,315242.7349425572,SOUTH AFRICA
City of Cape Town (CPT),45-49 years,272245.30749337096,SOUTH AFRICA
City of Cape Town (CPT),50-54 years,232299.56411145523,SOUTH AFRICA
City of Cape Town (CPT),55-59 years,194422.3885552656,SOUTH AFRICA
City of Cape Town (CPT),60-64 years,150934.3670057872,SOUTH AFRICA
City of Cape Town (CPT),65-69 years,114559.57371062858,SOUTH AFRICA
City of Cape Town (CPT),70-74 years,81000.48708931198,SOUTH AFRICA
City of Cape Town (CPT),75-79 years,48453.66439508091,SOUTH AFRICA
City of Cape Town (CPT),80+ years,38886.0468696685,SOUTH AFRICA
Ekurhuleni (EKU),25-29 years,425023.64652051503,SOUTH AFRICA
Ekurhuleni (EKU),30-34 years,410350.4638184138,SOUTH AFRICA
Ekurhuleni (EKU),35-39 years,323879.1819366069,SOUTH AFRICA
Ekurhuleni (EKU),40-44 years,259562.76596241628,SOUTH AFRICA
Ekurhuleni (EKU),45-49 years,213312.41027673296,SOUTH AFRICA
Ekurhuleni (EKU),50-54 years,174968.94858517442,SOUTH AFRICA
Ekurhuleni (EKU),55-59 years,146289.1284449966,SOUTH AFRICA
Ekurhuleni (EKU),60-64 years,114144.76523908874,SOUTH AFRICA
Ekurhuleni (EKU),65-69 years,83476.33369642968,SOUTH AFRICA
Ekurhuleni (EKU),70-74 years,54726.7740343811,SOUTH AFRICA
Ekurhuleni (EKU),75-79 years,29672.26222176564,SOUTH AFRICA
Ekurhuleni (EKU),80+ years,16973.36119739607,SOUTH AFRICA
eThekwini (ETH),25-29 years,387152.19385204004,SOUTH AFRICA
eThekwini (ETH),30-34 years,384565.53570452065,SOUTH AFRICA
eThekwini (ETH),35-39 years,321821.95382197737,SOUTH AFRICA
eThekwini (ETH),40-44 years,266291.2547904877,SOUTH AFRICA
eThekwini (ETH),45-49 years,219552.66972800496,SOUTH AFRICA
eThekwini (ETH),50-54 years,181641.27653753574,SOUTH AFRICA
eThekwini (ETH),55-59 years,152743.28991303593,SOUTH AFRICA
eThekwini (ETH),60-64 years,121438.87135590045,SOUTH AFRICA
eThekwini (ETH),65-69 years,96982.88053466854,SOUTH AFRICA
eThekwini (ETH),70-74 years,67371.124003834,SOUTH AFRICA
eThekwini (ETH),75-79 years,35412.72851244475,SOUTH AFRICA
eThekwini (ETH),80+ years,17020.144040827658,SOUTH AFRICA
City of Johannesburg (JHB),25-29 years,622200.0146154364,SOUTH AFRICA
City of Johannesburg (JHB),30-34 years,635492.9732073888,SOUTH AFRICA
City of Johannesburg (JHB),35-39 years,531199.0412555656,SOUTH AFRICA
City of Johannesburg (JHB),40-44 years,424394.5779544376,SOUTH AFRICA
City of Johannesburg (JHB),45-49 years,329870.4855128031,SOUTH AFRICA
City of Johannesburg (JHB),50-54 years,251240.08684546553,SOUTH AFRICA
City of Johannesburg (JHB),55-59 years,201098.68932688446,SOUTH AFRICA
City of Johannesburg (JHB),60-64 years,157503.87641020073,SOUTH AFRICA
City of Johannesburg (JHB),65-69 years,118166.89364886653,SOUTH AFRICA
City of Johannesburg (JHB),70-74 years,78968.94724879382,SOUTH AFRICA
City of Johannesburg (JHB),75-79 years,42792.55711268635,SOUTH AFRICA
City of Johannesburg (JHB),80+ years,27466.194253161815,SOUTH AFRICA
Mangaung (MAN),25-29 years,78973.4556473047,SOUTH AFRICA
Mangaung (MAN),30-34 years,76753.64791900135,SOUTH AFRICA
Mangaung (MAN),35-39 years,63490.28533282345,SOUTH AFRICA
Mangaung (MAN),40-44 years,52800.812787956005,SOUTH AFRICA
Mangaung (MAN),45-49 years,46817.75119459929,SOUTH AFRICA
Mangaung (MAN),50-54 years,39318.99994842193,SOUTH AFRICA
Mangaung (MAN),55-59 years,32334.823542387912,SOUTH AFRICA
Mangaung (MAN),60-64 years,26809.008159247584,SOUTH AFRICA
Mangaung (MAN),65-69 years,20935.669241141415,SOUTH AFRICA
Mangaung (MAN),70-74 years,14722.980534312683,SOUTH AFRICA
Mangaung (MAN),75-79 years,9646.509306380687,SOUTH AFRICA
Mangaung (MAN),80+ years,9302.443359708264,SOUTH AFRICA
Nelson Mandela Bay (NMA),25-29 years,93547.15801261931,SOUTH AFRICA
Nelson Mandela Bay (NMA),30-34 years,103869.78730593386,SOUTH AFRICA
Nelson Mandela Bay (NMA),35-39 years,97819.85628599008,SOUTH AFRICA
Nelson Mandela Bay (NMA),40-44 years,88650.55238254013,SOUTH AFRICA
Nelson Mandela Bay (NMA),45-49 years,79337.44698920274,SOUTH AFRICA
Nelson Mandela Bay (NMA),50-54 years,68606.12158766709,SOUTH AFRICA
Nelson Mandela Bay (NMA),55-59 years,60408.60415196863,SOUTH AFRICA
Nelson Mandela Bay (NMA),60-64 years,51143.93700892725,SOUTH AFRICA
Nelson Mandela Bay (NMA),65-69 years,39622.20331091971,SOUTH AFRICA
Nelson Mandela Bay (NMA),70-74 years,27056.016606622943,SOUTH AFRICA
Nelson Mandela Bay (NMA),75-79 years,17024.319225300635,SOUTH AFRICA
Nelson Mandela Bay (NMA),80+ years,13425.417484595135,SOUTH AFRICA
City of Tshwane (TSH),25-29 years,407535.1434776982,SOUTH AFRICA
City of Tshwane (TSH),30-34 years,397457.74382900214,SOUTH AFRICA
City of Tshwane (TSH),35-39 years,311462.4370133965,SOUTH AFRICA
City of Tshwane (TSH),40-44 years,236529.79035208173,SOUTH AFRICA
City of Tshwane (TSH),45-49 years,194686.53276174085,SOUTH AFRICA
City of Tshwane (TSH),50-54 years,161928.97231785906,SOUTH AFRICA
City of Tshwane (TSH),55-59 years,135592.824861396,SOUTH AFRICA
City of Tshwane (TSH),60-64 years,107151.99539446871,SOUTH AFRICA
City of Tshwane (TSH),65-69 years,78952.91687760419,SOUTH AFRICA
City of Tshwane (TSH),70-74 years,53867.20623373691,SOUTH AFRICA
City of Tshwane (TSH),75-79 years,31126.869991041873,SOUTH AFRICA
City of Tshwane (TSH),80+ years,21310.21764171825,SOUTH AFRICA
Camdeboo/Ikwezi/Baviaans (EC101),25-29 years,5432.355380573859,SOUTH AFRICA
Camdeboo/Ikwezi/Baviaans (EC101),30-34 years,6409.918245212846,SOUTH AFRICA
Camdeboo/Ikwezi/Baviaans (EC101),35-39 years,5297.693325628956,SOUTH AFRICA
Camdeboo/Ikwezi/Baviaans (EC101),40-44 years,4797.126062108723,SOUTH AFRICA
Camdeboo/Ikwezi/Baviaans (EC101),45-49 years,4587.152859281621,SOUTH AFRICA
Camdeboo/Ikwezi/Baviaans (EC101),50-54 years,3885.4411966928824,SOUTH AFRICA
Camdeboo/Ikwezi/Baviaans (EC101),55-59 years,3573.874512794975,SOUTH AFRICA
Camdeboo/Ikwezi/Baviaans (EC101),60-64 years,2619.646412726063,SOUTH AFRICA
Camdeboo/Ikwezi/Baviaans (EC101),65-69 years,2374.3332367654193,SOUTH AFRICA
Camdeboo/Ikwezi/Baviaans (EC101),70-74 years,1448.1831113774092,SOUTH AFRICA
Camdeboo/Ikwezi/Baviaans (EC101),75+ years,1870.2028710342113,SOUTH AFRICA
Blue Crane Rout/ie (EC102),25-29 years,2482.638374355433,SOUTH AFRICA
Blue Crane Rout/ie (EC102),30-34 years,2518.609542461266,SOUTH AFRICA
Blue Crane Rout/ie (EC102),35-39 years,2468.246894713894,SOUTH AFRICA
Blue Crane Rout/ie (EC102),40-44 years,2037.321697900415,SOUTH AFRICA
Blue Crane Rout/ie (EC102),45-49 years,2195.875727114452,SOUTH AFRICA
Blue Crane Rout/ie (EC102),50-54 years,2079.01687696243,SOUTH AFRICA
Blue Crane Rout/ie (EC102),55-59 years,1651.4478714995053,SOUTH AFRICA
Blue Crane Rout/ie (EC102),60-64 years,1389.564335469554,SOUTH AFRICA
Blue Crane Rout/ie (EC102),65-69 years,1017.5399971498056,SOUTH AFRICA
Blue Crane Rout/ie (EC102),70-74 years,799.8370782118684,SOUTH AFRICA
Blue Crane Rout/ie (EC102),75+ years,829.5464500530027,SOUTH AFRICA
Makana (EC104),25-29 years,7096.441485743075,SOUTH AFRICA
Makana (EC104),30-34 years,6536.154092476047,SOUTH AFRICA
Makana (EC104),35-39 years,5326.035772465681,SOUTH AFRICA
Makana (EC104),40-44 years,5069.19516379034,SOUTH AFRICA
Makana (EC104),45-49 years,4602.430072868219,SOUTH AFRICA
Makana (EC104),50-54 years,4250.929142441284,SOUTH AFRICA
Makana (EC104),55-59 years,3112.507536323101,SOUTH AFRICA
Makana (EC104),60-64 years,2515.64666078265,SOUTH AFRICA
Makana (EC104),65-69 years,1851.8176556407043,SOUTH AFRICA
Makana (EC104),70-74 years,1564.3331125011553,SOUTH AFRICA
Makana (EC104),75+ years,1847.4722152084898,SOUTH AFRICA
Ndlambe (EC105),25-29 years,5266.887171762219,SOUTH AFRICA
Ndlambe (EC105),30-34 years,5956.529173875452,SOUTH AFRICA
Ndlambe (EC105),35-39 years,5017.9014624570345,SOUTH AFRICA
Ndlambe (EC105),40-44 years,4530.434296684974,SOUTH AFRICA
Ndlambe (EC105),45-49 years,4066.1411624879065,SOUTH AFRICA
Ndlambe (EC105),50-54 years,3829.9980789879182,SOUTH AFRICA
Ndlambe (EC105),55-59 years,3028.022340118663,SOUTH AFRICA
Ndlambe (EC105),60-64 years,2932.8650471352603,SOUTH AFRICA
Ndlambe (EC105),65-69 years,2267.84395944813,SOUTH AFRICA
Ndlambe (EC105),70-74 years,1947.329945681793,SOUTH AFRICA
Ndlambe (EC105),75+ years,2806.619272541172,SOUTH AFRICA
Sundays River Valley (EC106),25-29 years,5612.369113771065,SOUTH AFRICA
Sundays River Valley (EC106),30-34 years,5797.298619990783,SOUTH AFRICA
Sundays River Valley (EC106),35-39 years,5095.317517471305,SOUTH AFRICA
Sundays River Valley (EC106),40-44 years,4150.605036969642,SOUTH AFRICA
Sundays River Valley (EC106),45-49 years,3354.979605292252,SOUTH AFRICA
Sundays River Valley (EC106),50-54 years,2762.8145450688153,SOUTH AFRICA
Sundays River Valley (EC106),55-59 years,2105.273427864888,SOUTH AFRICA
Sundays River Valley (EC106),60-64 years,1557.3929476341257,SOUTH AFRICA
Sundays River Valley (EC106),65-69 years,1027.8031816889236,SOUTH AFRICA
Sundays River Valley (EC106),70-74 years,802.5209650657889,SOUTH AFRICA
Sundays River Valley (EC106),75+ years,1002.133569253829,SOUTH AFRICA
Kouga (EC108),25-29 years,10134.219395602762,SOUTH AFRICA
Kouga (EC108),30-34 years,11016.215510186514,SOUTH AFRICA
Kouga (EC108),35-39 years,8973.901560975424,SOUTH AFRICA
Kouga (EC108),40-44 years,7378.711358788129,SOUTH AFRICA
Kouga (EC108),45-49 years,6501.420056889071,SOUTH AFRICA
Kouga (EC108),50-54 years,4839.635313958127,SOUTH AFRICA
Kouga (EC108),55-59 years,4506.992827501257,SOUTH AFRICA
Kouga (EC108),60-64 years,4077.1298884106536,SOUTH AFRICA
Kouga (EC108),65-69 years,3641.9944491107444,SOUTH AFRICA
Kouga (EC108),70-74 years,2654.0087882912394,SOUTH AFRICA
Kouga (EC108),75+ years,3857.767510058612,SOUTH AFRICA
Kou-Kamma (EC109),25-29 years,3950.9921239772157,SOUTH AFRICA
Kou-Kamma (EC109),30-34 years,4209.146997973063,SOUTH AFRICA
Kou-Kamma (EC109),35-39 years,3757.5204905026303,SOUTH AFRICA
Kou-Kamma (EC109),40-44 years,2953.702386065306,SOUTH AFRICA
Kou-Kamma (EC109),45-49 years,2721.1517131631936,SOUTH AFRICA
Kou-Kamma (EC109),50-54 years,2109.3976104578055,SOUTH AFRICA
Kou-Kamma (EC109),55-59 years,1848.9139446348868,SOUTH AFRICA
Kou-Kamma (EC109),60-64 years,1337.595529737573,SOUTH AFRICA
Kou-Kamma (EC109),65-69 years,922.8549467741234,SOUTH AFRICA
