geo_name,lon,lat,country,census_id,pop_tot,pop_30plus
ANGOLA_BENGO_AMBRIZ,13.500573856748415,-7.941839245075118,Angola,0001,26731,7519
ANGOLA_BENGO_BULA ATUMBA,14.820908751789867,-8.634475645495783,Angola,0002,15837,5178
ANGOLA_BENGO_DANDE,13.841710609854086,-8.53534736049627,Angola,0003,261939,75596
ANGOLA_BENGO_DEMBOS,14.552452662474186,-8.506656679922113,Angola,0004,35381,10215
ANGOLA_BENGO_NAMBUANGONGO,14.25926486683566,-8.047643790272277,Angola,0005,71665,22607
ANGOLA_BENGO_PANGO ALUQUÉM,14.467187741962098,-8.753291428515478,Angola,0006,8246,2636
ANGOLA_BENGUELA_BAÍA FARTA,13.110895429150032,-13.169353899832894,Angola,0007,126938,33272
ANGOLA_BENGUELA_BALOMBO,14.785534807000774,-12.362142938317604,Angola,0008,128261,32544
ANGOLA_BENGUELA_BENGUELA,13.613234701433782,-12.750903810317325,Angola,0009,661260,170270
ANGOLA_BENGUELA_BOCOIO,14.273806030010297,-12.337517465231237,Angola,0010,193850,54937
ANGOLA_BENGUELA_CAIMBAMBO,13.925466200463916,-13.103370379840863,Angola,0011,106919,29682
ANGOLA_BENGUELA_CATUMBELA,13.680172800346687,-12.477296385532492,Angola,0012,206935,54477
ANGOLA_BENGUELA_CHONGOROI,13.804725364547245,-13.596741410412521,Angola,0013,102738,27115
ANGOLA_BENGUELA_CUBAL,14.349577634106108,-13.16149142143734,Angola,0014,359754,100733
ANGOLA_BENGUELA_GANDA,14.733920867955561,-13.122131963632688,Angola,0015,277185,76668
ANGOLA_BENGUELA_LOBITO,13.886545783996153,-12.092395259332209,Angola,0016,462689,123810
ANGOLA_BIÉ_ANDULO,16.463299708517784,-11.274658946317146,Angola,0017,303876,70661
ANGOLA_BIÉ_CAMACUPA,17.780227977541617,-12.451681506672221,Angola,0018,182360,45097
ANGOLA_BIÉ_CATABOLA,17.254341809340623,-12.147939255129183,Angola,0019,149055,36806
ANGOLA_BIÉ_CHINGUAR,16.57220235885333,-12.562961032395926,Angola,0020,152289,38763
ANGOLA_BIÉ_CHITEMBO,17.2256685420672,-13.4761375683222,Angola,0021,91999,21791
ANGOLA_BIÉ_CUEMBA,18.450876402365434,-11.812583973776919,Angola,0022,67050,16893
ANGOLA_BIÉ_CUITO,17.0195337801636,-12.539053407735349,Angola,0023,530726,112883
ANGOLA_BIÉ_CUNHINGA,16.806485043535446,-11.988245606222938,Angola,0024,86896,20688
ANGOLA_BIÉ_NHAREA,17.157724905821997,-11.308602978499657,Angola,0025,148712,37932
ANGOLA_CABINDA_BELIZE,12.84464336058737,-4.6057909615670845,Angola,0026,23025,7325
ANGOLA_CABINDA_BUCO ZAU,12.545868870473262,-4.8021241752346375,Angola,0027,38599,12111
ANGOLA_CABINDA_CABINDA,12.36403326270615,-5.461872414729606,Angola,0028,735261,204486
ANGOLA_CABINDA_CACONGO,12.242228043574034,-5.043712430446504,Angola,0029,45996,14021
ANGOLA_KUANDO KUBANGO_CALAI,19.414268804995988,-17.367954683212766,Angola,0030,26665,6584
ANGOLA_KUANDO KUBANGO_CUANGAR,18.15299180710266,-17.054777832805367,Angola,0031,33500,8003
ANGOLA_KUANDO KUBANGO_CUCHI,16.962579756983985,-14.692891199511664,Angola,0032,50586,13817
ANGOLA_KUANDO KUBANGO_CUITO CUANAVALE,18.841355039845936,-14.950150376556852,Angola,0033,48062,14065
ANGOLA_KUANDO KUBANGO_DIRICO,20.825162039879295,-17.52729673830151,Angola,0034,17805,4809
ANGOLA_KUANDO KUBANGO_MAVINGA,20.292091111981065,-16.124977275218903,Angola,0035,32009,8476
ANGOLA_KUANDO KUBANGO_MENONGUE,17.745373647024998,-15.225709939331868,Angola,0036,377742,93723
ANGOLA_KUANDO KUBANGO_NANCOVA,18.73240828489362,-16.388826303005242,Angola,0037,3294,837
ANGOLA_KUANDO KUBANGO_RIVUNGO,21.95105197046031,-16.860900758284263,Angola,0038,38904,10616
ANGOLA_KWANZA NORTE_AMBACA,15.509119051943488,-8.223269097816729,Angola,0039,72706,21551
