"","country","cause_name","adj_factor","new_mort","base_mort","sector_mort","sector"
"1","Angola","Chronic obstructive pulmonary disease",0.574637384,151.94584119229,152.961487465387,1.01564627309671,"MNM"
"2","Angola","Diabetes mellitus type 2",0.574637384,208.917453132135,210.244627465622,1.32717433348745,"MNM"
"3","Angola","Lower respiratory infections",0.574637384,182.302745803194,183.725654565237,1.42290876204333,"MNM"
"4","Angola","Tracheal, bronchus, and lung cancer",0.574637384,37.6565707583439,37.9236549105192,0.267084152175329,"MNM"
"5","Botswana","Chronic obstructive pulmonary disease",0.805646529,23.6969313955111,23.8105033104799,0.113571914968841,"MNM"
"6","Botswana","Diabetes mellitus type 2",0.805646529,61.0993425670381,61.3335491316802,0.234206564642129,"MNM"
"7","Botswana","Lower respiratory infections",0.805646529,38.5068168737858,38.6956874701242,0.188870596338447,"MNM"
"8","Botswana","Tracheal, bronchus, and lung cancer",0.805646529,3.96885865201612,3.9866669256037,0.017808273587586,"MNM"
"9","Eswatini","Chronic obstructive pulmonary disease",0.663761291,10.1087687159483,10.2256979678416,0.116929251893273,"MNM"
"10","Eswatini","Diabetes mellitus type 2",0.663761291,26.6230203027619,26.8490973591724,0.226077056410517,"MNM"
"11","Eswatini","Lower respiratory infections",0.663761291,16.8163257675466,17.0178398880175,0.2015141204709,"MNM"
"12","Eswatini","Tracheal, bronchus, and lung cancer",0.663761291,1.14728449283945,1.15943081190194,0.0121463190624889,"MNM"
"13","Lesotho","Chronic obstructive pulmonary disease",0.557042913,36.2599697245182,36.5402360136781,0.28026628915984,"MNM"
"14","Lesotho","Diabetes mellitus type 2",0.557042913,60.3898972267751,60.7315081723609,0.341610945585842,"MNM"
"15","Lesotho","Lower respiratory infections",0.557042913,44.4001073327376,44.7562759809409,0.356168648203237,"MNM"
"16","Lesotho","Tracheal, bronchus, and lung cancer",0.557042913,7.18535703146246,7.23628824550506,0.0509312140426088,"MNM"
"17","Malawi","Chronic obstructive pulmonary disease",0.2784701,14.1563082386035,14.3283033443982,0.171995105794718,"MNM"
"18","Malawi","Diabetes mellitus type 2",0.2784701,85.9657202376544,86.8664887734339,0.900768535779505,"MNM"
"19","Malawi","Lower respiratory infections",0.2784701,72.5997004716958,73.4998458299445,0.900145358248722,"MNM"
"20","Malawi","Tracheal, bronchus, and lung cancer",0.2784701,3.99914371818382,4.04604939374451,0.0469056755606814,"MNM"
"21","Mozambique","Chronic obstructive pulmonary disease",0.2134770455,17.3432425984743,17.4307946023801,0.087552003905742,"MNM"
