"","country","cause_name","adj_factor","new_mort","base_mort","sector_mort","sector"
"1","Angola","Chronic obstructive pulmonary disease",0.574637384,138.295762959862,152.961487465387,14.6657245055247,"RCO"
"2","Angola","Diabetes mellitus type 2",0.574637384,191.549147488811,210.244627465622,18.6954799768109,"RCO"
"3","Angola","Lower respiratory infections",0.574637384,164.289444849434,183.725654565237,19.4362097158037,"RCO"
"4","Angola","Tracheal, bronchus, and lung cancer",0.574637384,34.2090035365848,37.9236549105192,3.71465137393439,"RCO"
"5","Botswana","Chronic obstructive pulmonary disease",0.805646529,20.6469112070153,23.8105033104799,3.16359210346458,"RCO"
"6","Botswana","Diabetes mellitus type 2",0.805646529,54.5465487630211,61.3335491316802,6.78700036865905,"RCO"
"7","Botswana","Lower respiratory infections",0.805646529,33.3211111573221,38.6956874701242,5.37457631280215,"RCO"
"8","Botswana","Tracheal, bronchus, and lung cancer",0.805646529,3.46695327972436,3.9866669256037,0.519713645879341,"RCO"
"9","Eswatini","Chronic obstructive pulmonary disease",0.663761291,9.13196132469481,10.2256979678416,1.09373664314679,"RCO"
"10","Eswatini","Diabetes mellitus type 2",0.663761291,24.6487090509099,26.8490973591724,2.20038830826259,"RCO"
"11","Eswatini","Lower respiratory infections",0.663761291,15.1406705892011,17.0178398880175,1.87716929881642,"RCO"
"12","Eswatini","Tracheal, bronchus, and lung cancer",0.663761291,1.04449994628392,1.15943081190194,0.114930865618023,"RCO"
"13","Lesotho","Chronic obstructive pulmonary disease",0.557042913,27.7579391371091,36.5402360136781,8.78229687656901,"RCO"
"14","Lesotho","Diabetes mellitus type 2",0.557042913,49.0919268779377,60.7315081723609,11.6395812944232,"RCO"
"15","Lesotho","Lower respiratory infections",0.557042913,33.6655033599504,44.7562759809409,11.0907726209905,"RCO"
"16","Lesotho","Tracheal, bronchus, and lung cancer",0.557042913,5.59605901634158,7.23628824550506,1.64022922916348,"RCO"
"17","Malawi","Chronic obstructive pulmonary disease",0.2784701,11.6449073606267,14.3283033443982,2.6833959837715,"RCO"
"18","Malawi","Diabetes mellitus type 2",0.2784701,72.5979182969307,86.8664887734339,14.2685704765032,"RCO"
"19","Malawi","Lower respiratory infections",0.2784701,59.4076526593728,73.4998458299445,14.0921931705717,"RCO"
"20","Malawi","Tracheal, bronchus, and lung cancer",0.2784701,3.30997232435795,4.04604939374451,0.736077069386559,"RCO"
"21","Mozambique","Chronic obstructive pulmonary disease",0.2134770455,16.3986259696582,17.4307946023801,1.03216863272185,"RCO"
"22","Mozambique","Diabetes mellitus type 2",0.2134770455,63.877111526529,67.1531816242446,3.2760700977156,"RCO"
"23","Mozambique","Lower respiratory infections",0.2134770455,73.1886560409711,77.9091770014642,4.7205209604931,"RCO"
"24","Mozambique","Tracheal, bronchus, and lung cancer",0.2134770455,6.16749543136288,6.52894260538045,0.361447174017561,"RCO"
"25","Namibia","Chronic obstructive pulmonary disease",0.757584391,5.45284266110775,5.93818852693906,0.485345865831306,"RCO"
"26","Namibia","Diabetes mellitus type 2",0.757584391,15.0676230031777,16.3458741720761,1.27825116889837,"RCO"
"27","Namibia","Lower respiratory infections",0.757584391,9.08157749754405,9.82757994391827,0.746002446374224,"RCO"
"28","Namibia","Tracheal, bronchus, and lung cancer",0.757584391,0.860117723300813,0.924881175138752,0.0647634518379393,"RCO"
"29","South Africa","Chronic obstructive pulmonary disease",0.8956019715,1025.00525161781,1290.81741187277,265.812160254963,"RCO"
"30","South Africa","Diabetes mellitus type 2",0.8956019715,3178.643854821,3722.92233294465,544.278478123644,"RCO"
"31","South Africa","Lower respiratory infections",0.8956019715,1510.40565821827,1919.99476148144,409.589103263162,"RCO"
"32","South Africa","Tracheal, bronchus, and lung cancer",0.8956019715,800.284190083579,983.103150494338,182.818960410758,"RCO"
"33","Zambia","Chronic obstructive pulmonary disease",0.5005237915,30.5730715377102,33.3207029287227,2.74763139101248,"RCO"
"34","Zambia","Diabetes mellitus type 2",0.5005237915,162.245168179717,173.979362698637,11.73419451892,"RCO"
"35","Zambia","Lower respiratory infections",0.5005237915,138.876909157887,152.472301381148,13.5953922232611,"RCO"
"36","Zambia","Tracheal, bronchus, and lung cancer",0.5005237915,9.45808819266227,10.3006440673391,0.842555874676798,"RCO"
"37","Zimbabwe","Chronic obstructive pulmonary disease",0.482071896,34.8641422118258,49.6020351893963,14.7378929775705,"RCO"
"38","Zimbabwe","Diabetes mellitus type 2",0.482071896,75.5489727039208,101.494937617726,25.9459649138057,"RCO"
"39","Zimbabwe","Lower respiratory infections",0.482071896,94.2948162629849,136.710892751104,42.4160764881186,"RCO"
"40","Zimbabwe","Tracheal, bronchus, and lung cancer",0.482071896,25.9800138741336,36.6262379763129,10.6462241021793,"RCO"
"41","Angola","Stroke",0.574637384,523.777478899706,582.424658178563,58.6471792788565,"RCO"
"42","Botswana","Stroke",0.805646529,44.2110988868922,50.7065378724469,6.49543898555463,"RCO"
"43","Eswatini","Stroke",0.663761291,31.6887923137021,35.148380974631,3.45958866092895,"RCO"
"44","Lesotho","Stroke",0.557042913,84.8790888387324,109.834119706177,24.9550308674448,"RCO"
"45","Malawi","Stroke",0.2784701,137.43897226686,167.759897759554,30.3209254926941,"RCO"
"46","Mozambique","Stroke",0.2134770455,202.396451959195,214.344909437331,11.9484574781365,"RCO"
"47","Namibia","Stroke",0.757584391,16.8036513249076,18.1596892793946,1.35603795448696,"RCO"
"48","South Africa","Stroke",0.8956019715,3603.69202737906,4446.30543037906,842.613402999995,"RCO"
"49","Zambia","Stroke",0.5005237915,490.304074778052,532.88720862805,42.5831338499975,"RCO"
"50","Zimbabwe","Stroke",0.482071896,223.546289709184,315.245554538857,91.6992648296726,"RCO"
"51","Angola","Ischemic heart disease",0.574637384,352.802770002376,391.419341057635,38.6165710552585,"RCO"
"52","Botswana","Ischemic heart disease",0.805646529,34.6418160438565,39.5883260859473,4.9465100420908,"RCO"
"53","Eswatini","Ischemic heart disease",0.663761291,16.5309822877602,18.2641081471498,1.7331258593896,"RCO"
"54","Lesotho","Ischemic heart disease",0.557042913,31.2363785833241,40.0434878306307,8.80710924730654,"RCO"
"55","Malawi","Ischemic heart disease",0.2784701,84.447215299968,102.631134843759,18.1839195437909,"RCO"
"56","Mozambique","Ischemic heart disease",0.2134770455,106.015710165989,112.068695224462,6.05298505847296,"RCO"
"57","Namibia","Ischemic heart disease",0.757584391,12.0815944865916,13.0480108130298,0.966416326438221,"RCO"
"58","South Africa","Ischemic heart disease",0.8956019715,2578.79084184682,3135.48492383632,556.694081989499,"RCO"
"59","Zambia","Ischemic heart disease",0.5005237915,260.567143828101,282.445142680415,21.8779988523145,"RCO"
"60","Zimbabwe","Ischemic heart disease",0.482071896,117.745211623014,164.529711874804,46.7845002517895,"RCO"
