"","country","cause_name","adj_factor","new_mort","base_mort","sector_mort","sector"
"1","Angola","Chronic obstructive pulmonary disease",0.574637384,152.954258193784,152.961487465387,0.00722927160313702,"TNR_Aviation_LTO"
"2","Angola","Diabetes mellitus type 2",0.574637384,210.235477960799,210.244627465622,0.00914950482285803,"TNR_Aviation_LTO"
"3","Angola","Lower respiratory infections",0.574637384,183.715546498798,183.725654565237,0.0101080664397273,"TNR_Aviation_LTO"
"4","Angola","Tracheal, bronchus, and lung cancer",0.574637384,37.9217748910288,37.9236549105192,0.00188001949035055,"TNR_Aviation_LTO"
"5","Botswana","Chronic obstructive pulmonary disease",0.805646529,23.8089739689048,23.8105033104799,0.0015293415751465,"TNR_Aviation_LTO"
"6","Botswana","Diabetes mellitus type 2",0.805646529,61.3303759025552,61.3335491316802,0.00317322912502505,"TNR_Aviation_LTO"
"7","Botswana","Lower respiratory infections",0.805646529,38.6931468105808,38.6956874701242,0.00254065954346316,"TNR_Aviation_LTO"
"8","Botswana","Tracheal, bronchus, and lung cancer",0.805646529,3.98642742860338,3.9866669256037,0.000239497000318778,"TNR_Aviation_LTO"
"9","Eswatini","Chronic obstructive pulmonary disease",0.663761291,10.2251637556136,10.2256979678416,0.000534212227956132,"TNR_Aviation_LTO"
"10","Eswatini","Diabetes mellitus type 2",0.663761291,26.8480643970409,26.8490973591724,0.00103296213151438,"TNR_Aviation_LTO"
"11","Eswatini","Lower respiratory infections",0.663761291,17.0169190795096,17.0178398880175,0.000920808507903104,"TNR_Aviation_LTO"
"12","Eswatini","Tracheal, bronchus, and lung cancer",0.663761291,1.15937532220544,1.15943081190194,5.54896964986007e-05,"TNR_Aviation_LTO"
"13","Lesotho","Chronic obstructive pulmonary disease",0.557042913,36.5385036188251,36.5402360136781,0.00173239485294374,"TNR_Aviation_LTO"
"14","Lesotho","Diabetes mellitus type 2",0.557042913,60.7294030038164,60.7315081723609,0.00210516854451015,"TNR_Aviation_LTO"
"15","Lesotho","Lower respiratory infections",0.557042913,44.7540787601285,44.7562759809409,0.00219722081233442,"TNR_Aviation_LTO"
"16","Lesotho","Tracheal, bronchus, and lung cancer",0.557042913,7.23597453367275,7.23628824550506,0.000313711832318653,"TNR_Aviation_LTO"
"17","Malawi","Chronic obstructive pulmonary disease",0.2784701,14.3273745218477,14.3283033443982,0.000928822550456232,"TNR_Aviation_LTO"
