GEOID17,facility_id,facility_name,emis,sector,type,state_id,tribal_fips
06031,16711,ALTAGAS SAN JOAQUIN ENERGY INC.,0.2677488697459165,egu,elevated,06,NA
06031,17611,ALTAGAS SAN JOAQUIN ENERGY INC.,0.12793379752268602,egu,elevated,06,NA
06035,53211,MT. LASSEN POWER,6.084097840290381,egu,elevated,06,NA
06011,75711,WADHAM ENERGY LTD PARTNERSHIP,1.4294699927404715,egu,elevated,06,NA
06007,124511,"OROVILLE COGENERATION, L.P.",4.166061705989111e-5,egu,elevated,06,NA
06013,148911,LOS MEDANOS ENERGY CENTER,7.697233563711434,egu,elevated,06,NA
06013,150711,DELTA ENERGY CENTER,9.330995864065336,egu,elevated,06,NA
06023,155111,PG&E - HUMBOLDT BAY GENERATING STATION,1.7061984566101631,egu,elevated,06,NA
06023,155811,DG FAIRHAVEN POWER COMPANY,0.041026257145190564,egu,elevated,06,NA
06013,203111,MARTINEZ COGEN LIMITED PARTNERSHIP,7.051719341560799,egu,elevated,06,NA
05119,210811,ARK ELEC CO-OP-OSWALD GENERATING STATION,3.1555980204174223,egu,elevated,05,NA
05119,210911,WASTE MANAGEMENT-TWO PINE LANDFILL,4.120716498974591,egu,elevated,05,NA
06029,295911,"LINN OPERATING, INC",6.221309093466425,egu,elevated,06,NA
06019,348711,FRESNO COGENERATION PARTNERS,0.35895380950635203,egu,elevated,06,NA
06013,353611,"CROCKETT COGENERATION, A CAL LTD PARTNERSHIP",3.7012808642468236,egu,elevated,06,NA
06029,361111,SUNRISE POWER COMPANY,22.270899339382936,egu,elevated,06,NA
06029,410111,DOUBLE C LIMITED,0.06718809350635209,egu,elevated,06,NA
06029,412511,BADGER CREEK LIMITED,0.051349376805807624,egu,elevated,06,NA
06029,456011,LIVE OAK LIMITED,0.009271624485480943,egu,elevated,06,NA
06029,458111,BEAR MOUNTAIN LIMITED,0.013165229921960073,egu,elevated,06,NA
06029,492111,CHALK CLIFF LIMITED,0.054120724373865704,egu,elevated,06,NA
12099,533611,SOLID WASTE AUTHORITY OF PBC,1.597704631578947,egu,elevated,12,NA
12001,535011,"CITY OF GAINESVILLE, GRU",12.175243328039926,egu,elevated,12,NA
12001,536811,GAINESVILLE REGIONAL UTILITIES,11.027095257021054,egu,elevated,12,NA
12081,537811,"TROPICANA MANUFACTURING COMPANY, INC.",4.398254238929219,egu,elevated,12,NA
12081,537911,FLORIDA POWER & LIGHT (PMT),71.58413786490019,egu,elevated,12,NA
12057,538611,TAMPA ELECTRIC COMPANY (TEC),9.919508116415608,egu,elevated,12,NA
04013,545911,Redhawk Generating Facility,20.69767362341198,egu,elevated,04,NA
04013,546011,Arlington Valley LLC,4.019447579401088,egu,elevated,04,NA
04013,547311,Ocotillo Power Plant,4.483169824863884,egu,elevated,04,NA
12105,552011,"DUKE ENERGY FLORIDA, LLC",174.67477991887475,egu,elevated,12,NA
09011,552611,"MONTVILLE POWER, LLC",0.06749246822141561,egu,elevated,09,NA
12069,552811,"COVANTA LAKE II, INC.",0.15177811209437383,egu,elevated,12,NA
12087,554011,FLORIDA MUNICIPAL POWER AGENCY,0.011820488026497277,egu,elevated,12,NA
12005,554911,GULF POWER COMPANY,41.022601810072594,egu,elevated,12,NA
13185,555311,PCA Valdosta Mill,1.7898749546279489,egu,elevated,13,NA
12031,557811,JEA,0.6647568029038111,egu,elevated,12,NA
12097,558411,FMPA & KISSIMMEE UTILITY AUTHORITY,36.47744622113067,egu,elevated,12,NA
01001,560011,Tenaska Alabama Partners LP,6.087865970961888,egu,elevated,01,NA
41021,566611,Columbia Ridge Landfill & Recycling Center,8.748729582577132,egu,elevated,41,NA
06081,575411,IPT SRI COGENERATION INC,1.1884907506352087,egu,elevated,06,NA
10001,588111,McKee Run Generating Station,0.016665330925589833,egu,elevated,10,NA
10003,588311,Delaware City Refinery,15.364645957803992,egu,elevated,10,NA
12049,588511,"VANDOLAH POWER COMPANY, LLC",15.846819062068963,egu,elevated,12,NA
09003,588711,"COVANTA BRISTOL, INC",2.1994461605263156e-4,egu,elevated,09,NA
09003,589711,ALGONQUIN POWER WINDSOR LOCKS,4.502459120384755,egu,elevated,09,NA
09009,590011,"DEVON POWER, LLC",0.29608814106016335,egu,elevated,09,NA
12009,590411,FLORIDA POWER & LIGHT COMPANY (PCC),61.700522020871134,egu,elevated,12,NA
12009,590511,ORLANDO UTILITIES COMMISSION (OUC),0.5301940093466424,egu,elevated,12,NA
12009,591111,"OLEANDER POWER PROJECT, LP",1.2965848936296913,egu,elevated,12,NA
12011,591611,FLORIDA POWER & LIGHT (PPE),59.71425656442832,egu,elevated,12,NA
12011,591711,FLORIDA POWER & LIGHT COMPANY,35.75000906964609,egu,elevated,12,NA
06073,592411,CABRILLO POWER II LLC KEARNY MESA GTS,0.03719459891107078,egu,elevated,06,NA
06073,593911,GOAL LINE LP,8.918438272232304,egu,elevated,06,NA
12031,640211,JEA-NORTHSIDE/SJRPP,48.85264948094374,egu,elevated,12,NA
10003,640311,HAY ROAD ENERGY CENTER,30.06392684210526,egu,elevated,10,NA
12017,640611,"DUKE ENERGY FLORIDA, LLC",28.532321188747733,egu,elevated,12,NA
12057,640811,MCKAY BAY REFUSE-TO-ENERGY FACILITY,1.1908156895644282,egu,elevated,12,NA
10005,640911,INDIAN RIVER GENERATING STATION,0.8480232486388385,egu,elevated,10,NA
