GEOID17,observations,network,species
01073,3.6267949166666664,AQS,SO2
01097,0.679569,AQS,SO2
01117,0.7802585,AQS,SO2
02090,6.8957454,AQS,SO2
04007,9.4993898,AQS,SO2
04013,1.3610984166666666,AQS,SO2
04019,0.135219,AQS,SO2
05119,0.8053177499999999,AQS,SO2
06001,0.7990945,AQS,SO2
06013,1.3030491666666666,AQS,SO2
06019,0.80136275,AQS,SO2
06023,-0.0542403,AQS,SO2
06025,0.978205,AQS,SO2
06027,0.0646192,AQS,SO2
06037,0.8794686666666667,AQS,SO2
06059,0.1595312,AQS,SO2
06065,0.3549558,AQS,SO2
06067,2.0194992,AQS,SO2
06071,0.7528143076923077,AQS,SO2
06073,0.1409916,AQS,SO2
06079,0.0020804,AQS,SO2
06083,0.11484091666666667,AQS,SO2
06085,0.30978675,AQS,SO2
06095,0.95143325,AQS,SO2
08001,1.41114125,AQS,SO2
08007,0.76844875,AQS,SO2
08031,1.253092125,AQS,SO2
08041,1.63123475,AQS,SO2
09001,0.3831158,AQS,SO2
09003,0.3462298,AQS,SO2
09005,0.16874519999999998,AQS,SO2
09009,0.3668208,AQS,SO2
10003,0.4249814375,AQS,SO2
10005,0.15879575,AQS,SO2
11001,1.0869852,AQS,SO2
12011,0.4988599,AQS,SO2
12017,2.1245952,AQS,SO2
12031,0.78057025,AQS,SO2
12033,0.8472604,AQS,SO2
12047,0.7064384,AQS,SO2
12057,1.03551584,AQS,SO2
12081,1.7391118,AQS,SO2
12086,0.387347,AQS,SO2
12089,2.3962476,AQS,SO2
12095,0.1816118,AQS,SO2
12103,0.3311051,AQS,SO2
12105,1.1838594,AQS,SO2
12107,1.7437428000000001,AQS,SO2
12129,0.2461184,AQS,SO2
13021,0.647742,AQS,SO2
13051,2.12466,AQS,SO2
13089,0.23729024999999998,AQS,SO2
13115,1.3424475,AQS,SO2
13121,1.3907275000000001,AQS,SO2
13245,1.5823685,AQS,SO2
15001,19.448755494382024,AQS,SO2
15003,1.0146505,AQS,SO2
15007,0.502149,AQS,SO2
16001,0.3945482,AQS,SO2
16005,5.584769,AQS,SO2
16029,2.3847058,AQS,SO2
17019,0.9573394000000001,AQS,SO2
17031,1.1735455,AQS,SO2
17099,1.44129025,AQS,SO2
17115,4.3017580625,AQS,SO2
17117,0.3621595,AQS,SO2
17119,1.031905,AQS,SO2
17133,1.38993075,AQS,SO2
17143,1.34689375,AQS,SO2
17163,1.5158542499999998,AQS,SO2
17185,1.82450725,AQS,SO2
18027,3.1642525,AQS,SO2
18043,1.29169175,AQS,SO2
18051,2.79917375,AQS,SO2
18089,1.139070625,AQS,SO2
18097,0.3676265,AQS,SO2
18109,2.3305522499999998,AQS,SO2
18125,1.415229,AQS,SO2
18127,1.9519576250000001,AQS,SO2
18163,1.5746897499999999,AQS,SO2
18167,0.602189125,AQS,SO2
19045,1.16867625,AQS,SO2
19113,1.4001245,AQS,SO2
19139,1.2133566666666666,AQS,SO2
19153,0.096573,AQS,SO2
19163,0.5111325,AQS,SO2
19177,0.20812675,AQS,SO2
19193,0.332905,AQS,SO2
20133,1.37894,AQS,SO2
20191,1.3029606,AQS,SO2
20195,0.7216272,AQS,SO2
20209,0.8065464,AQS,SO2
21019,0.11934375,AQS,SO2
21037,0.53985775,AQS,SO2
21059,1.754152,AQS,SO2
21061,0.2073552,AQS,SO2
21067,0.2147105,AQS,SO2
21089,1.24185475,AQS,SO2
21101,3.055878,AQS,SO2
21111,1.14424525,AQS,SO2
21113,0.2145755,AQS,SO2
21145,0.86655875,AQS,SO2
22015,0.8534646,AQS,SO2
22019,1.0324817,AQS,SO2
22033,0.8609762,AQS,SO2
22087,2.5514507,AQS,SO2
22089,2.213028,AQS,SO2
22093,1.0439916,AQS,SO2
22121,2.1130377,AQS,SO2
23003,0.15389375,AQS,SO2
23005,2.5881257499999997,AQS,SO2
23009,0.05985,AQS,SO2
23011,0.7476802499999999,AQS,SO2
24001,5.3592889,AQS,SO2
24005,0.719566,AQS,SO2
24019,0.3530096,AQS,SO2
24023,0.5776266,AQS,SO2
24033,0.3578396,AQS,SO2
