GEOID17,facility_id,facility_name,lon,lat,emis,stkhgt,stkdiam,stktemp,stkvel,sector,type,tribal_fips,poll,marginal_damage
06031,16711,ALTAGAS SAN JOAQUIN ENERGY INC.,-119.904318,36.24002,0.6513450998185117,12.1914050594331,0.6095702529716549,394.2611111111111,15.239256324291373,egu,elevated,NA,NH3,1263.304778092077
06031,17611,ALTAGAS SAN JOAQUIN ENERGY INC.,-119.647676,36.269528,0.9593276769509981,12.191405059433102,0.6095702529716549,394.2611111111111,15.239256324291375,egu,elevated,NA,NH3,1408.6643965766166
06035,53211,MT. LASSEN POWER,-121.018,40.297,11.814882032667875,38.09814081072844,1.5239256324291375,380.3722222222222,1.0344102407802498,egu,elevated,NA,NH3,905.7477171808252
06011,75711,WADHAM ENERGY LTD PARTNERSHIP,-122.1104,39.1055,0,52.565804448406915,2.994424372140477,390.40271470587203,18.015268788035318,egu,elevated,NA,NH3,762.7854431650054
06007,124511,"OROVILLE COGENERATION, L.P.",-121.60517,39.51628,0,52.565804448406915,2.994424372140477,390.40271470587203,18.015268788035318,egu,elevated,NA,NH3,1122.610365080026
06013,148911,LOS MEDANOS ENERGY CENTER,-121.8727,38.0298,25.951274954627948,12.1914050594331,0.6095702529716549,394.26111111111106,15.239256324291373,egu,elevated,NA,NH3,804.6927134358436
06013,150711,DELTA ENERGY CENTER,-121.84376,38.0151,22.321965517241377,12.1914050594331,0.6095702529716549,394.26111111111106,15.239256324291373,egu,elevated,NA,NH3,808.8587299504256
06023,155111,PG&E - HUMBOLDT BAY GENERATING STATION,-124.2084,40.7411,0.3263334891107078,30.478512648582747,1.6153611703748856,663.7055555555555,25.241420298689423,egu,elevated,NA,NH3,173.10139082055537
06023,155811,DG FAIRHAVEN POWER COMPANY,-124.2027,40.7998,0.0061761161524500905,30.478512648582747,2.133495885400792,434.8166666666666,15.569094788174336,egu,elevated,NA,NH3,-295.06207860479776
06013,203111,MARTINEZ COGEN LIMITED PARTNERSHIP,-122.06755,38.02209000000001,0,52.565804448406915,2.994424372140477,390.40271470587203,18.015268788035318,egu,elevated,NA,NH3,716.6019280950211
05119,210811,ARK ELEC CO-OP-OSWALD GENERATING STATION,-92.21654785714286,34.59321371428572,0,52.565804448406915,2.994424372140477,390.40271470587203,18.015268788035318,egu,elevated,NA,NH3,21342.355178101046
05119,210911,WASTE MANAGEMENT-TWO PINE LANDFILL,-92.163531,34.834994,0,52.565804448406915,2.994424372140477,390.40271470587203,18.015268788035318,egu,elevated,NA,NH3,23505.50063409387
06029,295911,"LINN OPERATING, INC",-119.37164,35.16575,0,52.565804448406915,2.994424372140477,390.40271470587203,18.015268788035318,egu,elevated,NA,NH3,8258.35449511814
